company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,amortizationexpense,cashincometaxespaid,cashinterestpaid,depreciationexpense,divestitures,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,issuanceofpreferredequity,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netchangeindeposits,netincome,netincomecontinuing,netincreaseinfedfundssold,noncashadjustmentstonetincome,otherfinancingactivitiesnet,paymentofdividends,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,repurchaseofpreferredequity,saleofinvestments
State Street Corp,STT,549300ZFEEJ2IP5VME73,93751,2007.0,FY,2007-01-01,2007-12-31,2010-02-22 17:15:24+00:00,,593000000.0,3403000000.0,130000000.0,0.0,195000000.0,185000000.0,1488000000.0,0.0,10818000000.0,-11854000000.0,2939000000.0,10818000000.0,-11854000000.0,2939000000.0,1903000000.0,18775000000.0,1261000000.0,1261000000.0,-2832000000.0,1353000000.0,0.0,-301000000.0,-35981000000.0,-476000000.0,-8327000000.0,-1002000000.0,0.0,27435000000.0
State Street Corp,STT,549300ZFEEJ2IP5VME73,93751,2008.0,Q4,2008-10-01,2008-12-31,,144000000.0,1118000000.0,2302000000.0,-238000000.0,464000000.0,3191000000.0,0.0,0.0,0.0,,51223000000.0,1570000000.0,-107183000000.0,51223000000.0,1570000000.0,-54390000000.0,0.0,256000000.0,256000000.0,9463000000.0,-1783000000.0,0.0,0.0,22515000000.0,-283000000.0,0.0,0.0,,19064000000.0
State Street Corp,STT,549300ZFEEJ2IP5VME73,93751,2008.0,FY,2008-01-01,2008-12-31,2011-02-25 21:46:16+00:00,144000000.0,1118000000.0,2302000000.0,225000000.0,464000000.0,-3015000000.0,2995000000.0,9795000000.0,1879000000.0,30587000000.0,-29570000000.0,-1877000000.0,30587000000.0,-29570000000.0,-1877000000.0,-860000000.0,16428000000.0,1811000000.0,1811000000.0,22038000000.0,-1042000000.0,12000000.0,-399000000.0,-97666000000.0,-681000000.0,-44000000.0,-79000000.0,,46275000000.0
State Street Corp,STT,549300ZFEEJ2IP5VME73,93751,2008.0,Q3,2008-07-01,2008-09-30,,,,,132000000.0,,-6021000000.0,1000000.0,78924000000.0,,133028000000.0,-75873000000.0,-2837000000.0,132386000000.0,-75873000000.0,-2837000000.0,53676000000.0,53621000000.0,477000000.0,477000000.0,4623000000.0,2575000000.0,11000000.0,461000000.0,-90301000000.0,-114000000.0,10000000.0,,,9919000000.0
State Street Corp,STT,549300ZFEEJ2IP5VME73,93751,2008.0,Q3YTD,2008-01-01,2008-09-30,2009-11-06 14:08:03+00:00,,,,463000000.0,,-6206000000.0,2874000000.0,80170000000.0,,138412000000.0,-80793000000.0,-3447000000.0,137770000000.0,-80793000000.0,-3447000000.0,53530000000.0,55075000000.0,1555000000.0,1555000000.0,12575000000.0,741000000.0,11000000.0,282000000.0,-120181000000.0,-398000000.0,,0.0,0.0,27211000000.0
State Street Corp,STT,549300ZFEEJ2IP5VME73,93751,2008.0,Q2YTD,2008-01-01,2008-06-30,2009-08-07 20:44:46+00:00,,,,331000000.0,,-185000000.0,2873000000.0,1246000000.0,,5384000000.0,-4920000000.0,-610000000.0,5384000000.0,-4920000000.0,-610000000.0,-146000000.0,1454000000.0,1078000000.0,1078000000.0,7952000000.0,-1834000000.0,0.0,-179000000.0,-29880000000.0,-284000000.0,-10000000.0,,0.0,17292000000.0
State Street Corp,STT,549300ZFEEJ2IP5VME73,93751,2009.0,Q4,2009-10-01,2009-12-31,,136000000.0,884000000.0,722000000.0,2174000000.0,,1601000000.0,,,,-3975000000.0,1203000000.0,386000000.0,-3975000000.0,1203000000.0,386000000.0,-2386000000.0,-1684000000.0,498000000.0,498000000.0,-808000000.0,-4023000000.0,4000000.0,-4000000.0,-15856000000.0,-154000000.0,-2291000000.0,,,18021000000.0
State Street Corp,STT,549300ZFEEJ2IP5VME73,93751,2009.0,FY,2009-01-01,2009-12-31,2012-02-27 06:22:22+00:00,136000000.0,884000000.0,722000000.0,-457000000.0,,1965000000.0,2231000000.0,4435000000.0,,-27941000000.0,31632000000.0,-4231000000.0,-27941000000.0,31632000000.0,-4231000000.0,-540000000.0,-22141000000.0,-1881000000.0,-1881000000.0,-752000000.0,-3994000000.0,34000000.0,-168000000.0,-60621000000.0,-325000000.0,-10234000000.0,-98000000.0,-2000000000.0,93330000000.0
State Street Corp,STT,549300ZFEEJ2IP5VME73,93751,2009.0,Q3TTM,2008-10-01,2009-09-30,,144000000.0,1118000000.0,2302000000.0,-2869000000.0,464000000.0,3555000000.0,2352000000.0,-65940000000.0,1879000000.0,-131791000000.0,81652000000.0,-3047000000.0,-131149000000.0,81652000000.0,-3047000000.0,-52544000000.0,-59104000000.0,-2123000000.0,-2123000000.0,9519000000.0,-1754000000.0,31000000.0,-845000000.0,-22250000000.0,-454000000.0,-7987000000.0,-177000000.0,-2000000000.0,94373000000.0
State Street Corp,STT,549300ZFEEJ2IP5VME73,93751,2009.0,Q3,2009-07-01,2009-09-30,,,,,-259000000.0,,-23000000.0,,,,6480000000.0,-5886000000.0,389000000.0,6480000000.0,-5886000000.0,389000000.0,983000000.0,6191000000.0,327000000.0,327000000.0,3698000000.0,344000000.0,4000000.0,-5000000.0,-24546000000.0,178000000.0,388000000.0,-98000000.0,,14784000000.0
State Street Corp,STT,549300ZFEEJ2IP5VME73,93751,2009.0,Q3YTD,2009-01-01,2009-09-30,2010-11-05 12:37:18+00:00,,,,-2631000000.0,,364000000.0,2231000000.0,4435000000.0,,-23966000000.0,30429000000.0,-4617000000.0,-23966000000.0,30429000000.0,-4617000000.0,1846000000.0,-20457000000.0,-2379000000.0,-2379000000.0,56000000.0,29000000.0,30000000.0,-164000000.0,-44765000000.0,-171000000.0,-7943000000.0,-98000000.0,-2000000000.0,75309000000.0
State Street Corp,STT,549300ZFEEJ2IP5VME73,93751,2009.0,Q2TTM,2008-07-01,2009-06-30,,144000000.0,1118000000.0,2302000000.0,-2478000000.0,464000000.0,-2443000000.0,2353000000.0,12984000000.0,1879000000.0,-5243000000.0,11665000000.0,-6273000000.0,-5243000000.0,11665000000.0,-6273000000.0,149000000.0,-11674000000.0,-1973000000.0,-1973000000.0,10444000000.0,477000000.0,38000000.0,-379000000.0,-88005000000.0,-746000000.0,-8365000000.0,-79000000.0,-2000000000.0,89508000000.0
