company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,amortizationexpense,depreciationexpense,effectofexchangeratechanges,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,issuanceofpreferredequity,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,othernetchangesincash,paymentofdividends,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,repurchaseofpreferredequity,saleofinvestments,saleofplantpropertyandequipment
WPX Energy Inc,WPX,ZXZE9GCS2BB547GJW219,1518832,2010.0,FY,2010-01-01,2010-12-31,2013-02-28 17:21:09+00:00,-949000000.0,,882000000.0,,-255000000.0,,1045000000.0,,1284000000.0,-2337000000.0,1056000000.0,1284000000.0,-2337000000.0,1056000000.0,3000000.0,-1283000000.0,-1283000000.0,1712000000.0,241000000.0,-18000000.0,,,-7000000.0,-1856000000.0,-2000000.0,,,,493000000.0
WPX Energy Inc,WPX,ZXZE9GCS2BB547GJW219,1518832,2011.0,FY,2011-01-01,2011-12-31,2013-02-28 17:21:09+00:00,,,951000000.0,,-151000000.0,,159000000.0,,839000000.0,-1556000000.0,1201000000.0,839000000.0,-1556000000.0,1206000000.0,489000000.0,-292000000.0,-292000000.0,693000000.0,695000000.0,13000000.0,,,-12000000.0,-1572000000.0,-15000000.0,,,,15000000.0
WPX Energy Inc,WPX,ZXZE9GCS2BB547GJW219,1518832,2011.0,Q4,2011-10-01,2011-12-31,,,,0.0,,0.0,,,,658000000.0,-500000000.0,318000000.0,658000000.0,-500000000.0,318000000.0,476000000.0,-335000000.0,-335000000.0,653000000.0,662000000.0,-10000000.0,,,-4000000.0,-484000000.0,-4000000.0,,,,-2000000.0
WPX Energy Inc,WPX,ZXZE9GCS2BB547GJW219,1518832,2011.0,Q3,2011-07-01,2011-09-30,,,,250000000.0,,21000000.0,,,,38000000.0,-389000000.0,365000000.0,38000000.0,-389000000.0,365000000.0,14000000.0,16000000.0,16000000.0,78000000.0,36000000.0,1000000.0,,,-2000000.0,-405000000.0,2000000.0,,,,17000000.0
WPX Energy Inc,WPX,ZXZE9GCS2BB547GJW219,1518832,2011.0,Q3YTD,2011-01-01,2011-09-30,2012-11-01 16:40:20+00:00,,,704000000.0,,21000000.0,,159000000.0,,181000000.0,-1056000000.0,888000000.0,181000000.0,-1056000000.0,888000000.0,13000000.0,43000000.0,43000000.0,120000000.0,33000000.0,23000000.0,,,-8000000.0,-1088000000.0,-11000000.0,,,,17000000.0
WPX Energy Inc,WPX,ZXZE9GCS2BB547GJW219,1518832,2011.0,Q2,2011-04-01,2011-06-30,,,,236000000.0,,1000000.0,,56000000.0,,38000000.0,-325000000.0,283000000.0,38000000.0,-325000000.0,283000000.0,-4000000.0,28000000.0,28000000.0,18000000.0,-5000000.0,41000000.0,,,-2000000.0,-364000000.0,-13000000.0,,,,
WPX Energy Inc,WPX,ZXZE9GCS2BB547GJW219,1518832,2011.0,Q2YTD,2011-01-01,2011-06-30,2012-08-02 18:32:11+00:00,,,454000000.0,,0.0,,159000000.0,,143000000.0,-667000000.0,523000000.0,143000000.0,-667000000.0,523000000.0,-1000000.0,27000000.0,27000000.0,42000000.0,-3000000.0,22000000.0,,,-6000000.0,-683000000.0,-13000000.0,,,,
WPX Energy Inc,WPX,ZXZE9GCS2BB547GJW219,1518832,2011.0,Q1,2011-01-01,2011-03-31,2012-05-03 17:51:59+00:00,,,218000000.0,,-1000000.0,,103000000.0,,105000000.0,-342000000.0,240000000.0,105000000.0,-342000000.0,240000000.0,3000000.0,-1000000.0,-1000000.0,24000000.0,2000000.0,-19000000.0,,,-4000000.0,-319000000.0,,,,,
WPX Energy Inc,WPX,ZXZE9GCS2BB547GJW219,1518832,2012.0,Q4,2012-10-01,2012-12-31,,,28000000.0,246000000.0,,-49000000.0,13000000.0,61000000.0,,58000000.0,-350000000.0,207000000.0,58000000.0,-350000000.0,207000000.0,-85000000.0,-104000000.0,-104000000.0,86000000.0,5000000.0,6000000.0,,,,-356000000.0,-21000000.0,,,,
WPX Energy Inc,WPX,ZXZE9GCS2BB547GJW219,1518832,2012.0,FY,2012-01-01,2012-12-31,2014-02-27 16:04:27+00:00,,28000000.0,973000000.0,,-240000000.0,13000000.0,61000000.0,,37000000.0,-1204000000.0,796000000.0,37000000.0,-1204000000.0,796000000.0,-371000000.0,-211000000.0,-211000000.0,246000000.0,13000000.0,9000000.0,,,-2000000.0,-1521000000.0,-50000000.0,,,,310000000.0
