company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,amortizationexpense,cashincometaxespaid,cashinterestpaid,depreciationexpense,effectofexchangeratechanges,increasedecreaseinoperatingcapital,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,othernetchangesincash,paymentofdividends,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,saleofinvestments
Lorillard Inc ,LO,,1424847,2007.0,FY,2007-01-01,2007-12-31,2010-02-25 16:22:35+00:00,,-22000000.0,598000000.0,0.0,40000000.0,,-61000000.0,0.0,-1167000000.0,367000000.0,882000000.0,-1167000000.0,367000000.0,882000000.0,82000000.0,898000000.0,898000000.0,27000000.0,3000000.0,,-1170000000.0,-4916000000.0,-51000000.0,,0.0,5334000000.0
Lorillard Inc ,LO,,1424847,2008.0,FY,2008-01-01,2008-12-31,2011-02-18 08:09:03+00:00,,,514000000.0,,32000000.0,,69000000.0,,-1200000000.0,201000000.0,980000000.0,-1200000000.0,201000000.0,980000000.0,-19000000.0,887000000.0,887000000.0,-8000000.0,4000000.0,,-804000000.0,-1050000000.0,-44000000.0,,-400000000.0,1295000000.0
Lorillard Inc ,LO,,1424847,2008.0,Q4,2008-10-01,2008-12-31,,,,248000000.0,,7000000.0,,-3000000.0,,-277000000.0,8000000.0,252000000.0,-277000000.0,8000000.0,252000000.0,-17000000.0,258000000.0,258000000.0,-10000000.0,4000000.0,,-155000000.0,-250000000.0,-9000000.0,,-126000000.0,267000000.0
Lorillard Inc ,LO,,1424847,2008.0,Q3,2008-07-01,2008-09-30,,,,229000000.0,,8000000.0,,222000000.0,,-432000000.0,14000000.0,468000000.0,-432000000.0,14000000.0,468000000.0,50000000.0,238000000.0,238000000.0,,,,-158000000.0,,-17000000.0,,-274000000.0,31000000.0
Lorillard Inc ,LO,,1424847,2008.0,Q3YTD,2008-01-01,2008-09-30,2009-10-29 13:45:21+00:00,,,266000000.0,,25000000.0,,72000000.0,0.0,-923000000.0,193000000.0,728000000.0,-923000000.0,193000000.0,728000000.0,-2000000.0,629000000.0,629000000.0,2000000.0,0.0,,-649000000.0,-800000000.0,-35000000.0,,-274000000.0,1028000000.0
Lorillard Inc ,LO,,1424847,2008.0,Q2YTD,2008-01-01,2008-06-30,2009-07-30 12:02:31+00:00,,,37000000.0,,17000000.0,,-150000000.0,0.0,-491000000.0,179000000.0,260000000.0,-491000000.0,179000000.0,260000000.0,-52000000.0,391000000.0,391000000.0,2000000.0,0.0,,-491000000.0,-800000000.0,-18000000.0,,0.0,997000000.0
Lorillard Inc ,LO,,1424847,2009.0,Q3YTD,2009-01-01,2009-09-30,2010-10-27 14:22:09+00:00,,,478000000.0,,25000000.0,,-160000000.0,750000000.0,-223000000.0,-39000000.0,585000000.0,-223000000.0,-39000000.0,585000000.0,323000000.0,706000000.0,706000000.0,14000000.0,7000000.0,,-473000000.0,,-39000000.0,-5000000.0,-502000000.0,
Lorillard Inc ,LO,,1424847,2009.0,Q3TTM,2008-10-01,2009-09-30,,,,726000000.0,,32000000.0,,-163000000.0,750000000.0,-500000000.0,-31000000.0,837000000.0,-500000000.0,-31000000.0,837000000.0,306000000.0,964000000.0,964000000.0,4000000.0,11000000.0,,-628000000.0,-250000000.0,-48000000.0,-5000000.0,-628000000.0,267000000.0
Lorillard Inc ,LO,,1424847,2009.0,Q3,2009-07-01,2009-09-30,,,,133000000.0,,8000000.0,,226000000.0,,-518000000.0,-19000000.0,493000000.0,-518000000.0,-19000000.0,493000000.0,-44000000.0,236000000.0,236000000.0,23000000.0,2000000.0,,-164000000.0,,-19000000.0,,-356000000.0,
Lorillard Inc ,LO,,1424847,2009.0,Q2YTD,2009-01-01,2009-06-30,2010-07-29 09:12:40+00:00,,,345000000.0,,17000000.0,,-386000000.0,750000000.0,295000000.0,-20000000.0,92000000.0,295000000.0,-20000000.0,92000000.0,367000000.0,470000000.0,470000000.0,-9000000.0,5000000.0,,-309000000.0,,-20000000.0,-5000000.0,-146000000.0,
