company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,amortizationexpense,basicdilutedeps,basiceps,cashdividendspershare,dilutedeps,incometaxexpense,netincome,netincomecontinuing,netincometocommon,operatingcostofrevenue,operatingrevenue,otherincome,otheroperatingexpenses,otherspecialcharges,rdexpense,restructuringcharge,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Skyworks Solutions Inc,SWKS,549300WZ3ORQ2BVKBD96,4127,2008.0,FY,2007-09-29,2008-10-03,2010-11-29 17:22:34+00:00,6005000.0,0.69,0.69,,0.67,-28818000.0,111006000.0,111006000.0,111006000.0,517054000.0,860017000.0,5983000.0,,,146013000.0,567000.0,100007000.0,517054000.0,342963000.0,14166000.0,252592000.0,90371000.0,-8183000.0,82188000.0,860017000.0,160900000.0,161878000.0,164755000.0
Skyworks Solutions Inc,SWKS,549300WZ3ORQ2BVKBD96,4127,2009.0,FY,2008-10-04,2009-10-02,2010-11-29 17:22:34+00:00,6118000.0,0.57,0.57,,0.56,-25227000.0,94983000.0,94983000.0,94983000.0,484357000.0,802577000.0,1753000.0,,,123996000.0,15982000.0,100421000.0,484357000.0,318220000.0,3700000.0,246517000.0,71703000.0,-1947000.0,69756000.0,802577000.0,166600000.0,167047000.0,169663000.0
Skyworks Solutions Inc,SWKS,549300WZ3ORQ2BVKBD96,4127,2009.0,Q3,2009-04-04,2009-07-03,2010-08-10 16:19:30+00:00,1548000.0,0.11,0.11,,0.11,750000.0,18740000.0,18740000.0,18740000.0,114263000.0,191213000.0,-32000.0,,,29666000.0,,24215000.0,114263000.0,76950000.0,1999000.0,55429000.0,21521000.0,-2031000.0,19490000.0,191213000.0,170400000.0,167062000.0,169525000.0
Skyworks Solutions Inc,SWKS,549300WZ3ORQ2BVKBD96,4127,2009.0,Q2,2009-01-03,2009-04-03,2010-05-11 16:30:28+00:00,1246000.0,-0.03,-0.03,,-0.03,25000.0,-5678000.0,-5678000.0,-5678000.0,108115000.0,172990000.0,-13000.0,,,28596000.0,15982000.0,22794000.0,108115000.0,64875000.0,1897000.0,68618000.0,-3743000.0,-1910000.0,-5653000.0,172990000.0,189300000.0,165997000.0,165997000.0
Skyworks Solutions Inc,SWKS,549300WZ3ORQ2BVKBD96,4127,2010.0,Q4,2010-07-03,2010-10-01,,1634000.0,0.26,0.26,,0.25,17951000.0,46804000.0,46804000.0,46804000.0,177124000.0,313283000.0,-45000.0,1040000.0,,35409000.0,-1040000.0,33689000.0,177124000.0,136159000.0,655000.0,70732000.0,65427000.0,-700000.0,64755000.0,313283000.0,176000000.0,175020000.0,182738000.0
Skyworks Solutions Inc,SWKS,549300WZ3ORQ2BVKBD96,4127,2010.0,FY,2009-10-03,2010-10-01,2012-11-21 16:15:13+00:00,6136000.0,0.78,0.78,,0.75,57780000.0,137294000.0,137294000.0,137294000.0,615016000.0,1071849000.0,-345000.0,,,134140000.0,-1040000.0,117853000.0,615016000.0,456833000.0,4325000.0,257089000.0,199744000.0,-4670000.0,195074000.0,1071849000.0,176000000.0,175020000.0,182738000.0
Skyworks Solutions Inc,SWKS,549300WZ3ORQ2BVKBD96,4127,2010.0,Q3,2010-04-03,2010-07-02,2010-08-10 16:19:30+00:00,1501000.0,0.2,0.2,,0.19,17933000.0,34736000.0,34736000.0,34736000.0,157104000.0,275370000.0,19000.0,-1040000.0,,34882000.0,,29451000.0,157104000.0,118266000.0,867000.0,64794000.0,53472000.0,-848000.0,52669000.0,275370000.0,173700000.0,175495000.0,183889000.0
Skyworks Solutions Inc,SWKS,549300WZ3ORQ2BVKBD96,4127,2010.0,Q3YTD,2009-10-03,2010-07-02,,4502000.0,0.52,0.52,,0.5,39829000.0,90490000.0,90490000.0,90490000.0,437892000.0,758566000.0,-300000.0,-1040000.0,,98731000.0,,84164000.0,437892000.0,320674000.0,3670000.0,186357000.0,134317000.0,-3970000.0,130319000.0,758566000.0,173700000.0,175495000.0,183889000.0
Skyworks Solutions Inc,SWKS,549300WZ3ORQ2BVKBD96,4127,2010.0,Q2,2010-01-02,2010-04-02,2010-05-11 16:30:28+00:00,1500000.0,0.16,0.16,,0.15,9104000.0,27744000.0,27744000.0,27744000.0,138204000.0,238058000.0,-208000.0,,,32060000.0,,27982000.0,138204000.0,99854000.0,1183000.0,61542000.0,38312000.0,-1391000.0,36848000.0,238058000.0,173400000.0,174449000.0,182924000.0
Skyworks Solutions Inc,SWKS,549300WZ3ORQ2BVKBD96,4127,2010.0,Q2YTD,2009-10-03,2010-04-02,,3001000.0,0.32,0.32,,0.31,21896000.0,55754000.0,55754000.0,55754000.0,280788000.0,483196000.0,-319000.0,,,63849000.0,,54713000.0,280788000.0,202408000.0,2803000.0,121563000.0,80845000.0,-3122000.0,77650000.0,483196000.0,173400000.0,174449000.0,182924000.0
Skyworks Solutions Inc,SWKS,549300WZ3ORQ2BVKBD96,4127,2010.0,Q1,2009-10-03,2010-01-01,2011-02-08 16:57:45+00:00,1501000.0,0.16,0.16,,0.16,12792000.0,28010000.0,28010000.0,28010000.0,142584000.0,245138000.0,-111000.0,,,31789000.0,,26731000.0,142584000.0,102554000.0,1620000.0,60021000.0,42533000.0,-1731000.0,40802000.0,245138000.0,175100000.0,172717000.0,179404000.0
Skyworks Solutions Inc,SWKS,549300WZ3ORQ2BVKBD96,4127,2011.0,Q4,2011-07-02,2011-09-30,,9454000.0,0.35,0.35,,0.34,13696000.0,64224000.0,64224000.0,64224000.0,227738000.0,402294000.0,685000.0,,,47372000.0,925000.0,39133000.0,227738000.0,174556000.0,437000.0,96884000.0,77672000.0,248000.0,77920000.0,402294000.0,182700000.0,182900000.0,190700000.0
