company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,cashdividendspershare,dilutedeps,incometaxexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,othergains,restructuringcharge,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totalinterestincome,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Precision Castparts Corp ,PCP,0XOOAY5P5J7Q734SEC89,79958,2008.0,FY,2007-04-02,2008-03-30,2010-05-27 14:50:32+00:00,7.15,7.15,0.12,7.04,490200000.0,988500000.0,957300000.0,31200000.0,987300000.0,1200000.0,4873400000.0,6718600000.0,,6100000.0,349300000.0,4873400000.0,1845200000.0,47800000.0,5500000.0,355400000.0,1489800000.0,-42300000.0,1447500000.0,6718600000.0,138100000.0,138100000.0,140200000.0
Precision Castparts Corp ,PCP,0XOOAY5P5J7Q734SEC89,79958,2009.0,Q4,2008-12-29,2009-03-29,,1.86,1.86,0.12,1.86,132300000.0,260200000.0,261800000.0,-1600000.0,260300000.0,-100000.0,1062300000.0,1551300000.0,,-900000.0,92200000.0,1062300000.0,489000000.0,4400000.0,800000.0,91300000.0,397700000.0,-3600000.0,394100000.0,1551300000.0,139500000.0,139400000.0,140600000.0
Precision Castparts Corp ,PCP,0XOOAY5P5J7Q734SEC89,79958,2009.0,FY,2008-03-31,2009-03-29,2011-06-02 14:20:32+00:00,7.49,7.49,0.12,7.43,538400000.0,1044800000.0,1036900000.0,7900000.0,1044500000.0,300000.0,4792100000.0,6770800000.0,0.0,10900000.0,381900000.0,4792100000.0,1978700000.0,18300000.0,7700000.0,392800000.0,1585900000.0,-10600000.0,1575300000.0,6770800000.0,139500000.0,139400000.0,140600000.0
Precision Castparts Corp ,PCP,0XOOAY5P5J7Q734SEC89,79958,2009.0,Q3YTD,2008-03-31,2008-12-28,,5.63,5.63,,5.57,406100000.0,784600000.0,775100000.0,9500000.0,784200000.0,400000.0,3729800000.0,5219500000.0,,11800000.0,289700000.0,3729800000.0,1489700000.0,13900000.0,6900000.0,301500000.0,1188200000.0,-7000000.0,1181200000.0,5219500000.0,139000000.0,139400000.0,140300000.0
Precision Castparts Corp ,PCP,0XOOAY5P5J7Q734SEC89,79958,2009.0,Q3,2008-09-29,2008-12-28,2010-02-05 15:00:19+00:00,1.72,1.72,,1.7,123800000.0,239200000.0,236500000.0,2700000.0,239100000.0,100000.0,1144100000.0,1610700000.0,,11800000.0,92500000.0,1144100000.0,466600000.0,4400000.0,2400000.0,104300000.0,362300000.0,-2000000.0,360300000.0,1610700000.0,139000000.0,139400000.0,140300000.0
Precision Castparts Corp ,PCP,0XOOAY5P5J7Q734SEC89,79958,2009.0,Q2YTD,2008-03-31,2008-09-28,,3.91,3.91,,3.87,282300000.0,545400000.0,538600000.0,6800000.0,545100000.0,300000.0,2585700000.0,3608800000.0,,,197200000.0,2585700000.0,1023100000.0,9500000.0,4500000.0,197200000.0,825900000.0,-5000000.0,820900000.0,3608800000.0,139500000.0,139400000.0,140700000.0
Precision Castparts Corp ,PCP,0XOOAY5P5J7Q734SEC89,79958,2009.0,Q2,2008-06-30,2008-09-28,2009-11-06 13:22:15+00:00,1.93,1.93,,1.91,137200000.0,269500000.0,265100000.0,4400000.0,269300000.0,200000.0,1299700000.0,1798700000.0,,,94900000.0,1299700000.0,499000000.0,4600000.0,2800000.0,94900000.0,404100000.0,-1800000.0,402300000.0,1798700000.0,139500000.0,139400000.0,140700000.0
Precision Castparts Corp ,PCP,0XOOAY5P5J7Q734SEC89,79958,2009.0,Q1,2008-03-31,2008-06-29,2009-08-07 13:12:47+00:00,1.98,1.98,,1.96,145100000.0,275900000.0,273500000.0,2400000.0,275800000.0,100000.0,1286000000.0,1810100000.0,,,102300000.0,1286000000.0,524100000.0,4900000.0,1700000.0,102300000.0,421800000.0,-3200000.0,418600000.0,1810100000.0,139300000.0,139200000.0,140800000.0
Precision Castparts Corp ,PCP,0XOOAY5P5J7Q734SEC89,79958,2010.0,Q4,2009-12-28,2010-03-28,,1.7,1.7,0.12,1.69,121700000.0,241500000.0,237600000.0,3900000.0,241200000.0,300000.0,978500000.0,1433700000.0,1400000.0,,94300000.0,978500000.0,455200000.0,3800000.0,800000.0,94300000.0,360900000.0,-3000000.0,357900000.0,1433700000.0,140700000.0,140700000.0,142100000.0
Precision Castparts Corp ,PCP,0XOOAY5P5J7Q734SEC89,79958,2010.0,FY,2009-03-30,2010-03-28,2012-05-31 13:18:25+00:00,6.55,6.55,0.12,6.49,485700000.0,922600000.0,925900000.0,-3300000.0,921800000.0,800000.0,3668800000.0,5459200000.0,1400000.0,,367100000.0,3668800000.0,1790400000.0,16200000.0,3100000.0,367100000.0,1423300000.0,-13100000.0,1410200000.0,5459200000.0,140700000.0,140700000.0,142100000.0
