company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,amortizationexpense,cashincometaxespaid,cashinterestpaid,depreciationexpense,divestitures,effectofexchangeratechanges,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,issuanceofpreferredequity,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,netincomediscontinued,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,othernetchangesincash,paymentofdividends,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,repurchaseofpreferredequity,saleofinvestments,saleofplantpropertyandequipment
Office Depot Inc,ODP,549300OI428NU7XTM839,800240,2008.0,FY,2007-12-30,2008-12-27,2011-04-06 06:03:55+00:00,-102752000.0,,,,254099000.0,,-10545000.0,79372000.0,503000.0,139098000.0,,-186251000.0,-338669000.0,468256000.0,-186251000.0,-338669000.0,468256000.0,-67209000.0,-1481003000.0,-1481003000.0,,1615788000.0,89000.0,-26474000.0,,,-330075000.0,-324997000.0,-944000.0,,,120632000.0
Office Depot Inc,ODP,549300OI428NU7XTM839,800240,2009.0,Q4,2009-09-27,2009-12-26,,,,,,62350000.0,,-2707000.0,269495000.0,2000.0,24321000.0,,-3959000.0,-55603000.0,29281000.0,-3959000.0,-55603000.0,29281000.0,-32988000.0,-61483000.0,-61483000.0,,-241081000.0,,-1213000.0,,,-56790000.0,-28282000.0,,,,2400000.0
Office Depot Inc,ODP,549300OI428NU7XTM839,800240,2009.0,FY,2008-12-28,2009-12-26,2012-02-28 08:00:42+00:00,,,,,224115000.0,,9099000.0,533173000.0,35000.0,24321000.0,324801000.0,173294000.0,25321000.0,296439000.0,173294000.0,25321000.0,296439000.0,504153000.0,-598724000.0,-598724000.0,,137875000.0,,6037000.0,,,-130847000.0,-175863000.0,,,,150131000.0
Office Depot Inc,ODP,549300OI428NU7XTM839,800240,2009.0,Q3,2009-06-28,2009-09-26,,,,,,54969000.0,,4063000.0,161131000.0,-1000.0,,-2060000.0,-10599000.0,-20060000.0,160772000.0,-10599000.0,-20060000.0,160772000.0,134176000.0,-399045000.0,-399045000.0,,343717000.0,,-147533000.0,,,-20258000.0,-8538000.0,,,,147731000.0
Office Depot Inc,ODP,549300OI428NU7XTM839,800240,2009.0,Q3YTD,2008-12-28,2009-09-26,2011-04-06 06:11:42+00:00,,,,,161765000.0,,11806000.0,263678000.0,33000.0,,324801000.0,177253000.0,80924000.0,267158000.0,177253000.0,80924000.0,267158000.0,537141000.0,-537241000.0,-537241000.0,,378956000.0,,7250000.0,,,-74057000.0,-147581000.0,,,,147731000.0
Office Depot Inc,ODP,549300OI428NU7XTM839,800240,2009.0,Q2YTD,2008-12-28,2009-06-27,2011-04-06 06:09:54+00:00,,,,,106796000.0,,7743000.0,102547000.0,34000.0,,326861000.0,187852000.0,100984000.0,106386000.0,187852000.0,100984000.0,106386000.0,402965000.0,-138196000.0,-138196000.0,,35239000.0,,154783000.0,,,-53799000.0,-139043000.0,,,,
Office Depot Inc,ODP,549300OI428NU7XTM839,800240,2010.0,Q4,2010-09-26,2010-12-25,,,,,,52638000.0,,-2544000.0,-8221000.0,-1215000.0,52488000.0,,15988000.0,-85923000.0,21240000.0,15988000.0,-85923000.0,21240000.0,-51239000.0,-99927000.0,-99927000.0,,76750000.0,,-46509000.0,,-30737000.0,-48983000.0,-26334000.0,21786000.0,,,9569000.0
Office Depot Inc,ODP,549300OI428NU7XTM839,800240,2010.0,FY,2009-12-27,2010-12-25,2013-02-20 12:00:37+00:00,-10952000.0,,,,208319000.0,,-13128000.0,-78522000.0,1011000.0,52488000.0,,-30898000.0,-191520000.0,203126000.0,-30898000.0,-191520000.0,203126000.0,-32420000.0,-46205000.0,-46205000.0,,119534000.0,,-46509000.0,,-49425000.0,-169452000.0,-34972000.0,,,,35393000.0
Office Depot Inc,ODP,549300OI428NU7XTM839,800240,2010.0,Q3TTM,2009-09-27,2010-09-25,,-10952000.0,,,,218031000.0,,-13291000.0,199194000.0,2228000.0,24321000.0,,-50845000.0,-161200000.0,211167000.0,-50845000.0,-161200000.0,211167000.0,-14169000.0,-7761000.0,-7761000.0,,-198297000.0,,-1213000.0,,-18688000.0,-177259000.0,-36920000.0,-21786000.0,,,28224000.0
Office Depot Inc,ODP,549300OI428NU7XTM839,800240,2010.0,Q3,2010-06-27,2010-09-25,,,,,,52100000.0,,12820000.0,39713000.0,1107000.0,,,-30003000.0,-29189000.0,147249000.0,-30003000.0,-29189000.0,147249000.0,100877000.0,40622000.0,40622000.0,,14814000.0,,,,-9475000.0,-37267000.0,151000.0,-21786000.0,,,8078000.0
