company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,cashdividendspershare,dilutedeps,impairmentexpense,incometaxexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,otheradjustmentstonetincometocommon,otherincome,otherspecialcharges,preferreddividends,restructuringcharge,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totalinterestincome,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Office Depot Inc,ODP,549300OI428NU7XTM839,800240,2008.0,FY,2007-12-30,2008-12-27,2011-04-06 06:03:55+00:00,-5.42,-5.42,,-5.42,1492272000.0,-98645000.0,-1481003000.0,-1481003000.0,,-1478938000.0,-2065000.0,10489785000.0,14495544000.0,,23666000.0,-7308000.0,,,4065836000.0,10489785000.0,4005759000.0,68286000.0,10013000.0,5550800000.0,-1545041000.0,-34607000.0,-1579648000.0,14495544000.0,272900000.0,272900000.0,272900000.0
Office Depot Inc,ODP,549300OI428NU7XTM839,800240,2009.0,FY,2008-12-28,2009-12-26,2012-02-28 08:00:42+00:00,-2.3,-2.3,,-2.3,26175000.0,287572000.0,-598724000.0,-598724000.0,,-626971000.0,-2259000.0,8752283000.0,12144467000.0,,17085000.0,,30506000.0,,3631014000.0,8752283000.0,3392184000.0,65628000.0,2396000.0,3657189000.0,-265005000.0,-46147000.0,-311152000.0,12144467000.0,272828000.0,272828000.0,272828000.0
Office Depot Inc,ODP,549300OI428NU7XTM839,800240,2009.0,Q3,2009-06-28,2009-09-26,2011-04-06 06:11:42+00:00,-1.51,-1.51,,-1.51,,358400000.0,-399045000.0,-399045000.0,,-412965000.0,-1011000.0,2169084000.0,3029207000.0,,9369000.0,,14931000.0,,892919000.0,2169084000.0,860123000.0,17242000.0,24000.0,892919000.0,-32796000.0,-7849000.0,-40645000.0,3029207000.0,273500000.0,274194000.0,274194000.0
Office Depot Inc,ODP,549300OI428NU7XTM839,800240,2009.0,Q2,2009-03-29,2009-06-27,2011-04-06 06:09:54+00:00,-0.31,-0.31,,-0.31,,-30680000.0,-82864000.0,-82864000.0,,-82558000.0,-792000.0,2060093000.0,2824141000.0,,412000.0,,486000.0,,861977000.0,2060093000.0,764048000.0,16745000.0,718000.0,861977000.0,-97929000.0,-15615000.0,-113544000.0,2824141000.0,266300000.0,270290000.0,270290000.0
Office Depot Inc,ODP,549300OI428NU7XTM839,800240,2010.0,Q4,2010-09-26,2010-12-25,,-0.4,-0.4,,-0.4,51295000.0,22026000.0,-99927000.0,-99927000.0,,-108626000.0,-516000.0,2114397000.0,2961932000.0,,12482000.0,,9215000.0,,869751000.0,2114397000.0,847535000.0,18042000.0,1170000.0,921046000.0,-73511000.0,-4390000.0,-77901000.0,2961932000.0,275557000.0,275557000.0,275557000.0
Office Depot Inc,ODP,549300OI428NU7XTM839,800240,2010.0,FY,2009-12-27,2010-12-25,2013-02-20 12:00:37+00:00,-0.3,-0.3,,-0.3,51295000.0,-10470000.0,-46205000.0,-46205000.0,,-81736000.0,-1582000.0,8275957000.0,11633094000.0,,34451000.0,,37113000.0,,3343133000.0,8275957000.0,3357137000.0,58498000.0,4663000.0,3394428000.0,-37291000.0,-19384000.0,-56675000.0,11633094000.0,275557000.0,275557000.0,275557000.0
Office Depot Inc,ODP,549300OI428NU7XTM839,800240,2010.0,Q3YTD,2009-12-27,2010-09-25,,0.1,0.1,,0.1,,-32496000.0,53722000.0,53722000.0,,26890000.0,-1066000.0,6161560000.0,8671162000.0,,21969000.0,,27898000.0,,2473382000.0,6161560000.0,2509602000.0,40456000.0,3493000.0,2473382000.0,36220000.0,-14994000.0,21226000.0,8671162000.0,267000000.0,275956000.0,275956000.0
Office Depot Inc,ODP,549300OI428NU7XTM839,800240,2010.0,Q3,2010-06-27,2010-09-25,2011-10-25 08:07:02+00:00,0.12,0.12,,0.12,,-24700000.0,40622000.0,40622000.0,,32044000.0,-632000.0,2070534000.0,2899717000.0,,11189000.0,,9210000.0,,820870000.0,2070534000.0,829183000.0,6093000.0,2513000.0,820870000.0,8313000.0,7609000.0,15922000.0,2899717000.0,267000000.0,275956000.0,275956000.0
Office Depot Inc,ODP,549300OI428NU7XTM839,800240,2010.0,Q2YTD,2009-12-27,2010-06-26,,-0.02,-0.02,,-0.02,,-7796000.0,13100000.0,13100000.0,,-5154000.0,-434000.0,4091026000.0,5771445000.0,,10780000.0,,18688000.0,,1652512000.0,4091026000.0,1680419000.0,34363000.0,980000.0,1652512000.0,27907000.0,-22603000.0,5304000.0,5771445000.0,279400000.0,275320000.0,275320000.0
Office Depot Inc,ODP,549300OI428NU7XTM839,800240,2010.0,Q2,2010-03-28,2010-06-26,2011-07-26 08:03:50+00:00,-0.09,-0.09,,-0.09,,-22923000.0,-16140000.0,-16140000.0,,-25147000.0,-206000.0,1932787000.0,2699475000.0,,4681000.0,,9213000.0,,794284000.0,1932787000.0,766688000.0,16591000.0,443000.0,794284000.0,-27596000.0,-11467000.0,-39063000.0,2699475000.0,279400000.0,275320000.0,275320000.0
