company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,amortizationexpense,depreciationexpense,effectofexchangeratechanges,increasedecreaseinoperatingcapital,issuanceofcommonequity,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,repurchaseofpreferredequity,saleofinvestments,saleofplantpropertyandequipment
Align Technology Inc,ALGN,549300N5YSE0U3LCP840,1097149,2008.0,FY,2008-01-01,2008-12-31,2011-02-24 13:15:33+00:00,,2827000.0,9964000.0,-355000.0,-72919000.0,10506000.0,-40355000.0,-1055000.0,39746000.0,-40355000.0,-1055000.0,39746000.0,-2019000.0,79987000.0,79987000.0,19887000.0,-316000.0,214000.0,-75050000.0,-14334000.0,-407000.0,-50138000.0,,87926000.0,189000.0
Align Technology Inc,ALGN,549300N5YSE0U3LCP840,1097149,2009.0,FY,2009-01-01,2009-12-31,2012-02-29 16:52:11+00:00,,8965000.0,10204000.0,-59000.0,13272000.0,8097000.0,6837000.0,-1556000.0,74165000.0,6837000.0,-1556000.0,74165000.0,79387000.0,-31269000.0,-31269000.0,72993000.0,-1124000.0,-334000.0,-42923000.0,-7192000.0,-136000.0,,,48893000.0,
Align Technology Inc,ALGN,549300N5YSE0U3LCP840,1097149,2009.0,Q4,2009-10-01,2009-12-31,,,4959000.0,2622000.0,-117000.0,11706000.0,1721000.0,861000.0,-4477000.0,34259000.0,861000.0,-4477000.0,34259000.0,30526000.0,11492000.0,11492000.0,3480000.0,-860000.0,-369000.0,-8983000.0,-3108000.0,,,,7983000.0,
Align Technology Inc,ALGN,549300N5YSE0U3LCP840,1097149,2009.0,Q3,2009-07-01,2009-09-30,,,2606000.0,2603000.0,50000.0,-5435000.0,2191000.0,2126000.0,810000.0,10793000.0,2126000.0,810000.0,10793000.0,13779000.0,-49942000.0,-49942000.0,60961000.0,-65000.0,-65000.0,-12968000.0,-1040000.0,,,,14883000.0,
Align Technology Inc,ALGN,549300N5YSE0U3LCP840,1097149,2009.0,Q3YTD,2009-01-01,2009-09-30,2010-11-04 12:56:05+00:00,,4006000.0,7582000.0,58000.0,1566000.0,6376000.0,5976000.0,2921000.0,39906000.0,5976000.0,2921000.0,39906000.0,48861000.0,-42761000.0,-42761000.0,69513000.0,-264000.0,35000.0,-33940000.0,-4084000.0,-136000.0,,,40910000.0,
Align Technology Inc,ALGN,549300N5YSE0U3LCP840,1097149,2009.0,Q2YTD,2009-01-01,2009-06-30,2010-08-05 14:01:57+00:00,,1400000.0,4979000.0,8000.0,7001000.0,4185000.0,3850000.0,2111000.0,29113000.0,3850000.0,2111000.0,29113000.0,35082000.0,7181000.0,7181000.0,8552000.0,-199000.0,100000.0,-20972000.0,-3044000.0,-136000.0,,,26027000.0,
Align Technology Inc,ALGN,549300N5YSE0U3LCP840,1097149,2010.0,Q4,2010-10-01,2010-12-31,,,700000.0,2692000.0,-110000.0,19053000.0,915000.0,4689000.0,-7364000.0,32525000.0,4689000.0,-7364000.0,32525000.0,29740000.0,9905000.0,9905000.0,175000.0,3774000.0,1211000.0,-5592000.0,-6099000.0,,,,3116000.0,
Align Technology Inc,ALGN,549300N5YSE0U3LCP840,1097149,2010.0,FY,2010-01-01,2010-12-31,2013-03-01 08:03:41+00:00,0.0,3627000.0,11386000.0,-139000.0,27900000.0,11822000.0,14707000.0,-15920000.0,129529000.0,14707000.0,-15920000.0,129529000.0,128177000.0,74253000.0,74253000.0,12363000.0,2885000.0,-145000.0,-18334000.0,-18031000.0,,0.0,,20590000.0,0.0
Align Technology Inc,ALGN,549300N5YSE0U3LCP840,1097149,2010.0,Q3YTD,2010-01-01,2010-09-30,2010-11-04 12:56:05+00:00,,2927000.0,8694000.0,-29000.0,8847000.0,10907000.0,10018000.0,-8556000.0,97004000.0,10018000.0,-8556000.0,97004000.0,98437000.0,64348000.0,64348000.0,12188000.0,-889000.0,-1356000.0,-12742000.0,-11932000.0,,,,17474000.0,
Align Technology Inc,ALGN,549300N5YSE0U3LCP840,1097149,2010.0,Q3TTM,2009-10-01,2010-09-30,,,7886000.0,11316000.0,-146000.0,20553000.0,12628000.0,10879000.0,-13033000.0,131263000.0,10879000.0,-13033000.0,131263000.0,128963000.0,75840000.0,75840000.0,15668000.0,-1749000.0,-1725000.0,-21725000.0,-15040000.0,,,,25457000.0,
