company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,amortizationexpense,basicdilutedeps,basiceps,dilutedeps,impairmentexpense,incometaxexpense,marketingexpense,netincome,netincomecontinuing,netincometocommon,operatingcostofrevenue,operatingrevenue,othergains,otherincome,otheroperatingexpenses,otherrevenue,otherspecialcharges,rdexpense,restructuringcharge,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totalinterestincome,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Align Technology Inc,ALGN,549300N5YSE0U3LCP840,1097149,2008.0,FY,2008-01-01,2008-12-31,2011-02-24 13:15:33+00:00,,1.2,1.2,1.18,,-62911000.0,115062000.0,79987000.0,79987000.0,79987000.0,78850000.0,285798000.0,,-1466000.0,0.0,18178000.0,0.0,26165000.0,6231000.0,62154000.0,78850000.0,225126000.0,24000.0,3052000.0,209612000.0,15514000.0,1562000.0,17076000.0,303976000.0,66700000.0,66812000.0,68064000.0
Align Technology Inc,ALGN,549300N5YSE0U3LCP840,1097149,2009.0,FY,2009-01-01,2009-12-31,2012-02-29 16:52:11+00:00,,-0.45,-0.45,-0.45,,-2624000.0,112542000.0,-31269000.0,-31269000.0,-31269000.0,78841000.0,312333000.0,,-375000.0,,,69673000.0,22252000.0,1319000.0,61718000.0,78841000.0,233492000.0,85000.0,579000.0,267504000.0,-34012000.0,119000.0,-33893000.0,312333000.0,69500000.0,69094000.0,69094000.0
Align Technology Inc,ALGN,549300N5YSE0U3LCP840,1097149,2009.0,Q3,2009-07-01,2009-09-30,2010-11-04 12:56:05+00:00,,-0.72,-0.72,-0.72,,-10523000.0,27687000.0,-49942000.0,-49942000.0,-49942000.0,20268000.0,75092000.0,,-271000.0,,4177000.0,69673000.0,5611000.0,,16224000.0,20268000.0,59001000.0,,,119195000.0,-60194000.0,-271000.0,-60465000.0,79269000.0,69400000.0,69528000.0,69528000.0
Align Technology Inc,ALGN,549300N5YSE0U3LCP840,1097149,2009.0,Q2,2009-04-01,2009-06-30,2010-08-05 14:01:57+00:00,,0.07,0.07,0.07,,2265000.0,29108000.0,4545000.0,4545000.0,4545000.0,18338000.0,71388000.0,,557000.0,,4928000.0,,5669000.0,409000.0,16539000.0,18338000.0,57978000.0,,,51725000.0,6253000.0,557000.0,6810000.0,76316000.0,64900000.0,66285000.0,67373000.0
Align Technology Inc,ALGN,549300N5YSE0U3LCP840,1097149,2010.0,FY,2010-01-01,2010-12-31,2012-02-29 16:52:11+00:00,,0.98,0.98,0.95,,27750000.0,114013000.0,74253000.0,74253000.0,74253000.0,83709000.0,387126000.0,,-1267000.0,-8666000.0,,4549000.0,25997000.0,,64790000.0,83709000.0,303417000.0,19000.0,555000.0,200683000.0,102734000.0,-731000.0,102003000.0,387126000.0,75800000.0,75825000.0,78080000.0
Align Technology Inc,ALGN,549300N5YSE0U3LCP840,1097149,2010.0,Q4,2010-10-01,2010-12-31,,,0.13,0.13,0.12,,4614000.0,30223000.0,9905000.0,9905000.0,9905000.0,21137000.0,97561000.0,,-787000.0,-8666000.0,-4668000.0,9905000.0,6893000.0,,18631000.0,21137000.0,71756000.0,19000.0,555000.0,56986000.0,14770000.0,-251000.0,14519000.0,92893000.0,75800000.0,75825000.0,78080000.0
Align Technology Inc,ALGN,549300N5YSE0U3LCP840,1097149,2010.0,Q3,2010-07-01,2010-09-30,2011-11-04 12:05:18+00:00,,0.22,0.22,0.22,,5025000.0,26905000.0,16815000.0,16815000.0,16815000.0,21014000.0,95947000.0,,-83000.0,,,3310000.0,6592000.0,,16203000.0,21014000.0,74933000.0,,,53010000.0,21923000.0,-83000.0,21840000.0,95947000.0,76400000.0,76081000.0,78109000.0
Align Technology Inc,ALGN,549300N5YSE0U3LCP840,1097149,2010.0,Q3YTD,2010-01-01,2010-09-30,,,0.85,0.85,0.83,,23136000.0,83790000.0,64348000.0,64348000.0,64348000.0,62572000.0,289565000.0,,-480000.0,,4668000.0,-5356000.0,19104000.0,,46159000.0,62572000.0,231661000.0,,,143697000.0,87964000.0,-480000.0,87484000.0,294233000.0,76400000.0,76081000.0,78109000.0
Align Technology Inc,ALGN,549300N5YSE0U3LCP840,1097149,2010.0,Q2,2010-04-01,2010-06-30,2011-08-08 14:36:18+00:00,,0.43,0.43,0.42,,12897000.0,28939000.0,32603000.0,32603000.0,32603000.0,21178000.0,108196000.0,,156000.0,,,-8666000.0,6396000.0,,15005000.0,21178000.0,87018000.0,,,41674000.0,45344000.0,156000.0,45500000.0,108196000.0,75800000.0,75703000.0,77607000.0
Align Technology Inc,ALGN,549300N5YSE0U3LCP840,1097149,2010.0,Q2YTD,2010-01-01,2010-06-30,,,0.63,0.63,0.61,,18111000.0,56885000.0,47533000.0,47533000.0,47533000.0,41558000.0,193618000.0,,-397000.0,,4668000.0,-8666000.0,12512000.0,,29956000.0,41558000.0,156728000.0,,,90687000.0,66041000.0,-397000.0,65644000.0,198286000.0,75800000.0,75703000.0,77607000.0
