company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,amortizationexpense,cashincometaxespaid,cashinterestpaid,depreciationexpense,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromdiscontinuedinvestingactivities,netcashfromdiscontinuedoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,paymentofdividends,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,repurchaseofpreferredequity,saleofplantpropertyandequipment
American Water Works Company Inc,AWK,,1410636,2008.0,FY,2008-01-01,2008-12-31,2011-02-25 20:58:29+00:00,-12512000.0,,-22161000.0,294508000.0,312776000.0,101166000.0,836000.0,538625000.0,477559000.0,-1033667000.0,552169000.0,,,477559000.0,-1033667000.0,552169000.0,-3939000.0,-562421000.0,-562421000.0,700648000.0,248078000.0,-24953000.0,-64055000.0,-1008806000.0,-245696000.0,,-229000.0,12604000.0
American Water Works Company Inc,AWK,,1410636,2009.0,Q4,2009-10-01,2009-12-31,,-17494000.0,-30417000.0,11205000.0,303958000.0,92935000.0,31639000.0,506000.0,205932000.0,67220000.0,-177400000.0,124605000.0,,,67220000.0,-177400000.0,124605000.0,14425000.0,36371000.0,36371000.0,-5923000.0,7862000.0,32355000.0,-36667000.0,-192371000.0,-110335000.0,,-78000.0,110000.0
American Water Works Company Inc,AWK,,1410636,2009.0,FY,2009-01-01,2009-12-31,2012-02-28 15:14:21+00:00,-18144000.0,,11205000.0,303958000.0,309874000.0,95091000.0,244390000.0,542926000.0,120169000.0,-703611000.0,596156000.0,,,120169000.0,-703611000.0,596156000.0,12714000.0,-233083000.0,-233083000.0,424274000.0,21211000.0,98561000.0,-137331000.0,-785265000.0,-550809000.0,,-218000.0,1237000.0
American Water Works Company Inc,AWK,,1410636,2009.0,Q3,2009-07-01,2009-09-30,,-650000.0,10273000.0,,,74854000.0,79423000.0,573000.0,27209000.0,-74918000.0,-169106000.0,242843000.0,,,-74918000.0,-169106000.0,242843000.0,-1181000.0,91636000.0,91636000.0,-13343000.0,7165000.0,23358000.0,-36658000.0,-192720000.0,-73073000.0,,-134000.0,906000.0
American Water Works Company Inc,AWK,,1410636,2009.0,Q3YTD,2009-01-01,2009-09-30,2010-11-03 16:26:37+00:00,-650000.0,30417000.0,,,216939000.0,63452000.0,243884000.0,336994000.0,52949000.0,-526211000.0,471551000.0,,,52949000.0,-526211000.0,471551000.0,-1711000.0,-269454000.0,-269454000.0,430197000.0,13349000.0,66206000.0,-100664000.0,-592894000.0,-440474000.0,,-140000.0,1127000.0
American Water Works Company Inc,AWK,,1410636,2009.0,Q2YTD,2009-01-01,2009-06-30,2010-08-04 16:34:35+00:00,0.0,20144000.0,,,142085000.0,-15971000.0,243311000.0,309785000.0,127867000.0,-357105000.0,228708000.0,,,127867000.0,-357105000.0,228708000.0,-530000.0,-361090000.0,-361090000.0,443540000.0,6184000.0,42848000.0,-64006000.0,-400174000.0,-367401000.0,,-6000.0,221000.0
American Water Works Company Inc,AWK,,1410636,2010.0,FY,2010-01-01,2010-12-31,2013-03-01 06:06:23+00:00,-1642000.0,,-30108000.0,329417000.0,330264000.0,207250000.0,6711000.0,378761000.0,-37334000.0,-746743000.0,778055000.0,,,-37334000.0,-746743000.0,774933000.0,-9144000.0,267827000.0,267827000.0,-27286000.0,7042000.0,20296000.0,-150301000.0,-765636000.0,-279319000.0,,-228000.0,239000.0
American Water Works Company Inc,AWK,,1410636,2010.0,Q3TTM,2009-10-01,2010-09-30,,-19164000.0,-30417000.0,11205000.0,303958000.0,339694000.0,179994000.0,4329000.0,447471000.0,-12610000.0,-683352000.0,711632000.0,,,-12610000.0,-683352000.0,711632000.0,15670000.0,264044000.0,264044000.0,-41683000.0,12837000.0,50013000.0,-148492000.0,-714461000.0,-328527000.0,,-228000.0,260000.0
American Water Works Company Inc,AWK,,1410636,2010.0,Q3,2010-07-01,2010-09-30,,-98000.0,,,,84005000.0,106608000.0,1958000.0,90918000.0,-111901000.0,-174726000.0,289518000.0,,,-111901000.0,-174726000.0,289518000.0,2891000.0,124114000.0,124114000.0,-25209000.0,4454000.0,20132000.0,-38457000.0,-194811000.0,-170640000.0,,-134000.0,51000.0
American Water Works Company Inc,AWK,,1410636,2010.0,Q3YTD,2010-01-01,2010-09-30,2011-11-02 16:39:41+00:00,-1670000.0,,,,246759000.0,148355000.0,3823000.0,241539000.0,-79830000.0,-505952000.0,587027000.0,,,-79830000.0,-505952000.0,587027000.0,1245000.0,227673000.0,227673000.0,-35760000.0,4975000.0,17658000.0,-111825000.0,-522090000.0,-218192000.0,,-150000.0,150000.0
