company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,cashdividendspershare,depreciationexpense,dilutedeps,impairmentexpense,incometaxexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,otherincome,otheroperatingexpenses,otherspecialcharges,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totalinterestincome,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
American Water Works Company Inc,AWK,,1410636,2008.0,FY,2008-01-01,2008-12-31,2011-02-25 20:58:29+00:00,-3.52,-3.52,0.4,312776000.0,-3.52,750000000.0,111827000.0,-562421000.0,-562421000.0,,-562421000.0,,1262283000.0,2336928000.0,13286000.0,199139000.0,-374000.0,1262283000.0,1074645000.0,276984000.0,,1261541000.0,-186896000.0,-263698000.0,-450594000.0,2336928000.0,159800000.0,159967000.0,159967000.0
American Water Works Company Inc,AWK,,1410636,2009.0,FY,2009-01-01,2009-12-31,2012-02-28 15:14:21+00:00,-1.39,-1.39,0.82,309874000.0,-1.39,428036000.0,113792000.0,-233083000.0,-219998000.0,-13085000.0,-233083000.0,,1182376000.0,2290446000.0,1053000.0,186620000.0,-295000.0,1182376000.0,1108070000.0,291094000.0,,924235000.0,183835000.0,-290041000.0,-106206000.0,2290446000.0,167700000.0,168164000.0,168164000.0
American Water Works Company Inc,AWK,,1410636,2009.0,Q3,2009-07-01,2009-09-30,2010-11-03 16:26:37+00:00,0.52,0.52,0.21,74854000.0,0.52,0.0,50165000.0,91636000.0,91636000.0,,91636000.0,,340862000.0,679956000.0,-155000.0,50618000.0,-784000.0,340862000.0,339094000.0,72450000.0,,124688000.0,214406000.0,-72605000.0,141801000.0,679956000.0,176200000.0,174595000.0,174691000.0
American Water Works Company Inc,AWK,,1410636,2009.0,Q2,2009-04-01,2009-06-30,2010-08-04 16:34:35+00:00,0.32,0.32,0.2,73242000.0,0.32,0.0,34137000.0,51989000.0,51989000.0,,51989000.0,,330597000.0,612740000.0,631000.0,51699000.0,10000.0,330597000.0,282143000.0,71697000.0,,124951000.0,157192000.0,-71066000.0,86126000.0,612740000.0,162500000.0,163229000.0,163301000.0
American Water Works Company Inc,AWK,,1410636,2010.0,Q4,2010-10-01,2010-12-31,,0.22,0.22,0.22,82508000.0,0.22,,33351000.0,40154000.0,38014000.0,2140000.0,40154000.0,,325103000.0,604410000.0,3559000.0,48193000.0,-55000.0,325103000.0,279307000.0,80855000.0,,130646000.0,148661000.0,-77296000.0,71365000.0,604410000.0,175100000.0,174833000.0,175124000.0
American Water Works Company Inc,AWK,,1410636,2010.0,FY,2010-01-01,2010-12-31,2013-03-01 06:06:23+00:00,1.53,1.53,0.86,330264000.0,1.53,,174352000.0,267827000.0,255072000.0,12755000.0,267827000.0,,1290941000.0,2555035000.0,9842000.0,205597000.0,111000.0,1290941000.0,1264094000.0,308540000.0,,535972000.0,728122000.0,-298698000.0,429424000.0,2555035000.0,175100000.0,174833000.0,175124000.0
American Water Works Company Inc,AWK,,1410636,2010.0,Q3YTD,2010-01-01,2010-09-30,,1.31,1.31,0.64,247756000.0,1.31,,141001000.0,227673000.0,217058000.0,10615000.0,227673000.0,,965838000.0,1950625000.0,6283000.0,157404000.0,166000.0,965838000.0,984787000.0,227685000.0,,405326000.0,579461000.0,-221402000.0,358059000.0,1950625000.0,174800000.0,174859000.0,175062000.0
American Water Works Company Inc,AWK,,1410636,2010.0,Q3,2010-07-01,2010-09-30,2011-11-02 16:39:41+00:00,0.71,0.71,0.22,84005000.0,0.71,,75762000.0,124114000.0,119357000.0,4757000.0,124114000.0,,346180000.0,748953000.0,1712000.0,52029000.0,211000.0,346180000.0,402773000.0,73121000.0,,136245000.0,266528000.0,-71409000.0,195119000.0,748953000.0,174800000.0,174859000.0,175062000.0
American Water Works Company Inc,AWK,,1410636,2010.0,Q2YTD,2010-01-01,2010-06-30,,0.6,0.6,0.42,163751000.0,0.6,,65239000.0,103559000.0,97701000.0,5858000.0,103559000.0,,619658000.0,1201672000.0,4571000.0,105375000.0,-45000.0,619658000.0,582014000.0,154564000.0,,269081000.0,312933000.0,-149993000.0,162940000.0,1201672000.0,173200000.0,174774000.0,174850000.0
American Water Works Company Inc,AWK,,1410636,2010.0,Q2,2010-04-01,2010-06-30,2011-08-03 16:46:18+00:00,0.42,0.42,0.21,81695000.0,0.42,,46570000.0,72751000.0,68021000.0,4730000.0,72751000.0,,314016000.0,634910000.0,3557000.0,50889000.0,26000.0,314016000.0,320894000.0,77250000.0,,132610000.0,188284000.0,-73693000.0,114591000.0,634910000.0,173200000.0,174774000.0,174850000.0
American Water Works Company Inc,AWK,,1410636,2010.0,Q1,2010-01-01,2010-03-31,2011-05-04 16:41:42+00:00,0.18,0.18,0.21,82056000.0,0.18,,18669000.0,30808000.0,29680000.0,1128000.0,30808000.0,,305642000.0,566762000.0,1014000.0,54486000.0,-71000.0,305642000.0,261120000.0,77314000.0,,136471000.0,124649000.0,-76300000.0,48349000.0,566762000.0,171200000.0,174720000.0,174796000.0
American Water Works Company Inc,AWK,,1410636,2011.0,Q4,2011-10-01,2011-12-31,,0.37,0.37,0.23,89278000.0,0.36,,41144000.0,64848000.0,60918000.0,3930000.0,64848000.0,,323477000.0,639779000.0,2238000.0,49596000.0,346000.0,323477000.0,316302000.0,77258000.0,,139220000.0,177082000.0,-75020000.0,102062000.0,639779000.0,175900000.0,175484000.0,176531000.0
American Water Works Company Inc,AWK,,1410636,2011.0,FY,2011-01-01,2011-12-31,2014-02-26 19:32:42+00:00,1.76,1.76,1.13,351821000.0,1.75,,198751000.0,309613000.0,304929000.0,4684000.0,309613000.0,,1301794000.0,2666236000.0,7036000.0,210478000.0,-993000.0,1301794000.0,1364442000.0,306492000.0,,561306000.0,803136000.0,-299456000.0,503680000.0,2666236000.0,175900000.0,175484000.0,176531000.0
American Water Works Company Inc,AWK,,1410636,2011.0,Q3YTD,2011-01-01,2011-09-30,,1.39,1.39,0.9,262543000.0,1.39,,157607000.0,244765000.0,244011000.0,754000.0,244765000.0,,978317000.0,2026457000.0,4798000.0,160882000.0,-1339000.0,978317000.0,1048140000.0,229234000.0,,422086000.0,626054000.0,-224436000.0,401618000.0,2026457000.0,176200000.0,175547000.0,176593000.0
