company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,cashdividendspershare,depreciationexpense,dilutedeps,explorationexpense,incometaxexpense,netincome,netincomecontinuing,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,otheradjustmentstonetincometocommon,othercostofrevenue,otherincome,otheroperatingexpenses,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totalinterestincome,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Chevron Corp,CVX,,93410,2007.0,FY,2007-01-01,2007-12-31,2010-02-25 12:56:14+00:00,8.83,8.83,2.3,8708000000.0,8.77,1323000000.0,13479000000.0,18795000000.0,18795000000.0,18688000000.0,107000000.0,133309000000.0,218235000000.0,,22266000000.0,2669000000.0,,22858000000.0,155575000000.0,62660000000.0,166000000.0,,32889000000.0,29771000000.0,2503000000.0,32274000000.0,218235000000.0,2116400000.0,2116400000.0,2130900000.0
Chevron Corp,CVX,,93410,2008.0,Q4,2008-10-01,2008-12-31,,2.45,2.45,0.7,2589000000.0,2.44,338000000.0,2345000000.0,4901000000.0,4901000000.0,4895000000.0,34000000.0,23575000000.0,43988000000.0,-28000000.0,4547000000.0,1215000000.0,,6908000000.0,28122000000.0,15866000000.0,,,9835000000.0,6031000000.0,1215000000.0,7246000000.0,43988000000.0,2038000000.0,2038000000.0,2038000000.0
Chevron Corp,CVX,,93410,2008.0,FY,2008-01-01,2008-12-31,2011-02-24 12:52:15+00:00,11.74,11.74,2.5810000000000004,9528000000.0,11.67,1169000000.0,19026000000.0,24031000000.0,24031000000.0,23931000000.0,100000000.0,171397000000.0,270324000000.0,,21303000000.0,2681000000.0,,26551000000.0,192700000000.0,77624000000.0,,,37248000000.0,40376000000.0,2681000000.0,43057000000.0,270324000000.0,2038000000.0,2038000000.0,2038000000.0
Chevron Corp,CVX,,93410,2008.0,Q3YTD,2008-01-01,2008-09-30,,9.29,9.29,1.88,6939000000.0,9.23,831000000.0,16681000000.0,19130000000.0,19130000000.0,19036000000.0,66000000.0,147822000000.0,226336000000.0,28000000.0,16756000000.0,1466000000.0,,19643000000.0,164578000000.0,61758000000.0,,,27413000000.0,34345000000.0,1466000000.0,35811000000.0,226336000000.0,2034300000.0,2032433000.0,2044616000.0
Chevron Corp,CVX,,93410,2008.0,Q3,2008-07-01,2008-09-30,2009-11-05 11:12:07+00:00,3.88,3.88,0.65,2449000000.0,3.85,271000000.0,6416000000.0,7925000000.0,7925000000.0,7893000000.0,32000000.0,49238000000.0,77865000000.0,,5614000000.0,1002000000.0,,6954000000.0,54852000000.0,23013000000.0,0.0,,9674000000.0,13339000000.0,1002000000.0,14341000000.0,77865000000.0,2034300000.0,2032433000.0,2044616000.0
Chevron Corp,CVX,,93410,2008.0,Q2YTD,2008-01-01,2008-06-30,,5.41,5.41,1.23,4490000000.0,5.38,560000000.0,10265000000.0,11205000000.0,11205000000.0,11143000000.0,34000000.0,98584000000.0,148471000000.0,28000000.0,11142000000.0,464000000.0,,12689000000.0,109726000000.0,38745000000.0,,,17739000000.0,21006000000.0,464000000.0,21470000000.0,148471000000.0,2053300000.0,2050773000.0,2064888000.0
Chevron Corp,CVX,,93410,2008.0,Q2,2008-04-01,2008-06-30,2009-08-06 11:27:55+00:00,2.91,2.91,0.65,2275000000.0,2.9,307000000.0,5756000000.0,6009000000.0,6009000000.0,5975000000.0,34000000.0,56056000000.0,82525000000.0,,5699000000.0,464000000.0,,6887000000.0,61755000000.0,20770000000.0,0.0,,9469000000.0,11301000000.0,464000000.0,11765000000.0,82525000000.0,2053300000.0,2050773000.0,2064888000.0
Chevron Corp,CVX,,93410,2008.0,Q1,2008-01-01,2008-03-31,2009-05-07 11:18:40+00:00,2.5,2.5,0.58,2215000000.0,2.48,253000000.0,4509000000.0,5196000000.0,5196000000.0,5168000000.0,,42528000000.0,65946000000.0,28000000.0,5443000000.0,,,5802000000.0,47971000000.0,17975000000.0,0.0,,8270000000.0,9705000000.0,,9705000000.0,65946000000.0,2067200000.0,2066420000.0,2080209000.0
Chevron Corp,CVX,,93410,2009.0,Q4,2009-10-01,2009-12-31,,1.54,1.54,0.72,3156000000.0,1.53,281000000.0,2719000000.0,3102000000.0,3102000000.0,3070000000.0,32000000.0,28606000000.0,45170000000.0,,4583000000.0,190000000.0,,6229000000.0,33189000000.0,11981000000.0,,3316000000.0,9666000000.0,2315000000.0,3506000000.0,5821000000.0,45170000000.0,1992000000.0,1992000000.0,1992000000.0
Chevron Corp,CVX,,93410,2009.0,FY,2009-01-01,2009-12-31,2012-02-23 13:51:37+00:00,5.26,5.26,2.697,12110000000.0,5.24,1342000000.0,7965000000.0,10563000000.0,10563000000.0,10483000000.0,80000000.0,99653000000.0,167402000000.0,,17591000000.0,918000000.0,,22384000000.0,117244000000.0,50158000000.0,28000000.0,3316000000.0,35836000000.0,14322000000.0,4206000000.0,18528000000.0,167402000000.0,1992000000.0,1992000000.0,1992000000.0
