company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,amortizationexpense,depreciationexpense,divestitures,effectofexchangeratechanges,increasedecreaseinoperatingcapital,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,othernetchangesincash,paymentofdividends,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,repurchaseofpreferredequity,saleofinvestments
Interpublic Group of Companies Inc,IPG,5493008IUOJ5VWTRC333,51644,2008.0,FY,2008-01-01,2008-12-31,2011-02-25 09:02:37+00:00,-106000000.0,28700000.0,173300000.0,27900000.0,-92900000.0,219200000.0,3200000.0,-275800000.0,-404300000.0,865300000.0,-275800000.0,-404300000.0,865300000.0,92300000.0,318000000.0,318000000.0,126100000.0,0.0,2100000.0,,-42200000.0,-189900000.0,-138400000.0,-236800000.0,,0.0,
Interpublic Group of Companies Inc,IPG,5493008IUOJ5VWTRC333,51644,2009.0,Q4,2009-10-01,2009-12-31,,-1200000.0,-900000.0,43400000.0,-5000000.0,16700000.0,516700000.0,,-4400000.0,-17900000.0,739300000.0,-4400000.0,-17900000.0,739300000.0,733700000.0,159700000.0,159700000.0,20400000.0,-5900000.0,11100000.0,,-8000000.0,,-23400000.0,9500000.0,,,600000.0
Interpublic Group of Companies Inc,IPG,5493008IUOJ5VWTRC333,51644,2009.0,FY,2009-01-01,2009-12-31,2012-02-24 09:09:28+00:00,-72400000.0,12100000.0,169900000.0,,84800000.0,108100000.0,587700000.0,-267000000.0,29400000.0,540800000.0,-267000000.0,29400000.0,540800000.0,388000000.0,143400000.0,143400000.0,107300000.0,-5900000.0,10400000.0,,-49800000.0,,-67100000.0,-799000000.0,0.0,0.0,158500000.0
Interpublic Group of Companies Inc,IPG,5493008IUOJ5VWTRC333,51644,2009.0,Q3,2009-07-01,2009-09-30,,-38800000.0,-800000.0,42000000.0,5000000.0,38100000.0,35700000.0,-13800000.0,-112600000.0,-49400000.0,124900000.0,-112600000.0,-49400000.0,124900000.0,1000000.0,25900000.0,25900000.0,22100000.0,,-100000.0,,-10600000.0,,-16000000.0,-88200000.0,,,500000.0
Interpublic Group of Companies Inc,IPG,5493008IUOJ5VWTRC333,51644,2009.0,Q3YTD,2009-01-01,2009-09-30,2010-10-29 09:00:05+00:00,-71200000.0,13000000.0,126500000.0,5000000.0,68100000.0,-408600000.0,587700000.0,-262600000.0,47300000.0,-198500000.0,-262600000.0,47300000.0,-198500000.0,-345700000.0,-16300000.0,-16300000.0,86900000.0,,-700000.0,,-41800000.0,,-43700000.0,-808500000.0,,0.0,157900000.0
Interpublic Group of Companies Inc,IPG,5493008IUOJ5VWTRC333,51644,2009.0,Q2YTD,2009-01-01,2009-06-30,2010-07-29 09:00:02+00:00,-32400000.0,13800000.0,84500000.0,,30000000.0,-444300000.0,601500000.0,-150000000.0,96700000.0,-323400000.0,-150000000.0,96700000.0,-323400000.0,-346700000.0,-42200000.0,-42200000.0,64800000.0,,-600000.0,,-31200000.0,,-27700000.0,-720300000.0,,0.0,157400000.0
Interpublic Group of Companies Inc,IPG,5493008IUOJ5VWTRC333,51644,2010.0,Q4,2010-10-01,2010-12-31,,1100000.0,-1400000.0,36900000.0,,13800000.0,708300000.0,-14500000.0,-220000000.0,-24900000.0,979100000.0,-220000000.0,-24900000.0,979100000.0,748000000.0,222800000.0,222800000.0,12500000.0,-4700000.0,20600000.0,,-6200000.0,,-46600000.0,-194600000.0,,,
Interpublic Group of Companies Inc,IPG,5493008IUOJ5VWTRC333,51644,2010.0,FY,2010-01-01,2010-12-31,2013-02-22 09:01:00+00:00,-61900000.0,-4400000.0,148400000.0,,19400000.0,306400000.0,17400000.0,-547700000.0,-108500000.0,817300000.0,-547700000.0,-108500000.0,817300000.0,180500000.0,281200000.0,281200000.0,85700000.0,-29500000.0,49700000.0,,-41100000.0,,-96300000.0,-228600000.0,0.0,-265900000.0,0.0
Interpublic Group of Companies Inc,IPG,5493008IUOJ5VWTRC333,51644,2010.0,Q3TTM,2009-10-01,2010-09-30,,-64200000.0,-3900000.0,154900000.0,-5000000.0,22300000.0,114800000.0,31900000.0,-332100000.0,-101500000.0,577500000.0,-332100000.0,-101500000.0,577500000.0,166200000.0,218100000.0,218100000.0,93600000.0,-30700000.0,40200000.0,,-42900000.0,,-73100000.0,-24500000.0,,-265900000.0,600000.0
Interpublic Group of Companies Inc,IPG,5493008IUOJ5VWTRC333,51644,2010.0,Q3,2010-07-01,2010-09-30,,-54000000.0,-1200000.0,37300000.0,-30900000.0,43500000.0,-63000000.0,28300000.0,-11800000.0,-74300000.0,40400000.0,-11800000.0,-74300000.0,40400000.0,-2200000.0,45600000.0,45600000.0,21700000.0,-24800000.0,32000000.0,,-9000000.0,,-21400000.0,-6300000.0,,,
