company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,accountspayable,accountsreceivable,accruedexpenses,aoci,cashandequivalents,commitmentsandcontingencies,commonequity,goodwill,intangibleassets,longtermdebt,netinventory,netppe,noncontrollinginterests,noncurrentdeferredtaxassets,noncurrentemployeebenefitliabilities,othercurrentassets,othercurrentliabilities,othercurrentnonoperatingassets,othercurrentnonoperatingliabilities,othernoncurrentassets,othernoncurrentliabilities,redeemablenoncontrollinginterest,restrictedcash,retainedearnings,shorttermdebt,shortterminvestments,totalassets,totalcommonequity,totalcurrentassets,totalcurrentliabilities,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalnoncurrentassets,totalnoncurrentliabilities,totalpreferredequity,treasurystock
Interpublic Group of Companies Inc,IPG,5493008IUOJ5VWTRC333,51644,2009.0,FY,,2009-12-31,2011-02-25 09:02:37+00:00,3828900000.0,3756500000.0,2768100000.0,-176600000.0,2495200000.0,,2488100000.0,3321000000.0,,1638000000.0,1100100000.0,490100000.0,38600000.0,398300000.0,503200000.0,275000000.0,,,,416000000.0,402200000.0,277800000.0,,-324800000.0,308600000.0,10900000.0,12263100000.0,1972700000.0,7637700000.0,6905600000.0,2497700000.0,2536300000.0,9449000000.0,12263100000.0,4135300000.0,2543400000.0,525000000.0,-14000000.0
Interpublic Group of Companies Inc,IPG,5493008IUOJ5VWTRC333,51644,2010.0,FY,,2010-12-31,2012-02-24 09:09:28+00:00,6806700000.0,4317600000.0,780500000.0,-119000000.0,2675700000.0,,2504300000.0,3368500000.0,,1583300000.0,1217100000.0,454300000.0,37900000.0,334200000.0,486100000.0,229400000.0,,,,460300000.0,402400000.0,291200000.0,,-63700000.0,153700000.0,13700000.0,13070800000.0,2307500000.0,8453500000.0,7740900000.0,2529000000.0,2566900000.0,10212700000.0,13070800000.0,4163000000.0,2471800000.0,221500000.0,-14100000.0
Interpublic Group of Companies Inc,IPG,5493008IUOJ5VWTRC333,51644,2010.0,Q3,,2010-09-30,2010-10-29 09:00:05+00:00,3967800000.0,3805400000.0,2549900000.0,-161800000.0,1927700000.0,,2512100000.0,3350400000.0,,1588900000.0,1329400000.0,441100000.0,35400000.0,396500000.0,498400000.0,242000000.0,,,,446800000.0,389300000.0,269500000.0,,-261600000.0,355300000.0,11300000.0,11950600000.0,2074600000.0,7315800000.0,6873000000.0,2296100000.0,2331500000.0,9349600000.0,11950600000.0,4193700000.0,2476600000.0,221500000.0,-14100000.0
Interpublic Group of Companies Inc,IPG,5493008IUOJ5VWTRC333,51644,2010.0,Q2,,2010-06-30,2010-07-29 09:00:02+00:00,4004800000.0,3724500000.0,2445000000.0,-240800000.0,1929900000.0,,2510000000.0,3278300000.0,,1628000000.0,1231500000.0,440400000.0,38100000.0,377200000.0,477500000.0,282400000.0,,,,427900000.0,386200000.0,269400000.0,,-306900000.0,285900000.0,12500000.0,11704600000.0,1948200000.0,7180800000.0,6735700000.0,2169700000.0,2207800000.0,9227400000.0,11704600000.0,4083400000.0,2491700000.0,221500000.0,-14100000.0
Interpublic Group of Companies Inc,IPG,5493008IUOJ5VWTRC333,51644,2011.0,FY,,2011-12-31,2013-02-22 09:01:00+00:00,6647200000.0,4425400000.0,830000000.0,-225700000.0,2302700000.0,,2475700000.0,3444300000.0,,1210900000.0,1247200000.0,459800000.0,35600000.0,181200000.0,440300000.0,364000000.0,,,,471200000.0,481300000.0,243400000.0,,405100000.0,558300000.0,12900000.0,12908700000.0,2240200000.0,8352200000.0,8035500000.0,2461700000.0,2497300000.0,10168000000.0,12908700000.0,4096700000.0,2132500000.0,221500000.0,-414900000.0
Interpublic Group of Companies Inc,IPG,5493008IUOJ5VWTRC333,51644,2011.0,Q3,,2011-09-30,2011-10-28 09:02:22+00:00,5934200000.0,3654400000.0,624000000.0,-181600000.0,1785000000.0,,2445600000.0,3405400000.0,,1166200000.0,1525300000.0,441500000.0,34900000.0,309200000.0,447300000.0,250800000.0,,,,440500000.0,424600000.0,257700000.0,,176200000.0,558400000.0,13800000.0,11825900000.0,2157100000.0,7229300000.0,7116600000.0,2378600000.0,2413500000.0,9154700000.0,11825900000.0,4155100000.0,2038100000.0,221500000.0,-283100000.0
Interpublic Group of Companies Inc,IPG,5493008IUOJ5VWTRC333,51644,2011.0,Q2,,2011-06-30,2011-07-28 09:12:38+00:00,4064700000.0,4160900000.0,2849400000.0,-46600000.0,1809800000.0,,2446100000.0,3427100000.0,,1167800000.0,1348700000.0,450800000.0,31900000.0,373000000.0,451400000.0,260100000.0,,,,457000000.0,402100000.0,272100000.0,,-4300000.0,598600000.0,14200000.0,12301600000.0,2242100000.0,7593700000.0,7512700000.0,2463600000.0,2495500000.0,9534000000.0,12301600000.0,4257100000.0,2021300000.0,221500000.0,-153100000.0
Interpublic Group of Companies Inc,IPG,5493008IUOJ5VWTRC333,51644,2011.0,Q1,,2011-03-31,2011-04-28 09:00:29+00:00,4010600000.0,3995400000.0,2733600000.0,-73800000.0,1840200000.0,,2483700000.0,3407700000.0,,1165900000.0,1357800000.0,445500000.0,34900000.0,398900000.0,477000000.0,266600000.0,,,,451000000.0,402800000.0,285900000.0,,-108900000.0,568600000.0,14100000.0,12177200000.0,2276400000.0,7474100000.0,7312800000.0,2497900000.0,2532800000.0,9358500000.0,12177200000.0,4257600000.0,2045700000.0,221500000.0,-24600000.0
Interpublic Group of Companies Inc,IPG,5493008IUOJ5VWTRC333,51644,2012.0,FY,,2012-12-31,2014-02-24 08:36:42+00:00,6584800000.0,4496600000.0,728200000.0,-288000000.0,2574800000.0,0.0,2514200000.0,3580600000.0,,2060800000.0,1318800000.0,504800000.0,36000000.0,160500000.0,489000000.0,332100000.0,,,,509700000.0,558600000.0,227200000.0,,738300000.0,388700000.0,16000000.0,13493900000.0,2199100000.0,8738300000.0,7701700000.0,2420600000.0,2456600000.0,10810100000.0,13493900000.0,4250800000.0,3108400000.0,221500000.0,-765400000.0
Interpublic Group of Companies Inc,IPG,5493008IUOJ5VWTRC333,51644,2012.0,Q3,,2012-09-30,2012-10-26 08:57:01+00:00,5846800000.0,3839900000.0,650000000.0,-157600000.0,1187300000.0,,2497300000.0,3574300000.0,,1263100000.0,1513600000.0,466700000.0,30700000.0,182700000.0,430500000.0,324700000.0,,,,530500000.0,473900000.0,220300000.0,94700000.0,450900000.0,417600000.0,14300000.0,11728700000.0,2174300000.0,6974500000.0,6914400000.0,2395800000.0,2426500000.0,9081900000.0,11728700000.0,4287500000.0,2167500000.0,221500000.0,-616300000.0
