company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,depreciationexpense,dilutedeps,incometaxexpense,marketingexpense,netincome,netincomecontinuing,netincometocommon,nonoperatingincome,othernoninterestincome,otheroperatingexpenses,otherservicechargeincome,restructuringcharge,totalnoninterestexpense,totalnoninterestincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
PayPal Holdings Inc,PYPL,5493005X2GO78EFZ3E94,1633917,2013.0,FY,2013-01-01,2013-12-31,2016-02-11 16:44:06+00:00,0.78,0.78,453000000.0,0.78,129000000.0,1518000000.0,955000000.0,955000000.0,955000000.0,-7000000.0,,3665000000.0,6727000000.0,0.0,5636000000.0,6727000000.0,1084000000.0,6727000000.0,1224400000.0,1218000000.0,1224000000.0
PayPal Holdings Inc,PYPL,5493005X2GO78EFZ3E94,1633917,2014.0,FY,2014-01-01,2014-12-31,2017-02-08 16:35:30+00:00,0.34,0.34,516000000.0,0.34,842000000.0,1701000000.0,419000000.0,419000000.0,419000000.0,-7000000.0,,4540000000.0,8025000000.0,0.0,6757000000.0,8025000000.0,1261000000.0,8025000000.0,1232400000.0,1218000000.0,1224000000.0
PayPal Holdings Inc,PYPL,5493005X2GO78EFZ3E94,1633917,2014.0,Q3,2014-07-01,2014-09-30,2015-10-29 16:18:35+00:00,0.19,0.19,129000000.0,0.19,42000000.0,499000000.0,234000000.0,234000000.0,234000000.0,4000000.0,,1075000000.0,1975000000.0,0.0,1703000000.0,1975000000.0,276000000.0,1975000000.0,1231600000.0,1218000000.0,1224000000.0
PayPal Holdings Inc,PYPL,5493005X2GO78EFZ3E94,1633917,2014.0,Q2,2014-04-01,2014-06-30,2015-07-29 16:44:33+00:00,0.23,0.23,125000000.0,0.23,45000000.0,474000000.0,281000000.0,281000000.0,281000000.0,-4000000.0,,1054000000.0,1983000000.0,0.0,1653000000.0,1983000000.0,326000000.0,1983000000.0,1221700000.0,1218000000.0,1224000000.0
PayPal Holdings Inc,PYPL,5493005X2GO78EFZ3E94,1633917,2015.0,FY,2015-01-01,2015-12-31,2018-02-07 16:32:44+00:00,1.0,1.0,608000000.0,1.0,260000000.0,1729000000.0,1228000000.0,1228000000.0,1228000000.0,27000000.0,,5450000000.0,9248000000.0,,7787000000.0,9248000000.0,1488000000.0,9248000000.0,1228000000.0,1222000000.0,1229000000.0
PayPal Holdings Inc,PYPL,5493005X2GO78EFZ3E94,1633917,2015.0,Q4,2015-10-01,2015-12-31,,0.29,0.29,164000000.0,0.29,51000000.0,463000000.0,367000000.0,367000000.0,367000000.0,7000000.0,,1567000000.0,2556000000.0,-49000000.0,2145000000.0,2556000000.0,418000000.0,2556000000.0,1228000000.0,1222000000.0,1229000000.0
PayPal Holdings Inc,PYPL,5493005X2GO78EFZ3E94,1633917,2015.0,Q3,2015-07-01,2015-09-30,2016-10-25 16:22:20+00:00,0.25,0.25,153000000.0,0.25,49000000.0,423000000.0,301000000.0,301000000.0,301000000.0,20000000.0,,1352000000.0,2258000000.0,0.0,1928000000.0,2258000000.0,350000000.0,2258000000.0,1204000000.0,1221000000.0,1227000000.0
PayPal Holdings Inc,PYPL,5493005X2GO78EFZ3E94,1633917,2015.0,Q3YTD,2015-01-01,2015-09-30,,0.71,0.71,444000000.0,0.71,209000000.0,1266000000.0,861000000.0,861000000.0,861000000.0,20000000.0,,3883000000.0,6692000000.0,49000000.0,5642000000.0,6692000000.0,1070000000.0,6692000000.0,1204000000.0,1221000000.0,1227000000.0
PayPal Holdings Inc,PYPL,5493005X2GO78EFZ3E94,1633917,2015.0,Q2,2015-04-01,2015-06-30,2016-07-26 16:40:26+00:00,0.25,0.25,150000000.0,0.25,94000000.0,436000000.0,305000000.0,305000000.0,305000000.0,1000000.0,,1312000000.0,2297000000.0,1000000.0,1899000000.0,2297000000.0,399000000.0,2297000000.0,1220000000.0,1218000000.0,1224000000.0
PayPal Holdings Inc,PYPL,5493005X2GO78EFZ3E94,1633917,2015.0,Q2YTD,2015-01-01,2015-06-30,,0.46,0.46,291000000.0,0.46,160000000.0,843000000.0,560000000.0,560000000.0,560000000.0,,,2531000000.0,4434000000.0,49000000.0,3714000000.0,4434000000.0,720000000.0,4434000000.0,1220000000.0,1218000000.0,1224000000.0
PayPal Holdings Inc,PYPL,5493005X2GO78EFZ3E94,1633917,2015.0,Q1,2015-01-01,2015-03-31,2016-04-28 16:45:32+00:00,0.21,0.21,141000000.0,0.21,66000000.0,407000000.0,255000000.0,255000000.0,255000000.0,-1000000.0,,1219000000.0,2137000000.0,48000000.0,1815000000.0,2137000000.0,321000000.0,2137000000.0,1214300000.0,1218000000.0,1224000000.0
PayPal Holdings Inc,PYPL,5493005X2GO78EFZ3E94,1633917,2016.0,FY,2016-01-01,2016-12-31,2019-02-07 16:47:58+00:00,1.16,1.16,724000000.0,1.15,230000000.0,1803000000.0,1401000000.0,1401000000.0,1401000000.0,45000000.0,,6729000000.0,10842000000.0,,9256000000.0,10842000000.0,1631000000.0,10842000000.0,1207800000.0,1210000000.0,1218000000.0
PayPal Holdings Inc,PYPL,5493005X2GO78EFZ3E94,1633917,2016.0,Q4,2016-10-01,2016-12-31,,0.32,0.32,189000000.0,0.31,79000000.0,468000000.0,390000000.0,390000000.0,390000000.0,9000000.0,,1864000000.0,2981000000.0,,2521000000.0,2981000000.0,469000000.0,2981000000.0,1207800000.0,1210000000.0,1218000000.0
PayPal Holdings Inc,PYPL,5493005X2GO78EFZ3E94,1633917,2016.0,Q3,2016-07-01,2016-09-30,2017-10-24 16:46:18+00:00,0.27,0.27,184000000.0,0.27,37000000.0,448000000.0,323000000.0,323000000.0,323000000.0,12000000.0,,1687000000.0,2667000000.0,0.0,2319000000.0,2667000000.0,360000000.0,2667000000.0,1196300000.0,1207000000.0,1214000000.0
PayPal Holdings Inc,PYPL,5493005X2GO78EFZ3E94,1633917,2016.0,Q3YTD,2016-01-01,2016-09-30,,0.84,0.84,535000000.0,0.84,151000000.0,1335000000.0,1011000000.0,1011000000.0,1011000000.0,36000000.0,,4865000000.0,7861000000.0,,6735000000.0,7861000000.0,1162000000.0,7861000000.0,1196300000.0,1207000000.0,1214000000.0
PayPal Holdings Inc,PYPL,5493005X2GO78EFZ3E94,1633917,2016.0,Q3TTM,2015-10-01,2016-09-30,,1.13,1.13,699000000.0,1.13,202000000.0,1798000000.0,1378000000.0,1378000000.0,1378000000.0,43000000.0,,6432000000.0,10417000000.0,-49000000.0,8880000000.0,10417000000.0,1580000000.0,10417000000.0,1196300000.0,1207000000.0,1214000000.0
