company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,accruedinterestpayable,aoci,cashandequivalents,commitmentsandcontingencies,commonequity,customerandotherreceivables,fedfundspurchased,goodwill,intangibleassets,loansandleases,loansheldforsale,longtermdebt,netloansandleases,netpremisesandequipment,noncontrollinginterests,otherassets,otherlongtermliabilities,othershorttermpayables,retainedearnings,shorttermdebt,totalassets,totalcommonequity,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalpreferredequity,tradingaccountsecurities,treasurystock
PayPal Holdings Inc,PYPL,5493005X2GO78EFZ3E94,1633917,2014.0,FY,,2014-12-31,2016-02-11 16:44:06+00:00,1434000000.0,110000000.0,2201000000.0,0.0,8138000000.0,11371000000.0,10612000000.0,3189000000.0,156000000.0,3586000000.0,,,3586000000.0,922000000.0,,432000000.0,386000000.0,1237000000.0,0.0,,21917000000.0,8248000000.0,8248000000.0,8248000000.0,13669000000.0,21917000000.0,,60000000.0,
PayPal Holdings Inc,PYPL,5493005X2GO78EFZ3E94,1633917,2015.0,FY,,2015-12-31,2017-02-08 16:35:30+00:00,1179000000.0,-9000000.0,1393000000.0,0.0,13100000000.0,12398000000.0,12261000000.0,4069000000.0,358000000.0,4184000000.0,,1505000000.0,4184000000.0,1344000000.0,,769000000.0,,177000000.0,668000000.0,,28881000000.0,13759000000.0,13759000000.0,13759000000.0,15122000000.0,28881000000.0,,4366000000.0,0.0
PayPal Holdings Inc,PYPL,5493005X2GO78EFZ3E94,1633917,2015.0,Q3,,2015-09-30,2015-10-29 16:18:35+00:00,,3000000.0,1880000000.0,0.0,12910000000.0,11975000000.0,11802000000.0,3415000000.0,174000000.0,3602000000.0,,,3602000000.0,1298000000.0,,741000000.0,1610000000.0,1270000000.0,301000000.0,,27896000000.0,13214000000.0,13214000000.0,13214000000.0,14682000000.0,27896000000.0,,4811000000.0,
PayPal Holdings Inc,PYPL,5493005X2GO78EFZ3E94,1633917,2015.0,Q2,,2015-06-30,2015-07-29 16:44:33+00:00,,24000000.0,2562000000.0,0.0,12716000000.0,11570000000.0,11386000000.0,3409000000.0,186000000.0,3152000000.0,,,3152000000.0,1291000000.0,,637000000.0,1587000000.0,1198000000.0,,,26911000000.0,12740000000.0,12740000000.0,12740000000.0,14171000000.0,26911000000.0,,4104000000.0,
PayPal Holdings Inc,PYPL,5493005X2GO78EFZ3E94,1633917,2016.0,FY,,2016-12-31,2018-02-07 16:32:44+00:00,1459000000.0,59000000.0,1590000000.0,0.0,13579000000.0,14577000000.0,15163000000.0,4059000000.0,211000000.0,5348000000.0,0.0,1513000000.0,5348000000.0,1482000000.0,,912000000.0,,256000000.0,2069000000.0,0.0,33103000000.0,14712000000.0,14712000000.0,14712000000.0,18391000000.0,33103000000.0,,4924000000.0,-995000000.0
PayPal Holdings Inc,PYPL,5493005X2GO78EFZ3E94,1633917,2016.0,Q3,,2016-09-30,2016-10-25 16:22:20+00:00,1272000000.0,39000000.0,1369000000.0,0.0,13419000000.0,13507000000.0,14120000000.0,4068000000.0,245000000.0,4815000000.0,,1548000000.0,4815000000.0,1451000000.0,,843000000.0,,224000000.0,1679000000.0,,31356000000.0,14192000000.0,14192000000.0,14192000000.0,17164000000.0,31356000000.0,,5058000000.0,-945000000.0
PayPal Holdings Inc,PYPL,5493005X2GO78EFZ3E94,1633917,2016.0,Q2,,2016-06-30,2016-07-26 16:40:26+00:00,1181000000.0,52000000.0,2018000000.0,0.0,13305000000.0,13201000000.0,13834000000.0,4069000000.0,281000000.0,4507000000.0,,1591000000.0,4507000000.0,1412000000.0,,889000000.0,,208000000.0,1356000000.0,,30631000000.0,13817000000.0,13817000000.0,13817000000.0,16814000000.0,30631000000.0,,4254000000.0,-896000000.0
PayPal Holdings Inc,PYPL,5493005X2GO78EFZ3E94,1633917,2016.0,Q1,,2016-03-31,2016-04-28 16:45:32+00:00,1145000000.0,-27000000.0,2583000000.0,0.0,13188000000.0,12391000000.0,13032000000.0,4071000000.0,320000000.0,4224000000.0,,,4224000000.0,1345000000.0,,691000000.0,1510000000.0,185000000.0,1033000000.0,,29470000000.0,13598000000.0,13598000000.0,13598000000.0,15872000000.0,29470000000.0,,3845000000.0,-596000000.0
PayPal Holdings Inc,PYPL,5493005X2GO78EFZ3E94,1633917,2017.0,FY,,2017-12-31,2019-02-07 16:47:58+00:00,1781000000.0,-142000000.0,2883000000.0,0.0,14314000000.0,18525000000.0,19742000000.0,4339000000.0,168000000.0,,6398000000.0,,,1528000000.0,,2160000000.0,1917000000.0,340000000.0,3823000000.0,1000000000.0,40774000000.0,15994000000.0,15994000000.0,15994000000.0,24780000000.0,40774000000.0,,4773000000.0,-2001000000.0
PayPal Holdings Inc,PYPL,5493005X2GO78EFZ3E94,1633917,2017.0,Q3,,2017-09-30,2017-10-24 16:46:18+00:00,1665000000.0,-142000000.0,2330000000.0,0.0,14071000000.0,17476000000.0,17975000000.0,4326000000.0,226000000.0,6321000000.0,,1626000000.0,6321000000.0,1485000000.0,,789000000.0,,89000000.0,3204000000.0,974000000.0,37761000000.0,15432000000.0,15432000000.0,15432000000.0,22329000000.0,37761000000.0,,4808000000.0,-1701000000.0
PayPal Holdings Inc,PYPL,5493005X2GO78EFZ3E94,1633917,2017.0,Q2,,2017-06-30,2017-07-27 16:47:23+00:00,1407000000.0,-98000000.0,1271000000.0,0.0,13873000000.0,16354000000.0,16978000000.0,4062000000.0,143000000.0,5752000000.0,,1651000000.0,5752000000.0,1479000000.0,,898000000.0,,256000000.0,2824000000.0,,35290000000.0,14998000000.0,14998000000.0,14998000000.0,20292000000.0,35290000000.0,,5331000000.0,-1601000000.0
PayPal Holdings Inc,PYPL,5493005X2GO78EFZ3E94,1633917,2017.0,Q1,,2017-03-31,2017-04-27 16:41:14+00:00,1300000000.0,2000000.0,1240000000.0,0.0,13724000000.0,15119000000.0,15741000000.0,4060000000.0,184000000.0,5354000000.0,,1581000000.0,5354000000.0,1448000000.0,,948000000.0,,245000000.0,2412000000.0,,33493000000.0,14626000000.0,14626000000.0,14626000000.0,18867000000.0,33493000000.0,,5140000000.0,-1512000000.0
PayPal Holdings Inc,PYPL,5493005X2GO78EFZ3E94,1633917,2018.0,FY,,2018-12-31,2020-02-06 16:28:40+00:00,2002000000.0,78000000.0,7575000000.0,0.0,14939000000.0,20375000000.0,21562000000.0,6284000000.0,825000000.0,,,0.0,,1724000000.0,0.0,4044000000.0,2042000000.0,342000000.0,5880000000.0,1998000000.0,43332000000.0,15386000000.0,15386000000.0,15386000000.0,27946000000.0,43332000000.0,0.0,2505000000.0,-5511000000.0
PayPal Holdings Inc,PYPL,5493005X2GO78EFZ3E94,1633917,2018.0,Q3,,2018-09-30,2018-10-23 16:22:49+00:00,1866000000.0,66000000.0,8147000000.0,0.0,14664000000.0,21363000000.0,22451000000.0,6054000000.0,684000000.0,,0.0,,,1646000000.0,,3444000000.0,1969000000.0,323000000.0,5296000000.0,2000000000.0,43724000000.0,15115000000.0,15115000000.0,15115000000.0,28609000000.0,43724000000.0,,2386000000.0,-4911000000.0
PayPal Holdings Inc,PYPL,5493005X2GO78EFZ3E94,1633917,2018.0,Q2,,2018-06-30,2018-07-26 16:29:43+00:00,1836000000.0,36000000.0,2840000000.0,0.0,14434000000.0,19471000000.0,20688000000.0,4331000000.0,125000000.0,1803000000.0,6870000000.0,1849000000.0,1803000000.0,1567000000.0,,1176000000.0,,285000000.0,4860000000.0,2000000000.0,41677000000.0,15019000000.0,15019000000.0,15019000000.0,26658000000.0,41677000000.0,,3494000000.0,-4311000000.0
PayPal Holdings Inc,PYPL,5493005X2GO78EFZ3E94,1633917,2018.0,Q1,,2018-03-31,2018-04-26 16:23:34+00:00,1767000000.0,-169000000.0,2879000000.0,0.0,14287000000.0,19420000000.0,20662000000.0,4338000000.0,138000000.0,1579000000.0,6537000000.0,1967000000.0,1579000000.0,1523000000.0,,994000000.0,,285000000.0,4334000000.0,3000000000.0,42322000000.0,14641000000.0,14641000000.0,14641000000.0,27681000000.0,42322000000.0,,4914000000.0,-3811000000.0
PayPal Holdings Inc,PYPL,5493005X2GO78EFZ3E94,1633917,2019.0,FY,,2019-12-31,2020-05-06 19:34:38+00:00,2087000000.0,-173000000.0,7349000000.0,0.0,15588000000.0,22962000000.0,24527000000.0,6212000000.0,778000000.0,,,4965000000.0,,1693000000.0,44000000.0,6064000000.0,2520000000.0,305000000.0,8342000000.0,,51333000000.0,16885000000.0,16885000000.0,16929000000.0,34404000000.0,51333000000.0,0.0,6275000000.0,-6872000000.0
