company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,amortizationexpense,basicdilutedeps,basiceps,dilutedeps,incometaxexpense,netincome,netincomecontinuing,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,otherincome,otherrevenue,rdexpense,restructuringcharge,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totalinterestincome,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Celgene Corp,CELG,4SIHMF0MOSTTL8CD0X64,816284,2007.0,FY,2007-01-01,2007-12-31,2010-02-18 15:30:35+00:00,9070000.0,0.59,0.59,0.54,290536000.0,226433000.0,226433000.0,226433000.0,,130211000.0,1385711000.0,-2350000.0,20109000.0,400456000.0,,440962000.0,130211000.0,1275609000.0,11127000.0,105325000.0,850488000.0,425121000.0,91848000.0,516969000.0,1405820000.0,383800000.0,383225000.0,431858000.0
Celgene Corp,CELG,4SIHMF0MOSTTL8CD0X64,816284,2008.0,FY,2008-01-01,2008-12-31,2011-03-01 16:07:41+00:00,103967000.0,-3.46,-3.46,-3.46,164828000.0,-1533653000.0,-1533653000.0,-1533653000.0,,258267000.0,2239836000.0,24722000.0,14945000.0,2671218000.0,,685547000.0,258267000.0,1996514000.0,4437000.0,75108000.0,3460732000.0,-1464218000.0,95393000.0,-1368825000.0,2254781000.0,443300000.0,442620000.0,442620000.0
Celgene Corp,CELG,4SIHMF0MOSTTL8CD0X64,816284,2008.0,Q3,2008-07-01,2008-09-30,2009-10-30 16:08:08+00:00,32833000.0,0.3,0.3,0.29,42058000.0,136814000.0,136814000.0,136814000.0,,70534000.0,590063000.0,2464000.0,2402000.0,160911000.0,,168607000.0,70534000.0,521931000.0,512000.0,17340000.0,362351000.0,159580000.0,19292000.0,178872000.0,592465000.0,456000000.0,456509000.0,468891000.0
Celgene Corp,CELG,4SIHMF0MOSTTL8CD0X64,816284,2008.0,Q2,2008-04-01,2008-06-30,2009-07-31 16:22:47+00:00,35167000.0,0.27,0.27,0.26,39033000.0,119883000.0,119883000.0,119883000.0,,75194000.0,568675000.0,1697000.0,2789000.0,144861000.0,,176287000.0,75194000.0,496270000.0,1246000.0,18510000.0,356315000.0,139955000.0,18961000.0,158916000.0,571464000.0,444000000.0,442640000.0,466687000.0
Celgene Corp,CELG,4SIHMF0MOSTTL8CD0X64,816284,2009.0,Q4,2009-10-01,2009-12-31,,16000000.0,0.91,0.56,0.54,50354000.0,254214000.0,254214000.0,254214000.0,,49030000.0,754273000.0,7740000.0,6764000.0,201738000.0,,211564000.0,49030000.0,712007000.0,1563000.0,14946000.0,429302000.0,282705000.0,21123000.0,304568000.0,761037000.0,459600000.0,459304000.0,467354000.0
Celgene Corp,CELG,4SIHMF0MOSTTL8CD0X64,816284,2009.0,FY,2009-01-01,2009-12-31,2012-02-22 16:14:57+00:00,83403000.0,1.69,1.69,1.66,198956000.0,776747000.0,776747000.0,776747000.0,,216289000.0,2676150000.0,60461000.0,13743000.0,794848000.0,,753827000.0,216289000.0,2473604000.0,1966000.0,75682000.0,1632078000.0,841526000.0,134177000.0,975703000.0,2689893000.0,459600000.0,459304000.0,467354000.0
Celgene Corp,CELG,4SIHMF0MOSTTL8CD0X64,816284,2009.0,Q3YTD,2009-01-01,2009-09-30,,67403000.0,0.78,1.13,1.12,148602000.0,522533000.0,522533000.0,522533000.0,,167259000.0,1921877000.0,52721000.0,6979000.0,593110000.0,,542263000.0,167259000.0,1761597000.0,403000.0,60736000.0,1202776000.0,558821000.0,113054000.0,671135000.0,1928856000.0,461300000.0,458834000.0,467057000.0
Celgene Corp,CELG,4SIHMF0MOSTTL8CD0X64,816284,2009.0,Q3,2009-07-01,2009-09-30,2010-11-01 19:39:31+00:00,21111000.0,0.47,0.47,0.46,53887000.0,216815000.0,216815000.0,216815000.0,,52058000.0,692756000.0,14935000.0,2381000.0,193362000.0,,192512000.0,52058000.0,643079000.0,466000.0,20139000.0,406985000.0,236094000.0,34608000.0,270702000.0,695137000.0,461300000.0,458834000.0,467057000.0
Celgene Corp,CELG,4SIHMF0MOSTTL8CD0X64,816284,2009.0,Q2YTD,2009-01-01,2009-06-30,,46292000.0,0.31,0.66,0.66,94715000.0,305718000.0,305718000.0,305718000.0,,115201000.0,1229121000.0,37786000.0,4598000.0,399748000.0,,349751000.0,115201000.0,1118518000.0,-63000.0,40597000.0,795791000.0,322727000.0,78446000.0,400433000.0,1233719000.0,460800000.0,459586000.0,467082000.0
Celgene Corp,CELG,4SIHMF0MOSTTL8CD0X64,816284,2009.0,Q2,2009-04-01,2009-06-30,2010-08-03 21:35:53+00:00,22667000.0,0.31,0.31,0.31,46329000.0,142835000.0,142835000.0,142835000.0,,50902000.0,626312000.0,5176000.0,2354000.0,218500000.0,,176311000.0,50902000.0,577764000.0,-527000.0,23915000.0,417478000.0,160286000.0,29618000.0,189164000.0,628666000.0,460800000.0,459586000.0,467082000.0
