company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,accruedinvestmentincome,allowanceforloanandleaselosses,aoci,cashandequivalents,commitmentsandcontingencies,commonequity,fedfundspurchased,fedfundssold,goodwill,intangibleassets,interestbearingdepositsatotherbanks,loansandleases,longtermdebt,mortgageservicingrights,netloansandleases,netpremisesandequipment,noninterestbearingdeposits,otherassets,otherequity,otherlongtermliabilities,othershorttermpayables,retainedearnings,shorttermdebt,totalassets,totalcommonequity,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalpreferredequity,tradingaccountsecurities,treasurystock
JPMorgan Chase & Co,JPM,8I5DZWZKVSZI1NUHU748,19617,2008.0,FY,,2008-12-31,2010-02-24 06:19:22+00:00,60987000000.0,23164000000.0,-5687000000.0,26895000000.0,,95868000000.0,192546000000.0,203115000000.0,48027000000.0,5581000000.0,138139000000.0,744898000000.0,270683000000.0,9403000000.0,721734000000.0,10045000000.0,1009277000000.0,111200000000.0,,365417000000.0,,54013000000.0,170245000000.0,2175052000000.0,134945000000.0,166884000000.0,166884000000.0,2008168000000.0,2175052000000.0,31939000000.0,839926000000.0,-9249000000.0
JPMorgan Chase & Co,JPM,8I5DZWZKVSZI1NUHU748,19617,2009.0,FY,,2009-12-31,2011-02-28 16:27:50+00:00,67427000000.0,31602000000.0,-91000000.0,26206000000.0,,102019000000.0,261413000000.0,195404000000.0,48357000000.0,4621000000.0,63230000000.0,633458000000.0,266318000000.0,,601856000000.0,11118000000.0,938367000000.0,122709684000.0,-4520000.0,395196000000.0,,62481000000.0,97534000000.0,2031989000000.0,152693000000.0,160845000000.0,160845000000.0,1958828000000.0,2119673000000.0,8152000000.0,891148000000.0,-7196000000.0
JPMorgan Chase & Co,JPM,8I5DZWZKVSZI1NUHU748,19617,2009.0,Q3,,2009-09-30,2009-11-09 15:36:03+00:00,59948000000.0,30633000000.0,283000000.0,21068000000.0,,101583000000.0,310219000000.0,171007000000.0,48334000000.0,4862000000.0,59623000000.0,653144000000.0,272124000000.0,13663000000.0,622511000000.0,10675000000.0,867977000000.0,103957000000.0,,323692000000.0,,59573000000.0,104744000000.0,2041009000000.0,154101000000.0,162253000000.0,162253000000.0,1878756000000.0,2041009000000.0,8152000000.0,925361000000.0,-7338000000.0
JPMorgan Chase & Co,JPM,8I5DZWZKVSZI1NUHU748,19617,2009.0,Q2,,2009-06-30,2009-08-10 15:46:09+00:00,61302000000.0,29072000000.0,-3438000000.0,25133000000.0,,101681000000.0,300931000000.0,159170000000.0,48288000000.0,5082000000.0,61882000000.0,680601000000.0,271939000000.0,14600000000.0,651529000000.0,10668000000.0,866477000000.0,118536000000.0,,315848000000.0,,56355000000.0,116681000000.0,2026642000000.0,146614000000.0,154766000000.0,154766000000.0,1871876000000.0,2026642000000.0,8152000000.0,870452000000.0,-7984000000.0
JPMorgan Chase & Co,JPM,8I5DZWZKVSZI1NUHU748,19617,2010.0,FY,,2010-12-31,2012-02-29 10:29:19+00:00,70147000000.0,32266000000.0,1001000000.0,27567000000.0,,101467000000.0,276644000000.0,222554000000.0,48854000000.0,4039000000.0,21673000000.0,692927000000.0,270653000000.0,,660661000000.0,13355000000.0,930369000000.0,118940000000.0,7800000000.0,223815000000.0,170330000000.0,73998000000.0,69688000000.0,2117605000000.0,176106000000.0,176106000000.0,176106000000.0,1941499000000.0,2117605000000.0,,929815000000.0,-8160000000.0
JPMorgan Chase & Co,JPM,8I5DZWZKVSZI1NUHU748,19617,2010.0,Q3,,2010-09-30,2010-11-08 19:45:15+00:00,63224000000.0,34161000000.0,3096000000.0,23960000000.0,,100975000000.0,314161000000.0,235390000000.0,48736000000.0,3982000000.0,31077000000.0,690531000000.0,255589000000.0,,656370000000.0,11316000000.0,903138000000.0,124492000000.0,,404624000000.0,,69531000000.0,90253000000.0,2141595000000.0,166030000000.0,173830000000.0,173830000000.0,1967765000000.0,2141595000000.0,7800000000.0,943048000000.0,-7572000000.0
JPMorgan Chase & Co,JPM,8I5DZWZKVSZI1NUHU748,19617,2010.0,Q2,,2010-06-30,2010-08-06 15:39:00+00:00,61295000000.0,35836000000.0,2404000000.0,32806000000.0,,100782000000.0,237455000000.0,199024000000.0,48320000000.0,4178000000.0,39430000000.0,699483000000.0,248618000000.0,,663647000000.0,11267000000.0,887805000000.0,122242000000.0,,383508000000.0,,65465000000.0,85513000000.0,2014019000000.0,162968000000.0,171120000000.0,171120000000.0,1842899000000.0,2014019000000.0,8152000000.0,831810000000.0,-5683000000.0
JPMorgan Chase & Co,JPM,8I5DZWZKVSZI1NUHU748,19617,2010.0,Q1,,2010-03-31,2010-05-10 16:00:02+00:00,53991000000.0,38186000000.0,761000000.0,31422000000.0,,100487000000.0,295171000000.0,230123000000.0,48359000000.0,4383000000.0,59014000000.0,713799000000.0,262857000000.0,15531000000.0,675613000000.0,11123000000.0,925303000000.0,108992000000.0,,388209000000.0,,61043000000.0,99535000000.0,2135796000000.0,156569000000.0,164721000000.0,164721000000.0,1971075000000.0,2135796000000.0,8152000000.0,897245000000.0,-5722000000.0
JPMorgan Chase & Co,JPM,8I5DZWZKVSZI1NUHU748,19617,2011.0,FY,,2011-12-31,2013-02-28 16:06:59+00:00,61478000000.0,27609000000.0,944000000.0,59602000000.0,0.0,99669000000.0,213532000000.0,235314000000.0,48188000000.0,3207000000.0,85279000000.0,723720000000.0,256775000000.0,,696111000000.0,14041000000.0,1127806000000.0,111354000000.0,,207672000000.0,202895000000.0,88315000000.0,73539000000.0,2265792000000.0,175773000000.0,183573000000.0,183573000000.0,2082219000000.0,2265792000000.0,7800000000.0,951218000000.0,-13155000000.0
JPMorgan Chase & Co,JPM,8I5DZWZKVSZI1NUHU748,19617,2011.0,Q3,,2011-09-30,2011-11-04 15:18:09+00:00,72080000000.0,28350000000.0,1964000000.0,56766000000.0,0.0,99130000000.0,238585000000.0,248042000000.0,48180000000.0,3396000000.0,128877000000.0,696853000000.0,273688000000.0,,668503000000.0,13812000000.0,1092708000000.0,117143000000.0,,221812000000.0,199769000000.0,85726000000.0,80391000000.0,2289240000000.0,174487000000.0,182287000000.0,182287000000.0,2106953000000.0,2289240000000.0,7800000000.0,932441000000.0,-12333000000.0
