company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,cashdividendspershare,dilutedeps,incometaxexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,operatingcostofrevenue,operatingrevenue,othergains,otherincome,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Avery Dennison Corp,AVY,549300PW7VPFCYKLIV37,8818,2008.0,FY,2007-12-30,2008-12-27,2011-02-25 18:05:39+00:00,2.7,2.7,1.64,2.7,4500000.0,266100000.0,266100000.0,,266100000.0,4983400000.0,6710400000.0,,-36200000.0,1304300000.0,4983400000.0,1727000000.0,115900000.0,1304300000.0,422700000.0,-152100000.0,270600000.0,6710400000.0,98600000.0,98400000.0,98700000.0
Avery Dennison Corp,AVY,549300PW7VPFCYKLIV37,8818,2009.0,FY,2008-12-28,2010-01-02,2011-02-25 18:05:39+00:00,-7.21,-7.21,1.22,-7.21,-44200000.0,-746700000.0,-746700000.0,,-746700000.0,4366200000.0,5952700000.0,,-1023300000.0,1268800000.0,4366200000.0,1586500000.0,85300000.0,1268800000.0,317700000.0,-1108600000.0,-790900000.0,5952700000.0,103600000.0,103600000.0,103600000.0
Avery Dennison Corp,AVY,549300PW7VPFCYKLIV37,8818,2009.0,Q3,2009-07-05,2009-10-03,2010-11-10 06:01:48+00:00,,0.59,0.2,0.59,-4200000.0,62500000.0,62500000.0,,62500000.0,1113300000.0,1549300000.0,,-35500000.0,323100000.0,1113300000.0,436000000.0,19100000.0,323100000.0,112900000.0,-54600000.0,58300000.0,1549300000.0,,105100000.0,106000000.0
Avery Dennison Corp,AVY,549300PW7VPFCYKLIV37,8818,2009.0,Q2,2009-04-05,2009-07-04,2010-08-11 16:37:05+00:00,0.38,0.38,0.41,0.38,400000.0,39800000.0,39800000.0,,39800000.0,1065100000.0,1455400000.0,,-29600000.0,300100000.0,1065100000.0,390300000.0,20400000.0,300100000.0,90200000.0,-50000000.0,40200000.0,1455400000.0,104700000.0,105000000.0,105700000.0
Avery Dennison Corp,AVY,549300PW7VPFCYKLIV37,8818,2010.0,Q4,2010-10-03,2011-01-01,,1.69,1.08,0.2,1.08,-79800000.0,114200000.0,39100000.0,75100000.0,114200000.0,776800000.0,906400000.0,,1800000.0,153500000.0,776800000.0,129600000.0,18600000.0,153500000.0,-23900000.0,-16800000.0,-40700000.0,906400000.0,105600000.0,105800000.0,106800000.0
Avery Dennison Corp,AVY,549300PW7VPFCYKLIV37,8818,2010.0,FY,2010-01-03,2011-01-01,2013-02-27 15:37:52+00:00,3.0,3.0,0.8,2.97,-2800000.0,316900000.0,241800000.0,75100000.0,316900000.0,4268200000.0,5782000000.0,,-19600000.0,1178900000.0,4268200000.0,1513800000.0,76300000.0,1178900000.0,334900000.0,-95900000.0,239000000.0,5782000000.0,105600000.0,105800000.0,106800000.0
Avery Dennison Corp,AVY,549300PW7VPFCYKLIV37,8818,2010.0,Q3,2010-07-04,2010-10-02,2010-11-10 06:01:48+00:00,,0.61,0.2,0.6,12800000.0,64200000.0,64200000.0,,64200000.0,1187800000.0,1640800000.0,,-10500000.0,346400000.0,1187800000.0,453000000.0,19100000.0,346400000.0,106600000.0,-29600000.0,77000000.0,1640800000.0,,105800000.0,107100000.0
Avery Dennison Corp,AVY,549300PW7VPFCYKLIV37,8818,2010.0,Q3YTD,2010-01-03,2010-10-02,,1.31,1.92,0.6,1.89,77000000.0,202700000.0,202700000.0,,202700000.0,3491400000.0,4875600000.0,,-21400000.0,1025400000.0,3491400000.0,1384200000.0,57700000.0,1025400000.0,358800000.0,-79100000.0,279700000.0,4875600000.0,,105800000.0,107100000.0
Avery Dennison Corp,AVY,549300PW7VPFCYKLIV37,8818,2010.0,Q2,2010-04-04,2010-07-03,2010-08-11 16:37:05+00:00,0.79,0.79,0.2,0.78,42000000.0,83800000.0,83800000.0,,83800000.0,1189700000.0,1680100000.0,,-4600000.0,338900000.0,1189700000.0,490400000.0,21100000.0,338900000.0,151500000.0,-25700000.0,125800000.0,1680100000.0,106100000.0,105600000.0,106800000.0
Avery Dennison Corp,AVY,549300PW7VPFCYKLIV37,8818,2010.0,Q2YTD,2010-01-03,2010-07-03,,1.31,1.31,0.4,1.29,64200000.0,138500000.0,138500000.0,,138500000.0,2303600000.0,3234800000.0,,-10900000.0,679000000.0,2303600000.0,931200000.0,38600000.0,679000000.0,252200000.0,-49500000.0,202700000.0,3234800000.0,106100000.0,105600000.0,106800000.0
