company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,amortizationexpense,cashincometaxespaid,cashinterestpaid,depreciationexpense,divestitures,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,paymentofdividends,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,saleofplantpropertyandequipment
Kroger Co,KR,6CPEOKI6OYJ13Q6O7870,56873,2007.0,FY,2007-02-04,2008-02-02,2010-03-30 13:51:40+00:00,-90000000.0,,640000000.0,477000000.0,1355000000.0,,-247000000.0,188000000.0,1651000000.0,-310000000.0,-2218000000.0,2581000000.0,-310000000.0,-2218000000.0,2581000000.0,53000000.0,1224000000.0,1224000000.0,249000000.0,36000000.0,-51000000.0,-202000000.0,,-2126000000.0,-562000000.0,-1421000000.0,49000000.0
Kroger Co,KR,6CPEOKI6OYJ13Q6O7870,56873,2008.0,Q4,2008-11-09,2009-01-31,,,,197000000.0,81000000.0,348000000.0,,-183000000.0,8000000.0,491000000.0,-37000000.0,-527000000.0,539000000.0,-37000000.0,-527000000.0,539000000.0,-25000000.0,347000000.0,347000000.0,27000000.0,-13000000.0,1000000.0,-59000000.0,,-536000000.0,-453000000.0,-11000000.0,8000000.0
Kroger Co,KR,6CPEOKI6OYJ13Q6O7870,56873,2008.0,FY,2008-02-03,2009-01-31,2011-03-29 14:04:28+00:00,-80000000.0,,641000000.0,485000000.0,1443000000.0,,-91000000.0,172000000.0,1412000000.0,-769000000.0,-2179000000.0,2896000000.0,-769000000.0,-2179000000.0,2896000000.0,-52000000.0,1250000000.0,1250000000.0,294000000.0,,-9000000.0,-227000000.0,,-2149000000.0,-1489000000.0,-637000000.0,59000000.0
Kroger Co,KR,6CPEOKI6OYJ13Q6O7870,56873,2008.0,Q3,2008-08-17,2008-11-08,,,,161000000.0,110000000.0,335000000.0,,-441000000.0,7000000.0,146000000.0,347000000.0,-568000000.0,231000000.0,347000000.0,-568000000.0,231000000.0,10000000.0,237000000.0,237000000.0,100000000.0,4000000.0,-10000000.0,-59000000.0,,-560000000.0,336000000.0,-87000000.0,2000000.0
Kroger Co,KR,6CPEOKI6OYJ13Q6O7870,56873,2008.0,Q3YTD,2008-02-03,2008-11-08,2009-12-17 11:35:27+00:00,-80000000.0,,444000000.0,404000000.0,1095000000.0,,92000000.0,164000000.0,921000000.0,-732000000.0,-1652000000.0,2357000000.0,-732000000.0,-1652000000.0,2357000000.0,-27000000.0,903000000.0,903000000.0,267000000.0,13000000.0,-10000000.0,-168000000.0,,-1613000000.0,-1036000000.0,-626000000.0,51000000.0
Kroger Co,KR,6CPEOKI6OYJ13Q6O7870,56873,2008.0,Q2YTD,2008-02-03,2008-08-16,2009-09-23 11:59:53+00:00,-80000000.0,,283000000.0,294000000.0,760000000.0,,533000000.0,157000000.0,775000000.0,-1079000000.0,-1084000000.0,2126000000.0,-1079000000.0,-1084000000.0,2126000000.0,-37000000.0,666000000.0,666000000.0,167000000.0,9000000.0,,-109000000.0,,-1053000000.0,-1372000000.0,-539000000.0,49000000.0
Kroger Co,KR,6CPEOKI6OYJ13Q6O7870,56873,2009.0,Q4,2009-11-08,2010-01-30,,-13000000.0,,11000000.0,108000000.0,368000000.0,,-141000000.0,21000000.0,25000000.0,-108000000.0,-532000000.0,547000000.0,-108000000.0,-532000000.0,547000000.0,-93000000.0,251000000.0,251000000.0,69000000.0,-2000000.0,-1000000.0,-62000000.0,,-531000000.0,-2000000.0,-88000000.0,13000000.0
Kroger Co,KR,6CPEOKI6OYJ13Q6O7870,56873,2009.0,FY,2009-02-01,2010-01-30,2012-03-27 15:28:04+00:00,-36000000.0,,130000000.0,542000000.0,1525000000.0,,-37000000.0,51000000.0,532000000.0,-434000000.0,-2327000000.0,2922000000.0,-434000000.0,-2327000000.0,2922000000.0,161000000.0,57000000.0,57000000.0,1377000000.0,,-14000000.0,-238000000.0,,-2297000000.0,-561000000.0,-218000000.0,20000000.0
Kroger Co,KR,6CPEOKI6OYJ13Q6O7870,56873,2009.0,Q3TTM,2008-11-09,2009-11-07,,-23000000.0,,316000000.0,515000000.0,1505000000.0,,-79000000.0,38000000.0,998000000.0,-363000000.0,-2322000000.0,2914000000.0,-363000000.0,-2322000000.0,2914000000.0,229000000.0,153000000.0,153000000.0,1335000000.0,-11000000.0,-12000000.0,-235000000.0,,-2302000000.0,-1012000000.0,-141000000.0,15000000.0
Kroger Co,KR,6CPEOKI6OYJ13Q6O7870,56873,2009.0,Q3,2009-08-16,2009-11-07,,-10000000.0,,4000000.0,131000000.0,356000000.0,,-650000000.0,22000000.0,499000000.0,512000000.0,-573000000.0,209000000.0,512000000.0,-573000000.0,209000000.0,148000000.0,-876000000.0,-876000000.0,1379000000.0,1000000.0,-8000000.0,-59000000.0,,-556000000.0,99000000.0,-50000000.0,1000000.0
