company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,amortizationexpense,cashincometaxespaid,cashinterestpaid,depreciationexpense,effectofexchangeratechanges,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,paymentofdividends,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,saleofinvestments
ANSYS Inc,ANSS,549300VJV8H15Z5FJ571,1013462,2008.0,FY,2008-01-01,2008-12-31,2011-02-25 10:00:45+00:00,-320130000.0,,58259000.0,8085000.0,50093000.0,-15507000.0,24448000.0,1720000.0,355000000.0,217750000.0,-337999000.0,196708000.0,217750000.0,-337999000.0,196708000.0,60952000.0,111671000.0,111671000.0,10496000.0,11652000.0,0.0,,-12993000.0,-16639000.0,-140614000.0,-10008000.0,11763000.0
ANSYS Inc,ANSS,549300VJV8H15Z5FJ571,1013462,2009.0,FY,2009-01-01,2009-12-31,2012-02-23 11:30:54+00:00,0.0,,58859000.0,8642000.0,64186000.0,8834000.0,-8650000.0,1515000.0,,-64090000.0,-10731000.0,173689000.0,-64090000.0,-10731000.0,173689000.0,107702000.0,116391000.0,116391000.0,1762000.0,28529000.0,,,-9899000.0,-8323000.0,-54230000.0,-39904000.0,7491000.0
ANSYS Inc,ANSS,549300VJV8H15Z5FJ571,1013462,2009.0,Q4,2009-10-01,2009-12-31,,,,14962000.0,1487000.0,16235000.0,-1464000.0,-6241000.0,,,8585000.0,-9501000.0,44920000.0,8585000.0,-9501000.0,44920000.0,42540000.0,37630000.0,37630000.0,-2704000.0,15285000.0,12000.0,,-7634000.0,-1904000.0,-6700000.0,,25000.0
ANSYS Inc,ANSS,549300VJV8H15Z5FJ571,1013462,2009.0,Q3,2009-07-01,2009-09-30,,,,15828000.0,1944000.0,16167000.0,5018000.0,-11648000.0,815000.0,,2248000.0,290000.0,34079000.0,2248000.0,290000.0,34079000.0,41635000.0,30529000.0,30529000.0,-969000.0,8097000.0,,,-56000.0,-1908000.0,-6664000.0,,2254000.0
ANSYS Inc,ANSS,549300VJV8H15Z5FJ571,1013462,2009.0,Q3YTD,2009-01-01,2009-09-30,2010-11-04 13:12:40+00:00,,,43897000.0,7155000.0,47951000.0,10298000.0,-2409000.0,1515000.0,,-72675000.0,-1230000.0,128769000.0,-72675000.0,-1230000.0,128769000.0,65162000.0,78761000.0,78761000.0,4466000.0,13244000.0,-12000.0,,-2265000.0,-6419000.0,-47530000.0,-39904000.0,7466000.0
ANSYS Inc,ANSS,549300VJV8H15Z5FJ571,1013462,2009.0,Q2YTD,2009-01-01,2009-06-30,2010-08-05 13:38:43+00:00,,,28069000.0,5211000.0,31784000.0,5280000.0,9239000.0,700000.0,,-74923000.0,-1520000.0,94690000.0,-74923000.0,-1520000.0,94690000.0,23527000.0,48232000.0,48232000.0,5435000.0,5147000.0,-12000.0,,-2209000.0,-4511000.0,-40866000.0,-39904000.0,5212000.0
ANSYS Inc,ANSS,549300VJV8H15Z5FJ571,1013462,2010.0,FY,2010-01-01,2010-12-31,2013-02-28 12:13:55+00:00,0.0,,131861000.0,2980000.0,60826000.0,6004000.0,-56116000.0,1592000.0,,-29639000.0,-6648000.0,166884000.0,-29639000.0,-6648000.0,166884000.0,136601000.0,153132000.0,153132000.0,9042000.0,34682000.0,,0.0,-1075000.0,-14260000.0,-65913000.0,0.0,8687000.0
ANSYS Inc,ANSS,549300VJV8H15Z5FJ571,1013462,2010.0,Q4,2010-10-01,2010-12-31,,,,85897000.0,442000.0,15409000.0,-985000.0,-91686000.0,,,8452000.0,-4439000.0,-25265000.0,8452000.0,-4439000.0,-25265000.0,-22237000.0,49140000.0,49140000.0,1872000.0,13821000.0,,,-31000.0,-5105000.0,-5369000.0,,697000.0
ANSYS Inc,ANSS,549300VJV8H15Z5FJ571,1013462,2010.0,Q3TTM,2009-10-01,2010-09-30,,,,60926000.0,4025000.0,61652000.0,5525000.0,29329000.0,1592000.0,,-29506000.0,-11710000.0,237069000.0,-29506000.0,-11710000.0,237069000.0,201378000.0,141622000.0,141622000.0,4466000.0,36146000.0,12000.0,,-8678000.0,-11059000.0,-67244000.0,,8015000.0
ANSYS Inc,ANSS,549300VJV8H15Z5FJ571,1013462,2010.0,Q3,2010-07-01,2010-09-30,,,,10293000.0,562000.0,15152000.0,13019000.0,17379000.0,964000.0,,-1340000.0,-4714000.0,72263000.0,-1340000.0,-4714000.0,72263000.0,79228000.0,36130000.0,36130000.0,3602000.0,3087000.0,,,-85000.0,-4736000.0,-5391000.0,,107000.0
ANSYS Inc,ANSS,549300VJV8H15Z5FJ571,1013462,2010.0,Q3YTD,2010-01-01,2010-09-30,2011-11-03 12:03:00+00:00,0.0,,45964000.0,2538000.0,45417000.0,6989000.0,35570000.0,1592000.0,,-38091000.0,-2209000.0,192149000.0,-38091000.0,-2209000.0,192149000.0,158838000.0,103992000.0,103992000.0,7170000.0,20861000.0,,,-1044000.0,-9155000.0,-60544000.0,0.0,7990000.0
