company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,cashdividendspershare,depreciationexpense,dilutedeps,explorationexpense,impairmentexpense,incometaxexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,otherincome,otheroperatingexpenses,otherrevenue,otherspecialcharges,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totalinterestincome,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Noble Energy Inc,NBL,02VFQXG2D1LR5ZH3K186,72207,2007.0,FY,2007-01-01,2007-12-31,2010-02-18 16:46:35+00:00,5.52,5.52,,736000000.0,5.45,219000000.0,4000000.0,424000000.0,944000000.0,944000000.0,,944000000.0,,488000000.0,2966000000.0,-14000000.0,,95000000.0,,330000000.0,488000000.0,2573000000.0,113000000.0,211000000.0,1289000000.0,1284000000.0,84000000.0,1368000000.0,3061000000.0,171000000.0,171000000.0,173000000.0
Noble Energy Inc,NBL,02VFQXG2D1LR5ZH3K186,72207,2008.0,FY,2008-01-01,2008-12-31,2011-02-10 17:16:56+00:00,7.83,7.83,0.66,791000000.0,7.58,217000000.0,294000000.0,711000000.0,1350000000.0,1350000000.0,,1350000000.0,,594000000.0,3651000000.0,495000000.0,,76000000.0,-5000000.0,375000000.0,594000000.0,3133000000.0,69000000.0,174000000.0,1672000000.0,1461000000.0,600000000.0,2061000000.0,3727000000.0,172400000.0,173000000.0,176000000.0
Noble Energy Inc,NBL,02VFQXG2D1LR5ZH3K186,72207,2008.0,Q3,2008-07-01,2008-09-30,2009-10-29 12:08:39+00:00,5.64,5.64,,194000000.0,5.37,39000000.0,38000000.0,480000000.0,974000000.0,974000000.0,,974000000.0,,112000000.0,1040000000.0,927000000.0,47000000.0,18000000.0,,123000000.0,112000000.0,946000000.0,18000000.0,40000000.0,441000000.0,505000000.0,949000000.0,1454000000.0,1058000000.0,172700000.0,173000000.0,176000000.0
Noble Energy Inc,NBL,02VFQXG2D1LR5ZH3K186,72207,2009.0,Q4,2009-10-01,2009-12-31,,0.05,0.05,0.72,215000000.0,0.06,42000000.0,167000000.0,78000000.0,7000000.0,7000000.0,,7000000.0,,135000000.0,621000000.0,-11000000.0,,107000000.0,-22000000.0,107000000.0,135000000.0,593000000.0,20000000.0,32000000.0,509000000.0,84000000.0,1000000.0,85000000.0,728000000.0,174700000.0,173000000.0,173000000.0
Noble Energy Inc,NBL,02VFQXG2D1LR5ZH3K186,72207,2009.0,FY,2009-01-01,2009-12-31,2012-02-09 11:46:41+00:00,-0.75,-0.75,0.72,816000000.0,-0.75,144000000.0,604000000.0,-133000000.0,-131000000.0,-131000000.0,,-131000000.0,,525000000.0,2060000000.0,-122000000.0,,169000000.0,-22000000.0,304000000.0,525000000.0,1704000000.0,84000000.0,84000000.0,1846000000.0,-142000000.0,-122000000.0,-264000000.0,2229000000.0,174700000.0,173000000.0,173000000.0
Noble Energy Inc,NBL,02VFQXG2D1LR5ZH3K186,72207,2009.0,Q3YTD,2009-01-01,2009-09-30,,-0.8,-0.8,,601000000.0,-0.81,102000000.0,437000000.0,-211000000.0,-138000000.0,-138000000.0,,-138000000.0,,390000000.0,1439000000.0,-111000000.0,,62000000.0,,197000000.0,390000000.0,1111000000.0,64000000.0,52000000.0,1337000000.0,-226000000.0,-123000000.0,-349000000.0,1501000000.0,172600000.0,173000000.0,175000000.0
Noble Energy Inc,NBL,02VFQXG2D1LR5ZH3K186,72207,2009.0,Q3,2009-07-01,2009-09-30,2010-10-28 11:10:59+00:00,0.62,0.62,,205000000.0,0.61,27000000.0,0.0,8000000.0,107000000.0,107000000.0,,107000000.0,,131000000.0,573000000.0,-33000000.0,,23000000.0,0.0,87000000.0,131000000.0,465000000.0,23000000.0,25000000.0,319000000.0,146000000.0,-31000000.0,115000000.0,596000000.0,172600000.0,173000000.0,175000000.0
Noble Energy Inc,NBL,02VFQXG2D1LR5ZH3K186,72207,2009.0,Q2YTD,2009-01-01,2009-06-30,,-1.42,-1.42,,396000000.0,-1.42,75000000.0,437000000.0,-219000000.0,-245000000.0,-245000000.0,,-245000000.0,,259000000.0,866000000.0,-78000000.0,,39000000.0,,110000000.0,259000000.0,646000000.0,41000000.0,27000000.0,1018000000.0,-372000000.0,-92000000.0,-464000000.0,905000000.0,172700000.0,173000000.0,173000000.0
Noble Energy Inc,NBL,02VFQXG2D1LR5ZH3K186,72207,2009.0,Q2,2009-04-01,2009-06-30,2010-07-29 16:28:29+00:00,-0.33,-0.33,,196000000.0,-0.33,33000000.0,0.0,-33000000.0,-57000000.0,-57000000.0,,-57000000.0,,129000000.0,460000000.0,-143000000.0,,15000000.0,,57000000.0,129000000.0,346000000.0,23000000.0,16000000.0,286000000.0,60000000.0,-150000000.0,-90000000.0,475000000.0,172700000.0,173000000.0,173000000.0
Noble Energy Inc,NBL,02VFQXG2D1LR5ZH3K186,72207,2009.0,Q1,2009-01-01,2009-03-31,2010-04-29 12:41:45+00:00,-1.09,-1.09,,200000000.0,-1.09,42000000.0,437000000.0,-186000000.0,-188000000.0,-188000000.0,,-188000000.0,,130000000.0,406000000.0,65000000.0,,24000000.0,,53000000.0,130000000.0,300000000.0,18000000.0,11000000.0,732000000.0,-432000000.0,58000000.0,-374000000.0,430000000.0,172500000.0,173000000.0,173000000.0
