company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,amortizationexpense,basicdilutedeps,basiceps,cashdividendspershare,depreciationexpense,dilutedeps,explorationexpense,extraordinaryincome,impairmentexpense,incometaxexpense,marketingexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,othercostofrevenue,othergains,otherincome,otheroperatingexpenses,otherrevenue,otherspecialcharges,preferreddividends,rdexpense,restructuringcharge,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totalinterestincome,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Waters Corp,WAT,5T547R1474YC9HOD8Q74,1000697,2007.0,FY,2007-01-01,2007-12-31,2010-02-26 09:24:41+00:00,8695000.0,2.67,2.67,,,2.62,,,,55120000.0,,0.0,0.0,,,,631122000.0,1473048000.0,,-268072000.0,,,,0.0,,80649000.0,,403703000.0,631122000.0,841926000.0,56515000.0,30828000.0,493047000.0,348879000.0,-25687000.0,323192000.0,1473048000.0,,100500000.0,102505000.0
Waters Corp,WAT,5T547R1474YC9HOD8Q74,1000697,2008.0,FY,2008-01-01,2008-12-31,2011-02-25 11:40:31+00:00,9290000.0,,,,,,,,,49713000.0,,322479000.0,322479000.0,,322479000.0,,661266000.0,1575124000.0,,,,,,6527000.0,,81588000.0,,426699000.0,661266000.0,913858000.0,38521000.0,20959000.0,524104000.0,389754000.0,-17562000.0,372192000.0,1575124000.0,,99199000.0,100555000.0
Waters Corp,WAT,5T547R1474YC9HOD8Q74,1000697,2008.0,Q3,2008-06-29,2008-09-27,2009-11-06 09:53:02+00:00,2349000.0,0.72,0.72,0.0,0.0,0.71,0.0,0.0,0.0,21987000.0,0.0,0.0,0.0,0.0,,0.0,158520000.0,386310000.0,0.0,-71503000.0,0.0,0.0,0.0,0.0,0.0,19946000.0,0.0,107463000.0,158520000.0,227790000.0,10570000.0,6028000.0,129758000.0,98032000.0,-4542000.0,93490000.0,386310000.0,0.0,98891000.0,100566000.0
Waters Corp,WAT,5T547R1474YC9HOD8Q74,1000697,2008.0,Q2,2008-03-30,2008-06-28,2009-08-07 08:02:27+00:00,2352000.0,0.83,0.83,0.0,0.0,0.82,0.0,0.0,0.0,-979000.0,0.0,0.0,0.0,0.0,,0.0,175232000.0,398771000.0,0.0,-83148000.0,0.0,0.0,0.0,0.0,0.0,22228000.0,0.0,111935000.0,175232000.0,223539000.0,9807000.0,4952000.0,136515000.0,87024000.0,-4855000.0,82169000.0,398771000.0,0.0,99586000.0,101035000.0
Waters Corp,WAT,5T547R1474YC9HOD8Q74,1000697,2009.0,FY,2009-01-01,2009-12-31,2012-02-24 10:34:16+00:00,10659000.0,,,,,,,,,63339000.0,,323313000.0,323313000.0,,323313000.0,,594882000.0,1498700000.0,,,,,,0.0,,77154000.0,,421403000.0,594882000.0,903818000.0,10986000.0,3036000.0,509216000.0,394602000.0,-7950000.0,386652000.0,1498700000.0,,95797000.0,96862000.0
Waters Corp,WAT,5T547R1474YC9HOD8Q74,1000697,2009.0,Q4,2009-10-04,2009-12-31,,5320000.0,-0.75,-0.75,,,-0.75,,,,35320000.0,,138061000.0,138061000.0,,138061000.0,,314285000.0,682369000.0,,73347000.0,,,,,,39512000.0,,219569000.0,314285000.0,368084000.0,4992000.0,1343000.0,264401000.0,103683000.0,-3649000.0,100034000.0,682369000.0,,95797000.0,96862000.0
Waters Corp,WAT,5T547R1474YC9HOD8Q74,1000697,2009.0,Q3,2009-07-05,2009-10-03,2010-11-05 08:00:45+00:00,2723000.0,,,,,,,,,18097000.0,,75936000.0,75936000.0,,75936000.0,,153143000.0,373963000.0,,,,,,,,19310000.0,,102675000.0,153143000.0,220820000.0,2864000.0,785000.0,124708000.0,96112000.0,-2079000.0,94033000.0,373963000.0,,95235000.0,96513000.0
Waters Corp,WAT,5T547R1474YC9HOD8Q74,1000697,2009.0,Q3YTD,2009-01-01,2009-10-03,,5339000.0,0.75,0.75,,,0.75,,,,28019000.0,,185252000.0,185252000.0,,185252000.0,,280597000.0,816331000.0,,-73347000.0,,,,,,37642000.0,,201834000.0,280597000.0,535734000.0,5994000.0,1693000.0,244815000.0,290919000.0,-4301000.0,286618000.0,816331000.0,,95235000.0,96513000.0
Waters Corp,WAT,5T547R1474YC9HOD8Q74,1000697,2009.0,Q2,2009-04-05,2009-07-04,2010-08-06 08:01:02+00:00,,,,,,,,,,,,109316000.0,109316000.0,,109316000.0,,,109316000.0,,,,,,,,,,,,109316000.0,,,,109316000.0,,109316000.0,109316000.0,,,
Waters Corp,WAT,5T547R1474YC9HOD8Q74,1000697,2009.0,Q2YTD,2009-01-01,2009-07-04,,2616000.0,0.75,0.75,,,0.75,,,,9922000.0,,109316000.0,109316000.0,,109316000.0,,127454000.0,442368000.0,,-73347000.0,,,,,,18332000.0,,99159000.0,127454000.0,314914000.0,3130000.0,908000.0,120107000.0,194807000.0,-2222000.0,192585000.0,442368000.0,,,
