company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,dilutedeps,impairmentexpense,incometaxexpense,marketingexpense,netincome,netincomecontinuing,netincometocommon,operatingcostofrevenue,operatingrevenue,othergains,otherincome,otherspecialcharges,rdexpense,restructuringcharge,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totalinterestincome,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
First Solar Inc,FSLR,549300NPYMLM4NHTOF27,1274494,2007.0,FY,2006-12-31,2007-12-29,2010-02-22 11:01:20+00:00,2.12,2.12,2.03,,-2392000.0,16867000.0,158354000.0,158354000.0,158354000.0,252573000.0,503976000.0,,662000.0,,15107000.0,,82248000.0,252573000.0,251403000.0,2294000.0,20413000.0,114222000.0,137181000.0,18781000.0,155962000.0,503976000.0,74700000.0,74701000.0,77971000.0
First Solar Inc,FSLR,549300NPYMLM4NHTOF27,1274494,2008.0,FY,2007-12-30,2008-12-27,2011-02-25 20:13:25+00:00,4.34,4.34,4.24,,115446000.0,32498000.0,348330000.0,348330000.0,348330000.0,567908000.0,1246301000.0,,4788000.0,,33517000.0,,174039000.0,567908000.0,678393000.0,509000.0,21158000.0,240054000.0,438339000.0,25437000.0,463776000.0,1246301000.0,80300000.0,80178000.0,82124000.0
First Solar Inc,FSLR,549300NPYMLM4NHTOF27,1274494,2008.0,Q3,2008-06-29,2008-09-27,2009-10-29 19:28:34+00:00,1.23,1.23,1.2,,33830000.0,6344000.0,99269000.0,99269000.0,99269000.0,153251000.0,348694000.0,,-2249000.0,,9952000.0,,48995000.0,153251000.0,195443000.0,127000.0,5323000.0,65291000.0,130152000.0,2947000.0,133099000.0,348694000.0,80700000.0,80430000.0,82436000.0
First Solar Inc,FSLR,549300NPYMLM4NHTOF27,1274494,2008.0,Q2,2008-03-30,2008-06-28,2009-07-31 19:40:43+00:00,0.87,0.87,0.85,,24185000.0,4622000.0,69671000.0,69671000.0,69671000.0,122341000.0,267041000.0,,206000.0,,7725000.0,,43626000.0,122341000.0,144700000.0,0.0,4923000.0,55973000.0,88727000.0,5129000.0,93856000.0,267041000.0,80100000.0,79877000.0,82004000.0
First Solar Inc,FSLR,549300NPYMLM4NHTOF27,1274494,2009.0,Q4,2009-09-27,2009-12-26,,1.68,1.68,1.64,,8697000.0,1099000.0,141620000.0,141620000.0,141620000.0,375056000.0,641265000.0,,2711000.0,,23716000.0,,96667000.0,375056000.0,266209000.0,407000.0,3286000.0,121482000.0,144727000.0,5590000.0,150317000.0,641265000.0,83500000.0,83500000.0,85044000.0
First Solar Inc,FSLR,549300NPYMLM4NHTOF27,1274494,2009.0,FY,2008-12-28,2009-12-26,2012-02-29 17:24:52+00:00,7.67,7.67,7.53,0.0,46176000.0,13908000.0,640138000.0,640138000.0,640138000.0,1021618000.0,2066200000.0,,2222000.0,,78161000.0,0.0,272898000.0,1021618000.0,1044582000.0,5258000.0,9735000.0,364967000.0,679615000.0,6699000.0,686314000.0,2066200000.0,83500000.0,83500000.0,85044000.0
First Solar Inc,FSLR,549300NPYMLM4NHTOF27,1274494,2009.0,Q3YTD,2008-12-28,2009-09-26,,5.99,5.99,5.89,,37479000.0,12809000.0,498518000.0,498518000.0,498518000.0,646562000.0,1424935000.0,,-489000.0,,54445000.0,,176231000.0,646562000.0,778373000.0,4851000.0,6449000.0,243485000.0,534888000.0,1109000.0,535997000.0,1424935000.0,84300000.0,84179000.0,85892000.0
First Solar Inc,FSLR,549300NPYMLM4NHTOF27,1274494,2009.0,Q3,2009-06-28,2009-09-26,2010-10-29 21:08:44+00:00,1.82,1.82,1.79,,11623000.0,4076000.0,153344000.0,153344000.0,153344000.0,235858000.0,480851000.0,,-133000.0,,24136000.0,,53990000.0,235858000.0,244993000.0,89000.0,2398000.0,82202000.0,162791000.0,2176000.0,164967000.0,480851000.0,84300000.0,84179000.0,85892000.0
First Solar Inc,FSLR,549300NPYMLM4NHTOF27,1274494,2009.0,Q2YTD,2008-12-28,2009-06-27,,4.17,4.17,4.1,,25856000.0,8733000.0,345174000.0,345174000.0,345174000.0,410704000.0,944084000.0,,-356000.0,,30309000.0,,122241000.0,410704000.0,533380000.0,4762000.0,4051000.0,161283000.0,372097000.0,-1067000.0,371030000.0,944084000.0,83600000.0,83723000.0,85668000.0
First Solar Inc,FSLR,549300NPYMLM4NHTOF27,1274494,2009.0,Q2,2009-03-29,2009-06-27,2010-07-30 19:42:54+00:00,2.16,2.16,2.11,,20719000.0,2524000.0,180579000.0,180579000.0,180579000.0,227780000.0,525876000.0,,-864000.0,,18605000.0,,72926000.0,227780000.0,298096000.0,3827000.0,1948000.0,94055000.0,204041000.0,-2743000.0,201298000.0,525876000.0,83600000.0,83723000.0,85668000.0
