company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,accountspayable,accountsreceivable,accruedexpenses,aoci,assetretirementandlitigationobligation,cashandequivalents,commitmentsandcontingencies,commonequity,currentdeferredrevenue,currentdeferredtaxassets,currentdeferredtaxliabilities,goodwill,intangibleassets,longtermdebt,longterminvestments,netinventory,netppe,noncurrentdeferredtaxassets,noncurrentnotereceivables,notereceivable,othercurrentassets,othercurrentliabilities,othercurrentnonoperatingassets,otherequity,othernoncurrentassets,othernoncurrentliabilities,othernoncurrentnonoperatingassets,prepaidexpenses,restrictedcash,retainedearnings,shorttermdebt,shortterminvestments,totalassets,totalcommonequity,totalcurrentassets,totalcurrentliabilities,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalnoncurrentassets,totalnoncurrentliabilities
First Solar Inc,FSLR,549300NPYMLM4NHTOF27,1274494,2008.0,FY,,2008-12-27,2010-02-22 11:01:20+00:00,46251000.0,61703000.0,140899000.0,-24421000.0,35238000.0,716218000.0,,1176238000.0,,9922000.0,99938000.0,33829000.0,,163519000.0,54559000.0,121554000.0,842622000.0,61325000.0,,,0.0,59738000.0,,0.0,14707000.0,20926000.0,30059000.0,91962000.0,,361225000.0,34951000.0,76042000.0,2114502000.0,1513042000.0,1077401000.0,381777000.0,1513042000.0,1513042000.0,601460000.0,2114502000.0,194479000.0,219683000.0
First Solar Inc,FSLR,549300NPYMLM4NHTOF27,1274494,2009.0,FY,,2009-12-26,2011-02-25 20:13:25+00:00,75744000.0,226884000.0,193277000.0,-9596000.0,92799000.0,664499000.0,,1658176000.0,,21679000.0,8740000.0,286515000.0,,146399000.0,391102000.0,152821000.0,988782000.0,130515000.0,,,1081000.0,88607000.0,,2844000.0,201327000.0,62600000.0,,164071000.0,,1001363000.0,28559000.0,120236000.0,3349512000.0,2652787000.0,1351271000.0,394927000.0,2652787000.0,2652787000.0,696725000.0,3349512000.0,1009459000.0,301798000.0
First Solar Inc,FSLR,549300NPYMLM4NHTOF27,1274494,2009.0,Q3,,2009-09-26,2009-10-29 19:28:34+00:00,72338000.0,348965000.0,142490000.0,-36409000.0,76932000.0,364814000.0,,1632996000.0,,15362000.0,17555000.0,284005000.0,,163320000.0,331415000.0,178032000.0,962732000.0,117449000.0,,,58017000.0,85107000.0,,2844000.0,158906000.0,48987000.0,37173000.0,79355000.0,,859743000.0,29169000.0,158847000.0,3095072000.0,2459174000.0,1203392000.0,346659000.0,2459174000.0,2459174000.0,635898000.0,3095072000.0,928948000.0,289239000.0
First Solar Inc,FSLR,549300NPYMLM4NHTOF27,1274494,2009.0,Q2,,2009-06-27,2009-07-31 19:40:43+00:00,55631000.0,351266000.0,106335000.0,-45119000.0,60880000.0,429160000.0,,1576217000.0,,14880000.0,57336000.0,294962000.0,,156935000.0,163239000.0,162501000.0,911869000.0,102673000.0,,,0.0,70187000.0,,47394000.0,159254000.0,41345000.0,33695000.0,76996000.0,48970000.0,706399000.0,76639000.0,160714000.0,2910179000.0,2284891000.0,1244487000.0,366128000.0,2284891000.0,2284891000.0,625288000.0,2910179000.0,753823000.0,259160000.0
First Solar Inc,FSLR,549300NPYMLM4NHTOF27,1274494,2010.0,FY,,2010-12-31,2012-02-29 17:24:52+00:00,82312000.0,307019000.0,244271000.0,-27243000.0,132951000.0,765689000.0,0.0,1815506000.0,,388000.0,16831000.0,433288000.0,,210804000.0,266274000.0,200442000.0,1430789000.0,259236000.0,,,,99676000.0,,1118000.0,406356000.0,112026000.0,,143033000.0,,1665564000.0,26587000.0,167889000.0,4380403000.0,3454945000.0,1584460000.0,469677000.0,3454945000.0,3454945000.0,925458000.0,4380403000.0,1365154000.0,455781000.0
First Solar Inc,FSLR,549300NPYMLM4NHTOF27,1274494,2010.0,Q3,,2010-09-25,2010-10-29 21:08:44+00:00,71135000.0,464624000.0,282832000.0,-30234000.0,128664000.0,621216000.0,,1820354000.0,,256000.0,17612000.0,433288000.0,,223756000.0,283570000.0,184006000.0,1244598000.0,257683000.0,,,109000.0,59560000.0,,1607000.0,367791000.0,90227000.0,,132430000.0,,1509619000.0,26639000.0,212200000.0,4201771000.0,3301346000.0,1614841000.0,457778000.0,3301346000.0,3301346000.0,900425000.0,4201771000.0,1342332000.0,442647000.0
First Solar Inc,FSLR,549300NPYMLM4NHTOF27,1274494,2010.0,Q2,,2010-06-26,2010-07-30 19:42:54+00:00,68268000.0,361677000.0,183889000.0,-16804000.0,101757000.0,510482000.0,,1694693000.0,,19248000.0,28552000.0,286515000.0,,114168000.0,270120000.0,194308000.0,1094877000.0,157778000.0,,,109000.0,20045000.0,,1607000.0,206155000.0,77925000.0,,244053000.0,,1332750000.0,24465000.0,285993000.0,3631315000.0,3012246000.0,1615870000.0,325219000.0,3012246000.0,3012246000.0,619069000.0,3631315000.0,920568000.0,293850000.0
First Solar Inc,FSLR,549300NPYMLM4NHTOF27,1274494,2010.0,Q1,,2010-03-27,2010-04-29 15:24:00+00:00,76029000.0,295120000.0,141470000.0,-4289000.0,97836000.0,420886000.0,,1674592000.0,,22487000.0,15729000.0,286515000.0,,136129000.0,330802000.0,172119000.0,1030219000.0,150031000.0,,,109000.0,62891000.0,,2844000.0,194071000.0,70220000.0,77343000.0,200524000.0,,1173708000.0,26355000.0,293288000.0,3473514000.0,2846855000.0,1404533000.0,322474000.0,2846855000.0,2846855000.0,626659000.0,3473514000.0,1038762000.0,304185000.0
First Solar Inc,FSLR,549300NPYMLM4NHTOF27,1274494,2011.0,FY,,2011-12-31,2013-02-26 21:27:11+00:00,176448000.0,843967000.0,406659000.0,-5037000.0,167378000.0,605619000.0,0.0,2022829000.0,41925000.0,41144000.0,9541000.0,65444000.0,,619143000.0,316742000.0,529651000.0,1815958000.0,340274000.0,,,197702000.0,294646000.0,0.0,,625935000.0,373506000.0,,329032000.0,,1626071000.0,44505000.0,66146000.0,5777614000.0,3643863000.0,2613261000.0,973724000.0,3643863000.0,3643863000.0,2133751000.0,5777614000.0,1348395000.0,1160027000.0
First Solar Inc,FSLR,549300NPYMLM4NHTOF27,1274494,2011.0,Q3,,2011-09-30,2011-11-04 10:57:03+00:00,170904000.0,807619000.0,271991000.0,20675000.0,185160000.0,678560000.0,,1965926000.0,,31716000.0,33411000.0,458808000.0,,582744000.0,235622000.0,476174000.0,1840295000.0,278772000.0,,,,245098000.0,,0.0,479347000.0,182623000.0,,352049000.0,,2039183000.0,25597000.0,84350000.0,5723312000.0,4025784000.0,2430468000.0,747001000.0,4025784000.0,4025784000.0,1697528000.0,5723312000.0,1452549000.0,950527000.0
