company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,cashdividendspershare,dilutedeps,impairmentexpense,incometaxexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,otherincome,preferreddividends,restructuringcharge,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totalinterestincome,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Kraft Heinz Co,KHC,5493003STKEZ2S0RNU91,1637459,2012.0,FY,2012-04-30,2013-04-28,2016-03-03 12:53:54+00:00,0.0,3.16,2.06,3.14,,242000000.0,1027000000.0,1102000000.0,-75000000.0,1013000000.0,14000000.0,7958000000.0,11529000000.0,-34000000.0,0.0,,1909000000.0,7958000000.0,3571000000.0,284000000.0,,1909000000.0,1662000000.0,-318000000.0,1344000000.0,11529000000.0,,320600000.0,322600000.0
Kraft Heinz Co,KHC,5493003STKEZ2S0RNU91,1637459,2014.0,FY,2013-12-30,2014-12-28,2017-02-23 13:32:18+00:00,-0.17,-0.17,0.0,-0.17,,131000000.0,672000000.0,672000000.0,,-63000000.0,15000000.0,7645000000.0,10922000000.0,-79000000.0,720000000.0,,1709000000.0,7645000000.0,3277000000.0,686000000.0,,1709000000.0,1568000000.0,-765000000.0,803000000.0,10922000000.0,377000000.0,377000000.0,377000000.0
Kraft Heinz Co,KHC,5493003STKEZ2S0RNU91,1637459,2014.0,Q3,2014-06-30,2014-09-28,2015-11-06 12:49:33+00:00,-0.02,-0.02,0.0,-0.02,,40000000.0,174000000.0,174000000.0,,-8000000.0,2000000.0,1827000000.0,2594000000.0,-28000000.0,180000000.0,,358000000.0,1827000000.0,767000000.0,167000000.0,,358000000.0,409000000.0,-195000000.0,214000000.0,2594000000.0,400000000.0,400000000.0,400000000.0
Kraft Heinz Co,KHC,5493003STKEZ2S0RNU91,1637459,2014.0,Q2,2014-03-31,2014-06-29,2015-08-10 16:11:02+00:00,-0.14,-0.14,,-0.14,,34000000.0,135000000.0,135000000.0,,-53000000.0,8000000.0,1844000000.0,2729000000.0,-43000000.0,180000000.0,0.0,511000000.0,1844000000.0,885000000.0,168000000.0,6000000.0,511000000.0,374000000.0,-205000000.0,169000000.0,2729000000.0,377000000.0,377000000.0,377000000.0
Kraft Heinz Co,KHC,5493003STKEZ2S0RNU91,1637459,2015.0,FY,2014-12-29,2016-01-03,2018-02-16 12:39:26+00:00,-0.34,-0.34,1.7,-0.34,,366000000.0,647000000.0,647000000.0,,-266000000.0,13000000.0,12577000000.0,18338000000.0,-305000000.0,900000000.0,,3122000000.0,12577000000.0,5761000000.0,1321000000.0,,3122000000.0,2639000000.0,-1626000000.0,1013000000.0,18338000000.0,786000000.0,786000000.0,786000000.0
Kraft Heinz Co,KHC,5493003STKEZ2S0RNU91,1637459,2015.0,Q4,2015-09-28,2016-01-03,,0.58,0.58,1.15,0.6,,382000000.0,648000000.0,648000000.0,,285000000.0,3000000.0,4720000000.0,7124000000.0,9000000.0,360000000.0,,1117000000.0,4720000000.0,2404000000.0,266000000.0,,1117000000.0,1287000000.0,-257000000.0,1030000000.0,7124000000.0,786000000.0,786000000.0,786000000.0
Kraft Heinz Co,KHC,5493003STKEZ2S0RNU91,1637459,2015.0,Q3,2015-06-29,2015-09-27,2016-11-04 15:20:29+00:00,-0.27,-0.27,0.55,-0.27,,-49000000.0,-120000000.0,-120000000.0,,-303000000.0,3000000.0,4492000000.0,6120000000.0,-108000000.0,180000000.0,,1229000000.0,4492000000.0,1628000000.0,460000000.0,,1229000000.0,399000000.0,-568000000.0,-169000000.0,6120000000.0,1142000000.0,1142000000.0,1142000000.0
Kraft Heinz Co,KHC,5493003STKEZ2S0RNU91,1637459,2015.0,Q3YTD,2014-12-29,2015-09-27,,-0.92,-0.92,0.55,-0.94,,-16000000.0,-1000000.0,-1000000.0,,-551000000.0,10000000.0,7857000000.0,11214000000.0,-314000000.0,540000000.0,,2005000000.0,7857000000.0,3357000000.0,1055000000.0,,2005000000.0,1352000000.0,-1369000000.0,-17000000.0,11214000000.0,1142000000.0,1142000000.0,1142000000.0
Kraft Heinz Co,KHC,5493003STKEZ2S0RNU91,1637459,2015.0,Q2,2015-03-30,2015-06-28,2016-08-05 11:52:49+00:00,-0.91,-0.91,0.0,-0.91,,-35000000.0,-160000000.0,-160000000.0,,-344000000.0,4000000.0,1734000000.0,2616000000.0,-245000000.0,180000000.0,,438000000.0,1734000000.0,882000000.0,394000000.0,,438000000.0,444000000.0,-639000000.0,-195000000.0,2616000000.0,380000000.0,380000000.0,380000000.0
Kraft Heinz Co,KHC,5493003STKEZ2S0RNU91,1637459,2015.0,Q2YTD,2014-12-29,2015-06-28,,-0.65,-0.65,,-0.67,,33000000.0,119000000.0,119000000.0,,-248000000.0,7000000.0,3365000000.0,5094000000.0,-206000000.0,360000000.0,,776000000.0,3365000000.0,1729000000.0,595000000.0,,776000000.0,953000000.0,-801000000.0,152000000.0,5094000000.0,380000000.0,380000000.0,380000000.0
