company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,amortizationexpense,cashincometaxespaid,cashinterestpaid,depreciationexpense,divestitures,effectofexchangeratechanges,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,issuanceofpreferredequity,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,paymentofdividends,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofpreferredequity,saleofinvestments,saleofplantpropertyandequipment
Kraft Heinz Co,KHC,5493003STKEZ2S0RNU91,1637459,2012.0,FY,2012-04-30,2013-04-28,2016-03-03 12:53:54+00:00,0.0,-4000000.0,327000000.0,285000000.0,344000000.0,,-127000000.0,-8000000.0,0.0,1295000000.0,0.0,256000000.0,-373000000.0,1390000000.0,256000000.0,-373000000.0,1390000000.0,1146000000.0,1027000000.0,1027000000.0,31000000.0,,26000000.0,-666000000.0,-399000000.0,-373000000.0,,0.0,
Kraft Heinz Co,KHC,5493003STKEZ2S0RNU91,1637459,2014.0,FY,2013-12-30,2014-12-28,2017-02-23 13:32:18+00:00,0.0,-6000000.0,86000000.0,620000000.0,530000000.0,,-132000000.0,844000000.0,0.0,3000000.0,,-1820000000.0,-349000000.0,2140000000.0,-1820000000.0,-349000000.0,2140000000.0,-161000000.0,672000000.0,672000000.0,100000000.0,,50000000.0,-720000000.0,-399000000.0,-1103000000.0,0.0,0.0,
Kraft Heinz Co,KHC,5493003STKEZ2S0RNU91,1637459,2014.0,Q4,2014-09-29,2014-12-28,,,-1000000.0,86000000.0,620000000.0,101000000.0,,-15000000.0,512000000.0,,-13000000.0,,-1210000000.0,-140000000.0,809000000.0,-1210000000.0,-140000000.0,809000000.0,-556000000.0,165000000.0,165000000.0,32000000.0,,54000000.0,-180000000.0,-152000000.0,-1017000000.0,,,-42000000.0
Kraft Heinz Co,KHC,5493003STKEZ2S0RNU91,1637459,2014.0,Q3,2014-06-30,2014-09-28,,,-78000000.0,,,145000000.0,,-140000000.0,235000000.0,,4000000.0,,-201000000.0,-94000000.0,482000000.0,-201000000.0,-94000000.0,484000000.0,49000000.0,174000000.0,174000000.0,6000000.0,,-2000000.0,-180000000.0,-94000000.0,-25000000.0,,,2000000.0
Kraft Heinz Co,KHC,5493003STKEZ2S0RNU91,1637459,2014.0,Q3YTD,2013-12-30,2014-09-28,2015-11-06 12:49:33+00:00,0.0,-5000000.0,,,429000000.0,,-117000000.0,332000000.0,0.0,16000000.0,,-610000000.0,-209000000.0,1331000000.0,-610000000.0,-209000000.0,1331000000.0,395000000.0,507000000.0,507000000.0,68000000.0,,-4000000.0,-540000000.0,-247000000.0,-86000000.0,,0.0,42000000.0
Kraft Heinz Co,KHC,5493003STKEZ2S0RNU91,1637459,2014.0,Q2YTD,2013-12-30,2014-06-29,2015-08-10 16:11:02+00:00,,73000000.0,,,284000000.0,,23000000.0,97000000.0,,12000000.0,,-409000000.0,-115000000.0,849000000.0,-409000000.0,-115000000.0,847000000.0,346000000.0,333000000.0,333000000.0,62000000.0,,-2000000.0,-360000000.0,-153000000.0,-61000000.0,,0.0,40000000.0
Kraft Heinz Co,KHC,5493003STKEZ2S0RNU91,1637459,2015.0,FY,2014-12-29,2016-01-03,2018-02-16 12:39:26+00:00,-9468000000.0,-112000000.0,577000000.0,704000000.0,740000000.0,,,-725000000.0,10000000000.0,14834000000.0,,10047000000.0,-8309000000.0,1272000000.0,10047000000.0,-8309000000.0,1272000000.0,3010000000.0,647000000.0,647000000.0,722000000.0,,1319000000.0,-2202000000.0,-648000000.0,-12585000000.0,0.0,488000000.0,
Kraft Heinz Co,KHC,5493003STKEZ2S0RNU91,1637459,2015.0,Q4,2015-09-28,2016-01-03,,,-81000000.0,577000000.0,704000000.0,338000000.0,,397000000.0,-691000000.0,,11000000.0,,-1144000000.0,1092000000.0,526000000.0,-1144000000.0,1092000000.0,526000000.0,871000000.0,648000000.0,648000000.0,312000000.0,,1367000000.0,-1025000000.0,-282000000.0,-130000000.0,,7000000.0,
Kraft Heinz Co,KHC,5493003STKEZ2S0RNU91,1637459,2015.0,Q3YTD,2014-12-29,2015-09-27,2016-11-04 15:20:29+00:00,-9468000000.0,-31000000.0,,,402000000.0,,-397000000.0,-34000000.0,10000000000.0,14823000000.0,,11191000000.0,-9401000000.0,746000000.0,11191000000.0,-9401000000.0,746000000.0,2139000000.0,-1000000.0,-1000000.0,410000000.0,,-48000000.0,-1177000000.0,-366000000.0,-12455000000.0,0.0,481000000.0,
Kraft Heinz Co,KHC,5493003STKEZ2S0RNU91,1637459,2015.0,Q3TTM,2014-09-29,2015-09-27,,-9468000000.0,-32000000.0,86000000.0,620000000.0,503000000.0,,-412000000.0,478000000.0,10000000000.0,14810000000.0,,9981000000.0,-9541000000.0,1555000000.0,9981000000.0,-9541000000.0,1555000000.0,1583000000.0,164000000.0,164000000.0,442000000.0,,6000000.0,-1357000000.0,-518000000.0,-13472000000.0,,481000000.0,-42000000.0
