company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,depreciationexpense,dilutedeps,incometaxexpense,investmentsecuritiesinterestincome,longtermdebtinterestexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,netincometononcontrollinginterest,netinterestincome,netoccupancyequipmentexpense,netrealizedcapitalgains,nonoperatingincome,otheradjustmentstoconsolidatednetincome,otheradjustmentstonetincometocommon,othernoninterestincome,otheroperatingexpenses,otherservicechargeincome,preferreddividends,propertyliabilityinsuranceclaims,totalinterestexpense,totalinterestincome,totalnoninterestexpense,totalnoninterestincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Host Hotels & Resorts Inc,HST,N6EL63S0K3PB1YFTDI24,1070750,2007.0,FY,2007-01-01,2007-12-31,2010-03-01 09:44:39+00:00,1.33,1.33,499000000.0,1.32,3000000.0,37000000.0,444000000.0,734000000.0,532000000.0,202000000.0,694000000.0,31000000.0,-407000000.0,2650000000.0,6000000.0,11000000.0,,,4898000000.0,1226000000.0,351000000.0,9000000.0,-51000000.0,444000000.0,37000000.0,4324000000.0,5255000000.0,535000000.0,4848000000.0,521800000.0,521800000.0,525800000.0
Host Hotels & Resorts Inc,HST,N6EL63S0K3PB1YFTDI24,1070750,2008.0,FY,2008-01-01,2008-12-31,2011-02-24 16:14:33+00:00,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
Host Hotels & Resorts Inc,HST,N6EL63S0K3PB1YFTDI24,1070750,2009.0,Q3,2009-06-20,2009-09-11,2010-10-15 16:16:52+00:00,-0.09,-0.09,137000000.0,-0.09,-25000000.0,1000000.0,95000000.0,-58000000.0,-67000000.0,9000000.0,-57000000.0,-3000000.0,-94000000.0,552000000.0,10000000.0,,,,813000000.0,222000000.0,90000000.0,2000000.0,,95000000.0,1000000.0,911000000.0,913000000.0,-92000000.0,819000000.0,633300000.0,633300000.0,633300000.0
Host Hotels & Resorts Inc,HST,N6EL63S0K3PB1YFTDI24,1070750,2009.0,Q3YTD,2009-01-01,2009-09-11,,-0.33,-0.33,429000000.0,-0.33,-29000000.0,5000000.0,264000000.0,-187000000.0,-132000000.0,-55000000.0,-188000000.0,-5000000.0,-259000000.0,1595000000.0,-18000000.0,,,,2573000000.0,678000000.0,245000000.0,6000000.0,,264000000.0,5000000.0,2702000000.0,2800000000.0,-161000000.0,2541000000.0,633300000.0,633300000.0,633300000.0
Host Hotels & Resorts Inc,HST,N6EL63S0K3PB1YFTDI24,1070750,2009.0,Q2,2009-03-28,2009-06-19,2010-07-27 09:14:57+00:00,-0.12,-0.12,137000000.0,-0.12,10000000.0,2000000.0,82000000.0,-69000000.0,-11000000.0,-58000000.0,-70000000.0,-1000000.0,-80000000.0,565000000.0,-25000000.0,,,,965000000.0,245000000.0,86000000.0,2000000.0,,82000000.0,2000000.0,947000000.0,1026000000.0,-1000000.0,946000000.0,583300000.0,583300000.0,583300000.0
Host Hotels & Resorts Inc,HST,N6EL63S0K3PB1YFTDI24,1070750,2009.0,Q2YTD,2009-01-01,2009-06-19,,-0.24,-0.24,292000000.0,-0.24,-4000000.0,4000000.0,169000000.0,-129000000.0,-65000000.0,-64000000.0,-131000000.0,-2000000.0,-165000000.0,1043000000.0,-28000000.0,,,,1760000000.0,456000000.0,155000000.0,4000000.0,,169000000.0,4000000.0,1791000000.0,1887000000.0,-69000000.0,1722000000.0,583300000.0,583300000.0,583300000.0
Host Hotels & Resorts Inc,HST,N6EL63S0K3PB1YFTDI24,1070750,2009.0,Q1,2009-01-01,2009-03-27,2010-05-03 16:36:40+00:00,-0.12,-0.12,155000000.0,-0.12,-14000000.0,2000000.0,87000000.0,-60000000.0,-54000000.0,-6000000.0,-61000000.0,-1000000.0,-85000000.0,478000000.0,-3000000.0,,,,795000000.0,211000000.0,69000000.0,2000000.0,,87000000.0,2000000.0,844000000.0,861000000.0,-68000000.0,776000000.0,508300000.0,508300000.0,508300000.0
Host Hotels & Resorts Inc,HST,N6EL63S0K3PB1YFTDI24,1070750,2010.0,FY,2010-01-01,2010-12-31,2013-02-25 12:03:58+00:00,,,,,,,383000000.0,-383000000.0,-383000000.0,,-383000000.0,,-383000000.0,,,,,,,,,,,383000000.0,,,,-383000000.0,-383000000.0,,,
Host Hotels & Resorts Inc,HST,N6EL63S0K3PB1YFTDI24,1070750,2010.0,Q4,2010-09-11,2010-12-31,,,,,,,,383000000.0,-383000000.0,-383000000.0,,-383000000.0,1000000.0,-383000000.0,,,,,-1000000.0,,,,,,383000000.0,,,,-383000000.0,-383000000.0,,,
Host Hotels & Resorts Inc,HST,N6EL63S0K3PB1YFTDI24,1070750,2010.0,Q3,2010-06-19,2010-09-10,2011-10-17 16:17:15+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,,,,0.0,,,,
