company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,amortizationexpense,cashincometaxespaid,cashinterestpaid,depreciationexpense,divestitures,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,paymentofdividends,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,saleofinvestments,saleofplantpropertyandequipment
Life Storage Inc,LSI,W9EE01AFDDF9DQCQZC68,944314,2008.0,FY,2008-01-01,2008-12-31,2011-02-25 16:07:31+00:00,,,,37970000.0,35659000.0,,542000.0,10842000.0,264000000.0,6055000.0,-82711000.0,77132000.0,6055000.0,-82711000.0,77132000.0,476000.0,39683000.0,39683000.0,1248000.0,-4898000.0,923000.0,-57889000.0,-44940000.0,-45709000.0,-206000000.0,,7015000.0,
Life Storage Inc,LSI,W9EE01AFDDF9DQCQZC68,944314,2009.0,FY,2009-01-01,2009-12-31,2012-02-28 17:29:02+00:00,,1838000.0,,49154000.0,33818000.0,,-1217000.0,146710000.0,30000000.0,-48471000.0,-4448000.0,59143000.0,-48471000.0,-4448000.0,59143000.0,6224000.0,21654000.0,21654000.0,3050000.0,0.0,163000.0,-53139000.0,-331000.0,-22261000.0,-172042000.0,,17981000.0,
Life Storage Inc,LSI,W9EE01AFDDF9DQCQZC68,944314,2009.0,Q3,2009-07-01,2009-09-30,,,,,8937000.0,8725000.0,,3852000.0,1212000.0,,-10317000.0,8091000.0,21486000.0,-10317000.0,8091000.0,21418000.0,19192000.0,7971000.0,7971000.0,938000.0,-472000.0,28000.0,-11057000.0,-115000.0,-3828000.0,,,12006000.0,
Life Storage Inc,LSI,W9EE01AFDDF9DQCQZC68,944314,2009.0,Q3YTD,2009-01-01,2009-09-30,2010-11-05 16:08:42+00:00,,,,29554000.0,26418000.0,,1187000.0,31900000.0,24000000.0,-23752000.0,-3898000.0,52513000.0,-23752000.0,-3898000.0,52445000.0,24795000.0,22834000.0,22834000.0,2074000.0,-1419000.0,203000.0,-40233000.0,-294000.0,-15827000.0,-38000000.0,,12020000.0,
Life Storage Inc,LSI,W9EE01AFDDF9DQCQZC68,944314,2009.0,Q2YTD,2009-01-01,2009-06-30,2010-08-06 08:36:21+00:00,0.0,,,20617000.0,17693000.0,,-2665000.0,30688000.0,24000000.0,-13435000.0,-11989000.0,31027000.0,-13435000.0,-11989000.0,31027000.0,5603000.0,14863000.0,14863000.0,1136000.0,-947000.0,175000.0,-29176000.0,-179000.0,-11999000.0,-38000000.0,,14000.0,
Life Storage Inc,LSI,W9EE01AFDDF9DQCQZC68,944314,2010.0,Q4,2010-10-01,2010-12-31,,,257000.0,,8690000.0,8322000.0,,730000.0,156000.0,15000000.0,-3512000.0,-41387000.0,18738000.0,-3512000.0,-41387000.0,18738000.0,-26161000.0,8976000.0,8976000.0,453000.0,-147000.0,-21000.0,-12936000.0,-34717000.0,-6867000.0,-5585000.0,,218000.0,
Life Storage Inc,LSI,W9EE01AFDDF9DQCQZC68,944314,2010.0,FY,2010-01-01,2010-12-31,2013-02-27 09:18:01+00:00,,1030000.0,,30698000.0,33156000.0,,1973000.0,842000.0,32000000.0,-46010000.0,-32605000.0,73671000.0,-46010000.0,-32605000.0,73671000.0,-4944000.0,42541000.0,42541000.0,-5029000.0,-2894000.0,-80000.0,-51693000.0,-34717000.0,-21516000.0,-24265000.0,,23708000.0,
Life Storage Inc,LSI,W9EE01AFDDF9DQCQZC68,944314,2010.0,Q3TTM,2009-10-01,2010-09-30,,,2611000.0,,41608000.0,32234000.0,,-1161000.0,115496000.0,23000000.0,-67217000.0,8232000.0,61563000.0,-67217000.0,8232000.0,61631000.0,2646000.0,32385000.0,32385000.0,-4506000.0,-1328000.0,-99000.0,-51663000.0,-37000.0,-21083000.0,-152722000.0,,29451000.0,
Life Storage Inc,LSI,W9EE01AFDDF9DQCQZC68,944314,2010.0,Q3,2010-07-01,2010-09-30,,25000.0,258000.0,,6639000.0,8215000.0,,4125000.0,190000.0,,-13280000.0,-5278000.0,22468000.0,-13280000.0,-5278000.0,22468000.0,3910000.0,9374000.0,9374000.0,496000.0,,-7000.0,-12911000.0,,-5296000.0,-559000.0,,,
Life Storage Inc,LSI,W9EE01AFDDF9DQCQZC68,944314,2010.0,Q3YTD,2010-01-01,2010-09-30,2011-11-04 16:01:49+00:00,,773000.0,,22008000.0,24834000.0,,1243000.0,686000.0,17000000.0,-42498000.0,8782000.0,54933000.0,-42498000.0,8782000.0,54933000.0,21217000.0,33565000.0,33565000.0,-5482000.0,-2747000.0,-59000.0,-38757000.0,,-14649000.0,-18680000.0,,23490000.0,
