company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,amortizationexpense,cashincometaxespaid,cashinterestpaid,depreciationexpense,effectofexchangeratechanges,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromdiscontinuedfinancingactivities,netcashfromdiscontinuedinvestingactivities,netcashfromdiscontinuedoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,netincomediscontinued,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,paymentofdividends,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,repurchaseofpreferredequity,saleofinvestments
Citrix Systems Inc,CTXS,HCTKJGUQOPZ5NBK7NP58,877890,2007.0,FY,2007-01-01,2007-12-31,2010-02-23 21:30:10+00:00,-151305000.0,46983000.0,43064000.0,247000.0,38214000.0,1843000.0,37851000.0,118395000.0,,-131822000.0,-417601000.0,422275000.0,,,,-131822000.0,-417601000.0,422275000.0,-125305000.0,214483000.0,214483000.0,,84744000.0,17753000.0,,,-639414000.0,-85919000.0,-8000000.0,-259970000.0,,459037000.0
Citrix Systems Inc,CTXS,HCTKJGUQOPZ5NBK7NP58,877890,2008.0,Q4,2008-10-01,2008-12-31,,-34334000.0,18360000.0,28591000.0,196000.0,15400000.0,679000.0,50065000.0,6920000.0,,-24263000.0,-34483000.0,166110000.0,,,,-24263000.0,-34483000.0,166110000.0,108043000.0,60100000.0,60100000.0,,22185000.0,180000.0,,,-93026000.0,-93487000.0,,-31363000.0,,186364000.0
Citrix Systems Inc,CTXS,HCTKJGUQOPZ5NBK7NP58,877890,2008.0,FY,2008-01-01,2008-12-31,2011-02-24 16:36:32+00:00,-68441000.0,70752000.0,28591000.0,196000.0,52954000.0,5821000.0,37622000.0,44372000.0,,-206934000.0,-158622000.0,462107000.0,,,,-206934000.0,-158622000.0,462107000.0,102372000.0,178276000.0,178276000.0,,122503000.0,5559000.0,,,-591919000.0,-181046000.0,-407000.0,-256458000.0,,682784000.0
Citrix Systems Inc,CTXS,HCTKJGUQOPZ5NBK7NP58,877890,2008.0,Q3,2008-07-01,2008-09-30,,-437000.0,17416000.0,,,13252000.0,2815000.0,2119000.0,5441000.0,,-68932000.0,22128000.0,114686000.0,,,,-68932000.0,22128000.0,114686000.0,70697000.0,49149000.0,49149000.0,,32750000.0,579000.0,,,-113403000.0,-25272000.0,,-74952000.0,,161240000.0
Citrix Systems Inc,CTXS,HCTKJGUQOPZ5NBK7NP58,877890,2008.0,Q3YTD,2008-01-01,2008-09-30,2009-11-04 15:21:16+00:00,-34107000.0,52392000.0,,,37554000.0,5142000.0,-12443000.0,37452000.0,,-182671000.0,-124139000.0,295997000.0,,,,-182671000.0,-124139000.0,295997000.0,-5671000.0,118176000.0,118176000.0,,100318000.0,5379000.0,,,-498893000.0,-87559000.0,-407000.0,-225095000.0,,496420000.0
Citrix Systems Inc,CTXS,HCTKJGUQOPZ5NBK7NP58,877890,2008.0,Q2YTD,2008-01-01,2008-06-30,2009-08-07 14:57:02+00:00,-33670000.0,34976000.0,,,24302000.0,2327000.0,-14562000.0,32011000.0,,-113739000.0,-146267000.0,181311000.0,,,,-113739000.0,-146267000.0,181311000.0,-76368000.0,69027000.0,69027000.0,,67568000.0,4800000.0,,,-385490000.0,-62287000.0,-407000.0,-150143000.0,,335180000.0
Citrix Systems Inc,CTXS,HCTKJGUQOPZ5NBK7NP58,877890,2009.0,Q4,2009-10-01,2009-12-31,,-1218000.0,18557000.0,31367000.0,211000.0,17697000.0,1234000.0,28705000.0,36863000.0,,-41530000.0,-180542000.0,181913000.0,,,,-41530000.0,-180542000.0,181913000.0,-38925000.0,88148000.0,88148000.0,,28806000.0,-3439000.0,,,-328206000.0,-19446000.0,,-74954000.0,,168328000.0
Citrix Systems Inc,CTXS,HCTKJGUQOPZ5NBK7NP58,877890,2009.0,FY,2009-01-01,2009-12-31,2012-02-23 15:11:48+00:00,-6628000.0,68889000.0,31367000.0,211000.0,69688000.0,-250000.0,44148000.0,165998000.0,,-45537000.0,-502865000.0,483974000.0,,,,-45537000.0,-502865000.0,483974000.0,-64678000.0,191017000.0,191017000.0,,110232000.0,3409000.0,,,-1141830000.0,-76246000.0,0.0,-214944000.0,,721839000.0
Citrix Systems Inc,CTXS,HCTKJGUQOPZ5NBK7NP58,877890,2009.0,Q3TTM,2008-10-01,2009-09-30,,-39744000.0,68692000.0,28591000.0,196000.0,67391000.0,-805000.0,65508000.0,136055000.0,,-28270000.0,-356806000.0,468171000.0,,,,-28270000.0,-356806000.0,468171000.0,82290000.0,162969000.0,162969000.0,,103611000.0,7028000.0,,,-906650000.0,-150287000.0,,-171353000.0,,739875000.0
Citrix Systems Inc,CTXS,HCTKJGUQOPZ5NBK7NP58,877890,2009.0,Q3,2009-07-01,2009-09-30,,-2140000.0,16653000.0,,,17433000.0,-1349000.0,19070000.0,51934000.0,,-19112000.0,-107253000.0,133872000.0,,,,-19112000.0,-107253000.0,133872000.0,6158000.0,53423000.0,53423000.0,,27293000.0,3950000.0,,,-266309000.0,-16634000.0,,-74996000.0,,177830000.0
Citrix Systems Inc,CTXS,HCTKJGUQOPZ5NBK7NP58,877890,2009.0,Q3YTD,2009-01-01,2009-09-30,2010-11-09 13:40:56+00:00,-5410000.0,50332000.0,,,51991000.0,-1484000.0,15443000.0,129135000.0,,-4007000.0,-322323000.0,302061000.0,,,,-4007000.0,-322323000.0,302061000.0,-25753000.0,102869000.0,102869000.0,,81426000.0,6848000.0,,,-813624000.0,-56800000.0,,-139990000.0,,553511000.0
Citrix Systems Inc,CTXS,HCTKJGUQOPZ5NBK7NP58,877890,2009.0,Q2TTM,2008-07-01,2009-06-30,,-38041000.0,69455000.0,28591000.0,196000.0,63210000.0,3359000.0,48557000.0,89562000.0,,-78090000.0,-227425000.0,448985000.0,,,,-78090000.0,-227425000.0,448985000.0,146829000.0,158695000.0,158695000.0,,109068000.0,3657000.0,,,-753744000.0,-158925000.0,,-171309000.0,,723285000.0
Citrix Systems Inc,CTXS,HCTKJGUQOPZ5NBK7NP58,877890,2009.0,Q2,2009-04-01,2009-06-30,,-1845000.0,16586000.0,,,17557000.0,258000.0,-16014000.0,53101000.0,,15498000.0,-77812000.0,86443000.0,,,,15498000.0,-77812000.0,86443000.0,24387000.0,42519000.0,42519000.0,,25795000.0,2393000.0,,,-358338000.0,-17269000.0,,-39996000.0,,299640000.0
Citrix Systems Inc,CTXS,HCTKJGUQOPZ5NBK7NP58,877890,2009.0,Q2YTD,2009-01-01,2009-06-30,2010-08-09 15:23:54+00:00,-3270000.0,33679000.0,,,34558000.0,-135000.0,-3627000.0,77201000.0,,15105000.0,-215070000.0,168189000.0,,,,15105000.0,-215070000.0,168189000.0,-31911000.0,49446000.0,49446000.0,,54133000.0,2898000.0,,,-547315000.0,-40166000.0,,-64994000.0,,375681000.0
Citrix Systems Inc,CTXS,HCTKJGUQOPZ5NBK7NP58,877890,2009.0,Q1,2009-01-01,2009-03-31,2010-05-05 15:10:47+00:00,-1425000.0,17093000.0,,,17001000.0,-393000.0,12387000.0,24100000.0,,-393000.0,-137258000.0,81746000.0,,,,-393000.0,-137258000.0,81746000.0,-56298000.0,6927000.0,6927000.0,,28338000.0,505000.0,,,-188977000.0,-22897000.0,,-24998000.0,,76041000.0
Citrix Systems Inc,CTXS,HCTKJGUQOPZ5NBK7NP58,877890,2010.0,Q4,2010-10-01,2010-12-31,,-3671000.0,16202000.0,42902000.0,276000.0,19330000.0,108000.0,30110000.0,42727000.0,,-51101000.0,-131160000.0,179327000.0,,,,-51101000.0,-131160000.0,179327000.0,-2826000.0,93756000.0,93756000.0,,19929000.0,15005000.0,,,-283542000.0,-22275000.0,,-108833000.0,,178328000.0
Citrix Systems Inc,CTXS,HCTKJGUQOPZ5NBK7NP58,877890,2010.0,FY,2010-01-01,2010-12-31,2013-02-21 16:19:19+00:00,-37225000.0,64783000.0,42902000.0,276000.0,73375000.0,1785000.0,96132000.0,353557000.0,,-26316000.0,-457042000.0,616292000.0,,,,-26316000.0,-457042000.0,616292000.0,134719000.0,276441000.0,276441000.0,,105561000.0,53866000.0,0.0,,-1296923000.0,-75376000.0,0.0,-433739000.0,,952482000.0
Citrix Systems Inc,CTXS,HCTKJGUQOPZ5NBK7NP58,877890,2010.0,Q3TTM,2009-10-01,2010-09-30,,-34772000.0,67138000.0,31367000.0,211000.0,71742000.0,2911000.0,94727000.0,347693000.0,,-16745000.0,-506424000.0,618878000.0,,,,-16745000.0,-506424000.0,618878000.0,98620000.0,270833000.0,270833000.0,,114438000.0,35422000.0,,,-1341587000.0,-72547000.0,,-399860000.0,,942482000.0
Citrix Systems Inc,CTXS,HCTKJGUQOPZ5NBK7NP58,877890,2010.0,Q3,2010-07-01,2010-09-30,,-13092000.0,15873000.0,,,18598000.0,1911000.0,35935000.0,126638000.0,,26561000.0,-164369000.0,190181000.0,,,,26561000.0,-164369000.0,190181000.0,54284000.0,87779000.0,87779000.0,,31996000.0,24885000.0,,,-375623000.0,-23029000.0,,-124962000.0,,247375000.0
Citrix Systems Inc,CTXS,HCTKJGUQOPZ5NBK7NP58,877890,2010.0,Q3YTD,2010-01-01,2010-09-30,2011-11-07 16:22:16+00:00,-33554000.0,48581000.0,,,54045000.0,1677000.0,66022000.0,310830000.0,,24785000.0,-325882000.0,436965000.0,,,,24785000.0,-325882000.0,436965000.0,137545000.0,182685000.0,182685000.0,,85632000.0,38861000.0,,,-1013381000.0,-53101000.0,0.0,-324906000.0,,774154000.0
Citrix Systems Inc,CTXS,HCTKJGUQOPZ5NBK7NP58,877890,2010.0,Q2TTM,2009-07-01,2010-06-30,,-23820000.0,67918000.0,31367000.0,211000.0,70577000.0,-349000.0,77862000.0,272989000.0,,-62418000.0,-449308000.0,562569000.0,,,,-62418000.0,-449308000.0,562569000.0,50494000.0,236477000.0,236477000.0,,109735000.0,14487000.0,,,-1232273000.0,-66152000.0,,-349894000.0,,872937000.0
Citrix Systems Inc,CTXS,HCTKJGUQOPZ5NBK7NP58,877890,2010.0,Q2,2010-04-01,2010-06-30,,-3703000.0,16193000.0,,,17967000.0,206000.0,-9077000.0,29262000.0,,-67618000.0,27050000.0,103219000.0,,,,-67618000.0,27050000.0,103219000.0,62857000.0,47557000.0,47557000.0,,30579000.0,3071000.0,,,-182080000.0,-18811000.0,,-99951000.0,,231644000.0
