company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,amortizationexpense,cashincometaxespaid,cashinterestpaid,depreciationexpense,effectofexchangeratechanges,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,paymentofdividends,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,saleofinvestments,saleofplantpropertyandequipment
Hilton Worldwide Holdings Inc,HLT,549300HVGPK36ICB0B89,1585689,2012.0,FY,2012-01-01,2012-12-31,2015-02-18 17:26:55+00:00,-134000000.0,-5000000.0,,,550000000.0,-2000000.0,98000000.0,0.0,283000000.0,-576000000.0,-558000000.0,1110000000.0,-576000000.0,-558000000.0,1110000000.0,-26000000.0,359000000.0,359000000.0,108000000.0,0.0,-4000000.0,-5000000.0,-3000000.0,-433000000.0,-854000000.0,,16000000.0,0.0
Hilton Worldwide Holdings Inc,HLT,549300HVGPK36ICB0B89,1585689,2013.0,FY,2013-01-01,2013-12-31,2016-02-26 12:19:38+00:00,-152000000.0,25000000.0,,,603000000.0,-17000000.0,931000000.0,1243000000.0,14281000000.0,-1863000000.0,-382000000.0,2101000000.0,-1863000000.0,-382000000.0,2101000000.0,-161000000.0,460000000.0,460000000.0,82000000.0,0.0,-10000000.0,-4000000.0,-4000000.0,-254000000.0,-17383000000.0,,38000000.0,0.0
Hilton Worldwide Holdings Inc,HLT,549300HVGPK36ICB0B89,1585689,2013.0,Q4,2013-10-01,2013-12-31,,-60000000.0,25000000.0,-84000000.0,-395000000.0,148000000.0,-3000000.0,810000000.0,1243000000.0,13465000000.0,-1074000000.0,-130000000.0,1077000000.0,-1074000000.0,-130000000.0,1077000000.0,-130000000.0,62000000.0,62000000.0,32000000.0,,-2000000.0,-1000000.0,,-87000000.0,-15781000000.0,,19000000.0,
Hilton Worldwide Holdings Inc,HLT,549300HVGPK36ICB0B89,1585689,2013.0,Q3,2013-07-01,2013-09-30,,-26000000.0,,44000000.0,107000000.0,146000000.0,1000000.0,68000000.0,,365000000.0,-255000000.0,-69000000.0,386000000.0,-255000000.0,-69000000.0,386000000.0,63000000.0,203000000.0,203000000.0,-31000000.0,,-1000000.0,,-1000000.0,-46000000.0,-620000000.0,,5000000.0,
Hilton Worldwide Holdings Inc,HLT,549300HVGPK36ICB0B89,1585689,2013.0,Q3YTD,2013-01-01,2013-09-30,2014-10-31 11:39:42+00:00,-92000000.0,,84000000.0,395000000.0,455000000.0,-14000000.0,121000000.0,,816000000.0,-789000000.0,-252000000.0,1024000000.0,-789000000.0,-252000000.0,1024000000.0,-31000000.0,398000000.0,398000000.0,50000000.0,,-8000000.0,-3000000.0,-4000000.0,-167000000.0,-1602000000.0,,19000000.0,
Hilton Worldwide Holdings Inc,HLT,549300HVGPK36ICB0B89,1585689,2013.0,Q2,2013-04-01,2013-06-30,,-54000000.0,,24000000.0,156000000.0,149000000.0,-6000000.0,123000000.0,,393000000.0,-457000000.0,-119000000.0,466000000.0,-457000000.0,-119000000.0,466000000.0,-116000000.0,157000000.0,157000000.0,37000000.0,,,-2000000.0,-2000000.0,-64000000.0,-848000000.0,,1000000.0,
Hilton Worldwide Holdings Inc,HLT,549300HVGPK36ICB0B89,1585689,2013.0,Q2YTD,2013-01-01,2013-06-30,2014-08-01 12:16:28+00:00,-66000000.0,,40000000.0,288000000.0,309000000.0,-15000000.0,53000000.0,,451000000.0,-534000000.0,-183000000.0,638000000.0,-534000000.0,-183000000.0,638000000.0,-94000000.0,195000000.0,195000000.0,81000000.0,0.0,-7000000.0,-3000000.0,-3000000.0,-121000000.0,-982000000.0,,14000000.0,0.0
Hilton Worldwide Holdings Inc,HLT,549300HVGPK36ICB0B89,1585689,2013.0,Q1,2013-01-01,2013-03-31,2014-05-09 12:03:03+00:00,-12000000.0,,16000000.0,132000000.0,160000000.0,-9000000.0,-70000000.0,,58000000.0,-77000000.0,-64000000.0,172000000.0,-77000000.0,-64000000.0,172000000.0,22000000.0,38000000.0,38000000.0,44000000.0,,-7000000.0,-1000000.0,-1000000.0,-57000000.0,-134000000.0,,13000000.0,
Hilton Worldwide Holdings Inc,HLT,549300HVGPK36ICB0B89,1585689,2014.0,FY,2014-01-01,2014-12-31,2017-02-15 13:19:35+00:00,-134000000.0,50000000.0,,,628000000.0,,-71000000.0,,350000000.0,-1075000000.0,-310000000.0,1307000000.0,-1075000000.0,-310000000.0,1307000000.0,-78000000.0,682000000.0,682000000.0,18000000.0,13000000.0,48000000.0,-5000000.0,,-268000000.0,-1433000000.0,,,44000000.0
Hilton Worldwide Holdings Inc,HLT,549300HVGPK36ICB0B89,1585689,2014.0,Q4,2014-10-01,2014-12-31,,-35000000.0,50000000.0,-284000000.0,-353000000.0,158000000.0,7000000.0,5000000.0,,,-332000000.0,-110000000.0,408000000.0,-332000000.0,-110000000.0,408000000.0,-27000000.0,159000000.0,159000000.0,36000000.0,,49000000.0,-2000000.0,6000000.0,-84000000.0,-330000000.0,,-50000000.0,4000000.0
Hilton Worldwide Holdings Inc,HLT,549300HVGPK36ICB0B89,1585689,2014.0,Q3YTD,2014-01-01,2014-09-30,2015-10-28 12:59:38+00:00,-99000000.0,,284000000.0,353000000.0,470000000.0,-7000000.0,-76000000.0,,350000000.0,-743000000.0,-200000000.0,899000000.0,-743000000.0,-200000000.0,899000000.0,-51000000.0,523000000.0,523000000.0,-18000000.0,13000000.0,-1000000.0,-3000000.0,-6000000.0,-184000000.0,-1103000000.0,,50000000.0,40000000.0
