company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,cashdividendspershare,depreciationexpense,dilutedeps,impairmentexpense,incometaxexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,operatingcostofrevenue,operatingrevenue,otherincome,otheroperatingexpenses,otherspecialcharges,rdexpense,restructuringcharge,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totalinterestincome,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
International Game Technology PLC,IGT,,1619762,2007.0,FY,2006-10-01,2007-09-30,2009-12-01 19:34:46+00:00,,1.54,0.53,80400000.0,1.51,,296600000.0,508200000.0,508200000.0,,508200000.0,1140600000.0,2621400000.0,100000.0,,0.0,202200000.0,0.0,397900000.0,1140600000.0,1480800000.0,77400000.0,82000000.0,680500000.0,800300000.0,4700000.0,804800000.0,2621400000.0,,330100000.0,336100000.0
International Game Technology PLC,IGT,,1619762,2008.0,FY,2007-10-01,2008-09-30,2010-12-29 14:11:47+00:00,,1.06,0.57,75400000.0,1.05,,243300000.0,328000000.0,334300000.0,-6300000.0,328000000.0,1089800000.0,2499000000.0,-36400000.0,,,216500000.0,1600000.0,445900000.0,1089800000.0,1409200000.0,123200000.0,67400000.0,739400000.0,669800000.0,-92200000.0,577600000.0,2499000000.0,,308000000.0,310200000.0
International Game Technology PLC,IGT,,1619762,2009.0,Q4,2009-07-01,2009-09-30,,-0.09,-0.09,0.06,18500000.0,-0.09,78000000.0,-4000000.0,-28600000.0,-8300000.0,-20300000.0,-28600000.0,172300000.0,424200000.0,-14300000.0,,,36200000.0,2400000.0,81700000.0,172300000.0,251900000.0,48300000.0,15200000.0,216800000.0,35100000.0,-47400000.0,-12300000.0,424200000.0,294900000.0,293800000.0,294000000.0
International Game Technology PLC,IGT,,1619762,2009.0,FY,2008-10-01,2009-09-30,2011-11-29 18:31:50+00:00,,0.43,0.33,77600000.0,0.43,78000000.0,64400000.0,126800000.0,148700000.0,-21900000.0,126800000.0,905200000.0,2018800000.0,-21700000.0,,,193800000.0,31100000.0,400700000.0,905200000.0,1113600000.0,159200000.0,61600000.0,781200000.0,332400000.0,-119300000.0,213100000.0,2018800000.0,,293800000.0,294000000.0
International Game Technology PLC,IGT,,1619762,2009.0,Q3YTD,2008-10-01,2009-06-30,,0.52,0.52,0.27,59100000.0,0.52,,68400000.0,155400000.0,157000000.0,-1600000.0,155400000.0,732900000.0,1594600000.0,-7400000.0,,,157600000.0,28700000.0,319000000.0,732900000.0,861700000.0,110900000.0,46400000.0,564400000.0,297300000.0,-71900000.0,225400000.0,1594600000.0,303000000.0,294300000.0,294600000.0
International Game Technology PLC,IGT,,1619762,2009.0,Q3,2009-04-01,2009-06-30,2010-08-11 17:32:35+00:00,0.2,0.2,0.06,19700000.0,0.2,,38800000.0,60600000.0,62200000.0,-1600000.0,60600000.0,221500000.0,517300000.0,2100000.0,,,51300000.0,3000000.0,94800000.0,221500000.0,295800000.0,43200000.0,15100000.0,168800000.0,127000000.0,-26000000.0,101000000.0,517300000.0,303000000.0,294300000.0,294600000.0
International Game Technology PLC,IGT,,1619762,2009.0,Q2YTD,2008-10-01,2009-03-31,,0.32,0.32,0.21,39400000.0,0.32,,29600000.0,94800000.0,94800000.0,,94800000.0,511400000.0,1077300000.0,-9500000.0,,,106300000.0,25700000.0,224200000.0,511400000.0,565900000.0,67700000.0,31300000.0,395600000.0,170300000.0,-45900000.0,124400000.0,1077300000.0,305500000.0,293600000.0,293700000.0
International Game Technology PLC,IGT,,1619762,2009.0,Q2,2009-01-01,2009-03-31,2010-05-13 16:01:07+00:00,0.11,0.11,0.06,19400000.0,0.11,,17700000.0,33600000.0,33600000.0,,33600000.0,215700000.0,475700000.0,-1500000.0,,,52800000.0,8300000.0,109300000.0,215700000.0,260000000.0,32200000.0,14800000.0,189800000.0,70200000.0,-18900000.0,51300000.0,475700000.0,305500000.0,293600000.0,293700000.0
International Game Technology PLC,IGT,,1619762,2009.0,Q1,2008-10-01,2008-12-31,2010-02-10 19:46:26+00:00,0.21,0.21,0.15,20000000.0,0.21,,11900000.0,61200000.0,61200000.0,,61200000.0,295700000.0,601600000.0,-8000000.0,,,53500000.0,17400000.0,114900000.0,295700000.0,305900000.0,35500000.0,16500000.0,205800000.0,100100000.0,-27000000.0,73100000.0,601600000.0,291400000.0,293300000.0,293400000.0
International Game Technology PLC,IGT,,1619762,2010.0,Q4,2010-07-01,2010-09-30,,0.06,0.06,0.06,18200000.0,0.06,,30000000.0,19900000.0,22200000.0,-2300000.0,19900000.0,-242700000.0,440400000.0,-22300000.0,431500000.0,,44500000.0,15300000.0,76900000.0,-242700000.0,683100000.0,36800000.0,14600000.0,586400000.0,96700000.0,-44500000.0,52200000.0,440400000.0,300000000.0,296300000.0,297800000.0
International Game Technology PLC,IGT,,1619762,2010.0,FY,2009-10-01,2010-09-30,2012-11-27 19:19:46+00:00,0.62,0.62,0.24,74300000.0,0.62,,85300000.0,186000000.0,219600000.0,-33600000.0,186000000.0,398400000.0,1917200000.0,-19300000.0,431500000.0,,189400000.0,68400000.0,330400000.0,398400000.0,1518800000.0,161700000.0,61100000.0,1094000000.0,424800000.0,-119900000.0,304900000.0,1917200000.0,300000000.0,296300000.0,297800000.0
International Game Technology PLC,IGT,,1619762,2010.0,Q3YTD,2009-10-01,2010-06-30,,0.56,0.56,0.18,56100000.0,0.56,,55300000.0,166100000.0,197400000.0,-31300000.0,166100000.0,641100000.0,1476800000.0,3000000.0,,,144900000.0,53100000.0,253500000.0,641100000.0,835700000.0,124900000.0,46500000.0,507600000.0,328100000.0,-75400000.0,252700000.0,1476800000.0,297100000.0,297000000.0,298900000.0
International Game Technology PLC,IGT,,1619762,2010.0,Q3TTM,2009-07-01,2010-06-30,,0.47,0.47,0.24,74600000.0,0.47,78000000.0,51300000.0,137500000.0,189100000.0,-51600000.0,137500000.0,813400000.0,1901000000.0,-11300000.0,,,181100000.0,55500000.0,335200000.0,813400000.0,1087600000.0,173200000.0,61700000.0,724400000.0,363200000.0,-122800000.0,240400000.0,1901000000.0,297100000.0,297000000.0,298900000.0
