company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,amortizationexpense,cashincometaxespaid,cashinterestpaid,depreciationexpense,divestitures,effectofexchangeratechanges,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,paymentofdividends,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,saleofinvestments,saleofplantpropertyandequipment
International Game Technology PLC,IGT,,1619762,2008.0,FY,2007-10-01,2008-09-30,2010-12-29 14:11:47+00:00,-84300000.0,28500000.0,,,286000000.0,,-500000.0,-218000000.0,70900000.0,1082400000.0,-115200000.0,-365700000.0,486500000.0,-115200000.0,-365700000.0,486500000.0,5100000.0,328000000.0,328000000.0,62000000.0,15100000.0,-170900000.0,-175600000.0,,-298200000.0,-328300000.0,-779700000.0,153600000.0,34100000.0
International Game Technology PLC,IGT,,1619762,2008.0,Q4,2007-07-01,2008-09-30,,-71700000.0,23900000.0,-186800000.0,-52400000.0,75600000.0,,-4900000.0,-39700000.0,200000.0,384400000.0,10400000.0,-139200000.0,125800000.0,10400000.0,-139200000.0,125800000.0,-7900000.0,37500000.0,37500000.0,28500000.0,-200000.0,-55300000.0,-43300000.0,15000000.0,-76600000.0,-25000000.0,-305700000.0,19200000.0,30200000.0
International Game Technology PLC,IGT,,1619762,2008.0,Q3YTD,2007-10-01,2008-06-30,2009-09-11 20:27:00+00:00,-12600000.0,4600000.0,186800000.0,52400000.0,210400000.0,,4400000.0,-178300000.0,70700000.0,698000000.0,-125600000.0,-226500000.0,360700000.0,-125600000.0,-226500000.0,360700000.0,13000000.0,290500000.0,290500000.0,33500000.0,15300000.0,-115600000.0,-132300000.0,-15000000.0,-221600000.0,-303300000.0,-474000000.0,134400000.0,3900000.0
International Game Technology PLC,IGT,,1619762,2009.0,FY,2008-10-01,2009-09-30,2011-11-29 18:31:50+00:00,-15800000.0,40900000.0,,,276800000.0,,2000000.0,-66000000.0,13400000.0,2986200000.0,-381200000.0,-288400000.0,547900000.0,-381200000.0,-288400000.0,547900000.0,-119700000.0,126800000.0,126800000.0,169400000.0,-110300000.0,-91500000.0,-121300000.0,,-257400000.0,-3149200000.0,,62500000.0,13800000.0
International Game Technology PLC,IGT,,1619762,2009.0,Q4,2009-07-01,2009-09-30,,-100000.0,17100000.0,,,64500000.0,,700000.0,31400000.0,-58900000.0,196800000.0,-148800000.0,-82700000.0,193500000.0,-148800000.0,-82700000.0,193500000.0,-37300000.0,-28600000.0,-28600000.0,109100000.0,67000000.0,-37800000.0,-17800000.0,11900000.0,-81600000.0,-335900000.0,,18800000.0,6100000.0
International Game Technology PLC,IGT,,1619762,2009.0,Q3YTD,2008-10-01,2009-06-30,2010-08-11 17:32:35+00:00,-15700000.0,23800000.0,,,212300000.0,,1300000.0,-97400000.0,72300000.0,2789400000.0,-232400000.0,-205700000.0,354400000.0,-232400000.0,-205700000.0,354400000.0,-82400000.0,155400000.0,155400000.0,60300000.0,-177300000.0,-53700000.0,-103500000.0,-11900000.0,-175800000.0,-2813300000.0,,43700000.0,7700000.0
International Game Technology PLC,IGT,,1619762,2009.0,Q3TTM,2008-07-01,2009-06-30,,-87400000.0,47700000.0,-186800000.0,-52400000.0,287900000.0,,-3600000.0,-137100000.0,72500000.0,3173800000.0,-222000000.0,-344900000.0,480200000.0,-222000000.0,-344900000.0,480200000.0,-90300000.0,192900000.0,192900000.0,88800000.0,-177500000.0,-109000000.0,-146800000.0,3100000.0,-252400000.0,-2838300000.0,-305700000.0,62900000.0,37900000.0
International Game Technology PLC,IGT,,1619762,2009.0,Q3,2009-04-01,2009-06-30,,,12600000.0,,,64100000.0,,7900000.0,-900000.0,66900000.0,1480400000.0,-143100000.0,-20300000.0,148300000.0,-143100000.0,-20300000.0,148300000.0,-7200000.0,60600000.0,60600000.0,11900000.0,-177300000.0,1700000.0,-17700000.0,,-41900000.0,-1495400000.0,,15900000.0,4000000.0
International Game Technology PLC,IGT,,1619762,2009.0,Q2YTD,2008-10-01,2009-03-31,2010-05-13 16:01:07+00:00,-15700000.0,11200000.0,,,148200000.0,,-6600000.0,-96500000.0,5400000.0,1309000000.0,-89300000.0,-185400000.0,206100000.0,-89300000.0,-185400000.0,206100000.0,-75200000.0,94800000.0,94800000.0,48400000.0,,-55400000.0,-85800000.0,-11900000.0,-133900000.0,-1317900000.0,,27800000.0,3700000.0
International Game Technology PLC,IGT,,1619762,2009.0,Q2,2009-01-01,2009-03-31,,-15500000.0,5300000.0,,,69100000.0,,-1500000.0,-73900000.0,5300000.0,869000000.0,-68700000.0,-56300000.0,56600000.0,-68700000.0,-56300000.0,56600000.0,-69900000.0,33600000.0,33600000.0,22500000.0,,-2300000.0,-42900000.0,-1600000.0,-57900000.0,-900100000.0,,18600000.0,2400000.0
