company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,cashdividendspershare,depreciationexpense,dilutedeps,explorationexpense,impairmentexpense,incometaxexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,operatingcostofrevenue,operatingrevenue,otheradjustmentstoconsolidatednetincome,otheradjustmentstonetincometocommon,othercostofrevenue,othergains,otherincome,otheroperatingexpenses,otherspecialcharges,restructuringcharge,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Concho Resources Inc,CXO,SYHS7HRDXLL4I0IQ8776,1358071,2008.0,FY,2008-01-01,2008-12-31,2011-02-25 16:06:30+00:00,3.52,3.52,,117406000.0,3.46,,49990000.0,157434000.0,278702000.0,270222000.0,8480000.0,278702000.0,81836000.0,498085000.0,,,2905000.0,,1432000.0,-250445000.0,,,41130000.0,84741000.0,413344000.0,29039000.0,-41919000.0,455263000.0,-27607000.0,427656000.0,498085000.0,79200000.0,79206000.0,80587000.0
Concho Resources Inc,CXO,SYHS7HRDXLL4I0IQ8776,1358071,2009.0,FY,2009-01-01,2009-12-31,2011-02-25 16:06:30+00:00,-0.12,-0.12,,196736000.0,-0.12,,18512000.0,-21510000.0,-9802000.0,-11527000.0,1725000.0,-9802000.0,98782000.0,519601000.0,,,-1035000.0,,-414000.0,157774000.0,,,53163000.0,97747000.0,421854000.0,28292000.0,426185000.0,-4331000.0,-28706000.0,-33037000.0,519601000.0,81700000.0,84912000.0,84912000.0
Concho Resources Inc,CXO,SYHS7HRDXLL4I0IQ8776,1358071,2009.0,Q3,2009-07-01,2009-09-30,2010-11-04 09:17:25+00:00,0.23,0.23,,54835000.0,0.23,,3907000.0,21824000.0,19762000.0,19762000.0,,19762000.0,25439000.0,153494000.0,,,,,-200000.0,8003000.0,,,12715000.0,25439000.0,128055000.0,6809000.0,79460000.0,48595000.0,-7009000.0,41586000.0,153494000.0,85900000.0,85061000.0,86088000.0
Concho Resources Inc,CXO,SYHS7HRDXLL4I0IQ8776,1358071,2009.0,Q2,2009-04-01,2009-06-30,2010-08-06 08:13:21+00:00,-0.39,-0.39,,52402000.0,-0.39,,5923000.0,-25691000.0,-33218000.0,-33218000.0,,-33218000.0,25817000.0,127332000.0,,,,,180000.0,81907000.0,,,14172000.0,25817000.0,101515000.0,6200000.0,154404000.0,-52889000.0,-6020000.0,-58909000.0,127332000.0,85200000.0,84799000.0,84799000.0
Concho Resources Inc,CXO,SYHS7HRDXLL4I0IQ8776,1358071,2010.0,Q4,2010-10-01,2010-12-31,,-0.14,-0.14,,45327000.0,-0.14,10130000.0,-868000.0,-21976000.0,-8116000.0,-62853000.0,54737000.0,-8116000.0,24249000.0,196064000.0,,,331000.0,,-6415000.0,149515000.0,,,20039000.0,24580000.0,171484000.0,25794000.0,224143000.0,-52620000.0,-32209000.0,-84829000.0,196064000.0,92500000.0,92542000.0,93837000.0
Concho Resources Inc,CXO,SYHS7HRDXLL4I0IQ8776,1358071,2010.0,FY,2010-01-01,2010-12-31,2013-02-22 17:01:13+00:00,2.21,2.21,,211487000.0,2.18,10130000.0,11614000.0,101613000.0,204370000.0,147426000.0,56944000.0,204370000.0,143099000.0,851443000.0,,,870000.0,,-10313000.0,88404000.0,,,66400000.0,143969000.0,707474000.0,60087000.0,388035000.0,319439000.0,-70400000.0,249039000.0,851443000.0,92500000.0,92542000.0,93837000.0
Concho Resources Inc,CXO,SYHS7HRDXLL4I0IQ8776,1358071,2010.0,Q3,2010-07-01,2010-09-30,2010-11-04 09:17:25+00:00,0.23,0.23,,61900000.0,0.22,,5547000.0,10082000.0,20775000.0,20775000.0,,20775000.0,45072000.0,240496000.0,,,,,-3521000.0,66512000.0,,,15045000.0,45072000.0,195424000.0,12036000.0,149004000.0,46414000.0,-15557000.0,30857000.0,240496000.0,90300000.0,91182000.0,92440000.0
Concho Resources Inc,CXO,SYHS7HRDXLL4I0IQ8776,1358071,2010.0,Q3YTD,2010-01-01,2010-09-30,,2.35,2.35,,166160000.0,2.32,,12482000.0,123589000.0,212486000.0,210279000.0,2207000.0,212486000.0,118850000.0,655379000.0,,,539000.0,,-3898000.0,-61111000.0,,,46361000.0,119389000.0,535990000.0,34293000.0,163892000.0,372059000.0,-38191000.0,333868000.0,655379000.0,90300000.0,91182000.0,92440000.0
Concho Resources Inc,CXO,SYHS7HRDXLL4I0IQ8776,1358071,2010.0,Q2,2010-04-01,2010-06-30,2010-08-06 08:13:21+00:00,1.36,1.36,,54101000.0,1.35,,5570000.0,74744000.0,124171000.0,124171000.0,,124171000.0,40448000.0,215710000.0,,,,,-304000.0,-112391000.0,,,17538000.0,40448000.0,175262000.0,11192000.0,-35182000.0,210411000.0,-11496000.0,198915000.0,215710000.0,91300000.0,91044000.0,92297000.0
Concho Resources Inc,CXO,SYHS7HRDXLL4I0IQ8776,1358071,2010.0,Q2YTD,2010-01-01,2010-06-30,,2.12,2.12,,104260000.0,2.1,,6935000.0,113507000.0,191711000.0,189504000.0,2207000.0,191711000.0,73778000.0,414883000.0,,,539000.0,,-377000.0,-127623000.0,,,31316000.0,74317000.0,340566000.0,22257000.0,14888000.0,325645000.0,-22634000.0,303011000.0,414883000.0,91300000.0,91044000.0,92297000.0
