company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,cashincometaxespaid,cashinterestpaid,depreciationexpense,effectofexchangeratechanges,increasedecreaseinoperatingcapital,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,paymentofdividends,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,saleofinvestments,saleofplantpropertyandequipment
TELLABS INC,TLAB,,317771,2008.0,FY,2007-12-29,2009-01-02,2011-02-28 18:24:13+00:00,,35700000.0,2000000.0,84500000.0,1700000.0,-91500000.0,,-154800000.0,182600000.0,133600000.0,-154800000.0,182600000.0,133600000.0,163100000.0,-930100000.0,-930100000.0,1070700000.0,900000.0,,-1661700000.0,-50100000.0,,-155700000.0,1894100000.0,300000.0
TELLABS INC,TLAB,,317771,2009.0,Q4,2009-10-03,2010-01-01,,-164700000.0,12700000.0,1500000.0,19700000.0,-1500000.0,-27300000.0,,-21500000.0,-201400000.0,55700000.0,-21500000.0,-201400000.0,55700000.0,-168700000.0,62100000.0,62100000.0,1200000.0,500000.0,,-164400000.0,-21000000.0,,-22000000.0,148200000.0,500000.0
TELLABS INC,TLAB,,317771,2009.0,FY,2009-01-03,2010-01-01,2012-02-28 17:19:09+00:00,-164700000.0,12700000.0,1500000.0,75300000.0,7300000.0,12200000.0,,-83500000.0,-375600000.0,229700000.0,-83500000.0,-375600000.0,229700000.0,-222100000.0,113600000.0,113600000.0,28600000.0,2000000.0,,-1112200000.0,-45900000.0,,-85500000.0,946200000.0,1000000.0
TELLABS INC,TLAB,,317771,2009.0,Q3,2009-07-04,2009-10-02,,,,,18400000.0,6600000.0,13300000.0,,-61000000.0,106800000.0,66000000.0,-61000000.0,106800000.0,66000000.0,118400000.0,29300000.0,29300000.0,5000000.0,1500000.0,,-228200000.0,-10800000.0,,-62500000.0,345600000.0,200000.0
TELLABS INC,TLAB,,317771,2009.0,Q3YTD,2009-01-03,2009-10-02,2010-11-09 15:06:45+00:00,,,,55600000.0,8800000.0,39500000.0,,-62000000.0,-174200000.0,174000000.0,-62000000.0,-174200000.0,174000000.0,-53400000.0,51500000.0,51500000.0,27400000.0,1500000.0,,-947800000.0,-24900000.0,,-63500000.0,798000000.0,500000.0
TELLABS INC,TLAB,,317771,2009.0,Q2YTD,2009-01-03,2009-07-03,2010-08-10 16:37:04+00:00,,,,37200000.0,2200000.0,26200000.0,,-1000000.0,-281000000.0,108000000.0,-1000000.0,-281000000.0,108000000.0,-171800000.0,22200000.0,22200000.0,22400000.0,,,-719600000.0,-14100000.0,,-1000000.0,452400000.0,300000.0
TELLABS INC,TLAB,,317771,2010.0,Q4,2010-10-02,2010-12-31,,,23300000.0,1700000.0,19800000.0,-1800000.0,35600000.0,,-56500000.0,-72200000.0,53100000.0,-56500000.0,-72200000.0,53100000.0,-77400000.0,-10900000.0,-10900000.0,8600000.0,2500000.0,-7400000.0,-247600000.0,-24500000.0,,-51600000.0,199800000.0,100000.0
TELLABS INC,TLAB,,317771,2010.0,FY,2010-01-02,2010-12-31,2013-02-22 17:10:10+00:00,,23300000.0,1700000.0,77300000.0,-1000000.0,29100000.0,,-204900000.0,-28100000.0,288800000.0,-204900000.0,-28100000.0,288800000.0,54800000.0,155600000.0,155600000.0,26800000.0,9600000.0,-30300000.0,-2217700000.0,-55600000.0,,-184200000.0,2245100000.0,100000.0
TELLABS INC,TLAB,,317771,2010.0,Q3TTM,2009-10-03,2010-10-01,,-164700000.0,12700000.0,1500000.0,77200000.0,-700000.0,-33800000.0,,-169900000.0,-157300000.0,291400000.0,-169900000.0,-157300000.0,291400000.0,-36500000.0,228600000.0,228600000.0,19400000.0,7600000.0,-22900000.0,-2134500000.0,-52100000.0,,-154600000.0,2193500000.0,500000.0
TELLABS INC,TLAB,,317771,2010.0,Q3,2010-07-03,2010-10-01,,,,,18400000.0,11700000.0,-7600000.0,,-117800000.0,-28400000.0,69800000.0,-117800000.0,-28400000.0,69800000.0,-64700000.0,56800000.0,56800000.0,2200000.0,1000000.0,-7500000.0,-1046400000.0,-17000000.0,,-111300000.0,1035000000.0,
