company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,cashdividendspershare,depreciationexpense,dilutedeps,impairmentexpense,incometaxexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,otherincome,otheroperatingexpenses,otherspecialcharges,preferreddividends,rdexpense,restructuringcharge,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totalinterestincome,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Weyerhaeuser Co,WY,08IRJODWFYBI7QWRGS31,106535,2007.0,FY,2007-01-01,2007-12-30,2010-02-25 21:36:17+00:00,3.6,3.6,2.4,620000000.0,3.6,313000000.0,-179000000.0,739000000.0,-299000000.0,1038000000.0,790000000.0,-51000000.0,7064000000.0,21866000000.0,93000000.0,12738000000.0,,,71000000.0,82000000.0,1164000000.0,7064000000.0,14802000000.0,454000000.0,69000000.0,14988000000.0,-186000000.0,-292000000.0,-478000000.0,21866000000.0,219400000.0,219305000.0,219305000.0
Weyerhaeuser Co,WY,08IRJODWFYBI7QWRGS31,106535,2008.0,FY,2007-12-31,2008-12-31,2011-02-25 17:00:06+00:00,-5.57,-5.57,2.4,,-5.57,2118000000.0,-900000000.0,-1242000000.0,-1909000000.0,667000000.0,-1176000000.0,-66000000.0,7508000000.0,8100000000.0,,13000000.0,,,66000000.0,,996000000.0,7508000000.0,592000000.0,414000000.0,206000000.0,3193000000.0,-2601000000.0,-208000000.0,-2809000000.0,8100000000.0,211100000.0,211258000.0,211258000.0
Weyerhaeuser Co,WY,08IRJODWFYBI7QWRGS31,106535,2008.0,Q3,2008-06-30,2008-09-28,2009-11-05 17:57:16+00:00,1.33,1.33,0.6,152000000.0,1.33,295000000.0,-221000000.0,275000000.0,-205000000.0,480000000.0,280000000.0,-5000000.0,1413000000.0,4214000000.0,356000000.0,2818000000.0,,,14000000.0,10000000.0,224000000.0,1413000000.0,2801000000.0,115000000.0,45000000.0,3513000000.0,-712000000.0,286000000.0,-426000000.0,4214000000.0,210500000.0,211284000.0,211284000.0
Weyerhaeuser Co,WY,08IRJODWFYBI7QWRGS31,106535,2008.0,Q2,2008-03-31,2008-06-29,2009-08-07 21:17:13+00:00,-0.45,-0.45,0.6,151000000.0,-0.45,331000000.0,-214000000.0,-149000000.0,-260000000.0,111000000.0,-96000000.0,-53000000.0,1518000000.0,4348000000.0,523000000.0,2852000000.0,,,18000000.0,44000000.0,246000000.0,1518000000.0,2830000000.0,105000000.0,-80000000.0,3642000000.0,-812000000.0,338000000.0,-474000000.0,4348000000.0,213300000.0,211262000.0,211262000.0
Weyerhaeuser Co,WY,08IRJODWFYBI7QWRGS31,106535,2009.0,Q4,2009-10-01,2009-12-31,,-0.83,-0.83,0.05,-389000000.0,-0.83,-215000000.0,-76000000.0,-181000000.0,-138000000.0,-43000000.0,-175000000.0,-6000000.0,1668000000.0,-3078000000.0,-405000000.0,-4997000000.0,,,13000000.0,491000000.0,192000000.0,1668000000.0,-4746000000.0,49000000.0,81000000.0,-4905000000.0,159000000.0,-373000000.0,-214000000.0,-3078000000.0,211200000.0,211342000.0,211342000.0
Weyerhaeuser Co,WY,08IRJODWFYBI7QWRGS31,106535,2009.0,FY,2009-01-01,2009-12-31,2012-02-22 17:13:32+00:00,-2.58,-2.58,0.6,,-2.58,,-249000000.0,-568000000.0,-525000000.0,-43000000.0,-545000000.0,-23000000.0,4661000000.0,5068000000.0,,-632000000.0,,,51000000.0,686000000.0,681000000.0,4661000000.0,407000000.0,462000000.0,67000000.0,786000000.0,-379000000.0,-395000000.0,-774000000.0,5068000000.0,211200000.0,211342000.0,211342000.0
Weyerhaeuser Co,WY,08IRJODWFYBI7QWRGS31,106535,2009.0,Q3,2009-07-01,2009-09-30,2010-11-05 15:20:18+00:00,0.0,0.0,0.05,134000000.0,0.0,82000000.0,35000000.0,-5000000.0,-5000000.0,,,-5000000.0,965000000.0,2814000000.0,,1163000000.0,,,10000000.0,67000000.0,147000000.0,965000000.0,1849000000.0,216000000.0,0.0,1603000000.0,246000000.0,-216000000.0,30000000.0,2814000000.0,,211357000.0,211357000.0
Weyerhaeuser Co,WY,08IRJODWFYBI7QWRGS31,106535,2009.0,Q3YTD,2009-01-01,2009-09-30,,-1.75,-1.75,0.55,389000000.0,-1.75,215000000.0,-173000000.0,-387000000.0,-387000000.0,,-370000000.0,-17000000.0,2993000000.0,8146000000.0,405000000.0,4365000000.0,,,38000000.0,195000000.0,489000000.0,2993000000.0,5153000000.0,413000000.0,-14000000.0,5691000000.0,-538000000.0,-22000000.0,-560000000.0,8146000000.0,,211357000.0,211357000.0
Weyerhaeuser Co,WY,08IRJODWFYBI7QWRGS31,106535,2009.0,Q2,2009-04-01,2009-06-30,2009-08-07 21:17:13+00:00,-0.5,-0.5,0.25,129000000.0,-0.5,73000000.0,-32000000.0,-116000000.0,-116000000.0,0.0,-106000000.0,-10000000.0,1050000000.0,2782000000.0,75000000.0,1440000000.0,,,15000000.0,46000000.0,153000000.0,1050000000.0,1732000000.0,105000000.0,6000000.0,1856000000.0,-124000000.0,-24000000.0,-148000000.0,2782000000.0,212000000.0,211356000.0,211356000.0
Weyerhaeuser Co,WY,08IRJODWFYBI7QWRGS31,106535,2009.0,Q2YTD,2009-01-01,2009-06-30,,-1.75,-1.75,0.5,255000000.0,-1.75,133000000.0,-208000000.0,-382000000.0,-382000000.0,,-370000000.0,-12000000.0,2028000000.0,5332000000.0,405000000.0,3202000000.0,,,28000000.0,128000000.0,342000000.0,2028000000.0,3304000000.0,197000000.0,-14000000.0,4088000000.0,-784000000.0,194000000.0,-590000000.0,5332000000.0,212000000.0,211356000.0,211356000.0
