company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,cashincometaxespaid,cashinterestpaid,depreciationexpense,divestitures,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,issuanceofpreferredequity,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,paymentofdividends,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,saleofinvestments,saleofplantpropertyandequipment
Weyerhaeuser Co,WY,08IRJODWFYBI7QWRGS31,106535,2007.0,FY,2007-01-01,2007-12-30,2010-02-25 21:36:17+00:00,,193000000.0,463000000.0,974000000.0,,-731000000.0,,808000000.0,,-1580000000.0,816000000.0,635000000.0,-1580000000.0,816000000.0,635000000.0,-129000000.0,739000000.0,739000000.0,-347000000.0,232000000.0,1496000000.0,-531000000.0,0.0,-680000000.0,-1616000000.0,-473000000.0,0.0,
Weyerhaeuser Co,WY,08IRJODWFYBI7QWRGS31,106535,2008.0,FY,2007-12-31,2008-12-31,2011-02-25 17:00:06+00:00,,1174000000.0,457000000.0,689000000.0,,-1286000000.0,,,,-1980000000.0,5459000000.0,-1299000000.0,-1980000000.0,5459000000.0,-1299000000.0,2180000000.0,,,-702000000.0,-79000000.0,5997000000.0,-507000000.0,-701000000.0,-390000000.0,-1394000000.0,,553000000.0,
Weyerhaeuser Co,WY,08IRJODWFYBI7QWRGS31,106535,2008.0,Q4,2008-09-29,2008-12-31,,,1161000000.0,66000000.0,173000000.0,,-1471000000.0,,,,-884000000.0,236000000.0,-1160000000.0,-884000000.0,236000000.0,-1160000000.0,-1808000000.0,28000000.0,28000000.0,110000000.0,16000000.0,-222000000.0,-127000000.0,,-95000000.0,-773000000.0,,553000000.0,
Weyerhaeuser Co,WY,08IRJODWFYBI7QWRGS31,106535,2008.0,Q3YTD,2007-12-31,2008-09-28,2009-11-05 17:57:16+00:00,,13000000.0,391000000.0,516000000.0,,185000000.0,,,,-1096000000.0,5223000000.0,-139000000.0,-1096000000.0,5223000000.0,-139000000.0,3988000000.0,-28000000.0,-28000000.0,-812000000.0,-95000000.0,6219000000.0,-380000000.0,-701000000.0,-295000000.0,-621000000.0,0.0,0.0,
Weyerhaeuser Co,WY,08IRJODWFYBI7QWRGS31,106535,2008.0,Q3,2008-06-30,2008-09-28,,,-15000000.0,175000000.0,152000000.0,,191000000.0,,-830000000.0,,-1499000000.0,5559000000.0,-47000000.0,-1499000000.0,5559000000.0,-47000000.0,4013000000.0,-28000000.0,-28000000.0,-362000000.0,-59000000.0,6340000000.0,-127000000.0,-701000000.0,-80000000.0,-483000000.0,,,
Weyerhaeuser Co,WY,08IRJODWFYBI7QWRGS31,106535,2008.0,Q2YTD,2007-12-31,2008-06-29,2009-08-07 21:17:13+00:00,,28000000.0,216000000.0,364000000.0,,-6000000.0,,830000000.0,,403000000.0,-336000000.0,-92000000.0,403000000.0,-336000000.0,-92000000.0,-25000000.0,,,-450000000.0,-36000000.0,-121000000.0,-253000000.0,,-215000000.0,-138000000.0,0.0,0.0,
Weyerhaeuser Co,WY,08IRJODWFYBI7QWRGS31,106535,2009.0,FY,2009-01-01,2009-12-31,2012-02-22 17:13:32+00:00,,42000000.0,460000000.0,538000000.0,,-423000000.0,,491000000.0,,-498000000.0,276000000.0,-203000000.0,-498000000.0,276000000.0,-203000000.0,-425000000.0,-568000000.0,-568000000.0,250000000.0,-30000000.0,371000000.0,-127000000.0,,-187000000.0,-830000000.0,-2000000.0,92000000.0,
Weyerhaeuser Co,WY,08IRJODWFYBI7QWRGS31,106535,2009.0,Q4,2009-10-01,2009-12-31,,,-5000000.0,79000000.0,134000000.0,,-54000000.0,,491000000.0,,92000000.0,76000000.0,73000000.0,92000000.0,76000000.0,73000000.0,241000000.0,-181000000.0,-181000000.0,174000000.0,16000000.0,131000000.0,-11000000.0,,-55000000.0,-404000000.0,,,
Weyerhaeuser Co,WY,08IRJODWFYBI7QWRGS31,106535,2009.0,Q3YTD,2009-01-01,2009-09-30,2010-11-05 15:20:18+00:00,,47000000.0,381000000.0,404000000.0,,-369000000.0,,0.0,,-590000000.0,200000000.0,-276000000.0,-590000000.0,200000000.0,-276000000.0,-666000000.0,-387000000.0,-387000000.0,76000000.0,-46000000.0,240000000.0,-116000000.0,,-132000000.0,-426000000.0,-2000000.0,92000000.0,
Weyerhaeuser Co,WY,08IRJODWFYBI7QWRGS31,106535,2009.0,Q3TTM,2008-09-29,2009-09-30,,,1208000000.0,447000000.0,577000000.0,,-1840000000.0,,,,-1474000000.0,436000000.0,-1436000000.0,-1474000000.0,436000000.0,-1436000000.0,-2474000000.0,-359000000.0,-359000000.0,186000000.0,-30000000.0,18000000.0,-243000000.0,,-227000000.0,-1199000000.0,-2000000.0,645000000.0,
Weyerhaeuser Co,WY,08IRJODWFYBI7QWRGS31,106535,2009.0,Q3,2009-07-01,2009-09-30,,,-16000000.0,168000000.0,149000000.0,,-65000000.0,,,,-426000000.0,274000000.0,34000000.0,-426000000.0,274000000.0,34000000.0,-118000000.0,-387000000.0,-387000000.0,337000000.0,-12000000.0,303000000.0,-10000000.0,,-43000000.0,-404000000.0,,14000000.0,
Weyerhaeuser Co,WY,08IRJODWFYBI7QWRGS31,106535,2009.0,Q2,2009-04-01,2009-06-30,,,10000000.0,52000000.0,129000000.0,,85000000.0,,,,-64000000.0,28000000.0,126000000.0,-64000000.0,28000000.0,126000000.0,90000000.0,266000000.0,266000000.0,-354000000.0,8000000.0,29000000.0,-53000000.0,,-33000000.0,-19000000.0,,32000000.0,
Weyerhaeuser Co,WY,08IRJODWFYBI7QWRGS31,106535,2009.0,Q1,2009-01-01,2009-03-31,2010-05-07 15:07:08+00:00,,53000000.0,161000000.0,126000000.0,,-389000000.0,,0.0,,-100000000.0,-102000000.0,-436000000.0,-100000000.0,-102000000.0,-436000000.0,-638000000.0,-266000000.0,-266000000.0,93000000.0,-42000000.0,-92000000.0,-53000000.0,,-56000000.0,-3000000.0,-2000000.0,46000000.0,
Weyerhaeuser Co,WY,08IRJODWFYBI7QWRGS31,106535,2010.0,Q4,2010-10-01,2010-12-31,,,-9000000.0,57000000.0,0.0,,0.0,,,,-75000000.0,-51000000.0,225000000.0,-75000000.0,-51000000.0,225000000.0,99000000.0,171000000.0,171000000.0,54000000.0,17000000.0,-84000000.0,-27000000.0,,-115000000.0,-65000000.0,,148000000.0,
