company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,amortizationexpense,cashincometaxespaid,cashinterestpaid,depreciationexpense,divestitures,effectofexchangeratechanges,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,issuanceofpreferredequity,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromdiscontinuedoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,netincomediscontinued,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,othernetchangesincash,paymentofdividends,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,saleofinvestments,saleofplantpropertyandequipment
Kinder Morgan Inc,KMI,549300WR7IX8XE0TBO16,1506307,2010.0,Q4,2010-10-01,2010-12-31,,-44900000.0,,3800000.0,20900000.0,267000000.0,,1000000.0,285500000.0,0.0,0.0,,,-389200000.0,693900000.0,600000.0,-300000.0,-389200000.0,694500000.0,306000000.0,167000000.0,166600000.0,400000.0,-25200000.0,0.0,-44700000.0,,0.0,-85000000.0,-279200000.0,0.0,,37100000.0,27500000.0
Kinder Morgan Inc,KMI,549300WR7IX8XE0TBO16,1506307,2010.0,FY,2010-01-01,2010-12-31,2013-03-01 08:16:34+00:00,-288000000.0,,147000000.0,628000000.0,1085000000.0,0.0,2000000.0,-1000000.0,759000000.0,9373000000.0,,710000000.0,-2288000000.0,1913000000.0,,710000000.0,-2288000000.0,1913000000.0,337000000.0,300000000.0,300000000.0,,529000000.0,,-43000000.0,,-1549000000.0,-1225000000.0,-1006000000.0,-7873000000.0,0.0,225000000.0,49000000.0
Kinder Morgan Inc,KMI,549300WR7IX8XE0TBO16,1506307,2010.0,Q3YTD,2010-01-01,2010-09-30,2011-11-02 10:56:53+00:00,-243100000.0,,143200000.0,607100000.0,818000000.0,,1000000.0,-286500000.0,636600000.0,6698400000.0,,709000000.0,-1898800000.0,1219100000.0,-600000.0,710300000.0,-1898800000.0,1218500000.0,31000000.0,133000000.0,133400000.0,-400000.0,554200000.0,-5200000.0,1700000.0,,-1122400000.0,-1140000000.0,-726800000.0,-5498400000.0,,187900000.0,21500000.0
Kinder Morgan Inc,KMI,549300WR7IX8XE0TBO16,1506307,2010.0,Q3,2010-07-01,2010-09-30,,-25000000.0,,5400000.0,305100000.0,263100000.0,,1800000.0,-19700000.0,203400000.0,1417900000.0,,-216500000.0,-216600000.0,483500000.0,-300000.0,-216500000.0,-216600000.0,483200000.0,51900000.0,52600000.0,53200000.0,-600000.0,187300000.0,-12500000.0,19200000.0,,-392100000.0,-19700000.0,-268100000.0,-1433200000.0,,78000000.0,-1000000.0
Kinder Morgan Inc,KMI,549300WR7IX8XE0TBO16,1506307,2010.0,Q2YTD,2010-01-01,2010-06-30,2011-08-25 11:17:18+00:00,-218100000.0,,137800000.0,302000000.0,554900000.0,,-800000.0,-266800000.0,433200000.0,5280500000.0,,925500000.0,-1682200000.0,735600000.0,-300000.0,926800000.0,-1682200000.0,735300000.0,-20900000.0,80400000.0,80200000.0,200000.0,366900000.0,7300000.0,-17500000.0,,-730300000.0,-1120300000.0,-458700000.0,-4065200000.0,,109900000.0,22500000.0
Kinder Morgan Inc,KMI,549300WR7IX8XE0TBO16,1506307,2011.0,Q4,2011-10-01,2011-12-31,,-1179000000.0,,100000000.0,12000000.0,287000000.0,,7000000.0,181000000.0,153000000.0,1466000000.0,,-34000000.0,-606000000.0,770000000.0,,-34000000.0,-606000000.0,770000000.0,137000000.0,293000000.0,293000000.0,,9000000.0,,67000000.0,,-462000000.0,871000000.0,-355000000.0,-1191000000.0,,-4000000.0,-6000000.0
Kinder Morgan Inc,KMI,549300WR7IX8XE0TBO16,1506307,2011.0,FY,2011-01-01,2011-12-31,2014-02-21 17:55:15+00:00,-1179000000.0,,277000000.0,681000000.0,1099000000.0,0.0,-8000000.0,222000000.0,970000000.0,9572000000.0,,-57000000.0,-2392000000.0,2366000000.0,,-57000000.0,-2392000000.0,2366000000.0,-91000000.0,660000000.0,660000000.0,,385000000.0,,99000000.0,,-1726000000.0,-371000000.0,-1200000000.0,-8873000000.0,0.0,236000000.0,23000000.0
Kinder Morgan Inc,KMI,549300WR7IX8XE0TBO16,1506307,2011.0,Q3YTD,2011-01-01,2011-09-30,2012-11-14 14:18:25+00:00,0.0,,177000000.0,669000000.0,812000000.0,,-15000000.0,41000000.0,817000000.0,8106000000.0,,-23000000.0,-1786000000.0,1596000000.0,,-23000000.0,-1786000000.0,1596000000.0,-228000000.0,367000000.0,367000000.0,,376000000.0,0.0,32000000.0,,-1264000000.0,-1242000000.0,-845000000.0,-7682000000.0,0.0,240000000.0,29000000.0
Kinder Morgan Inc,KMI,549300WR7IX8XE0TBO16,1506307,2011.0,Q3TTM,2010-10-01,2011-09-30,,-44900000.0,,180800000.0,689900000.0,1079000000.0,,-14000000.0,326500000.0,0.0,0.0,,,-2175200000.0,2289900000.0,600000.0,-23300000.0,-2175200000.0,2290500000.0,78000000.0,534000000.0,533600000.0,400000.0,350800000.0,0.0,-12700000.0,,0.0,-1327000000.0,-1124200000.0,0.0,,277100000.0,56500000.0
Kinder Morgan Inc,KMI,549300WR7IX8XE0TBO16,1506307,2011.0,Q3,2011-07-01,2011-09-30,,,,16000000.0,329000000.0,289000000.0,,-18000000.0,-13000000.0,108000000.0,6644000000.0,,563000000.0,-1267000000.0,642000000.0,,563000000.0,-1267000000.0,642000000.0,-80000000.0,84000000.0,84000000.0,,282000000.0,126000000.0,-11000000.0,,-457000000.0,-1072000000.0,-305000000.0,-5858000000.0,,109000000.0,12000000.0
Kinder Morgan Inc,KMI,549300WR7IX8XE0TBO16,1506307,2011.0,Q2TTM,2010-07-01,2011-06-30,,-69900000.0,,170200000.0,666000000.0,1053100000.0,,5800000.0,319800000.0,1034800000.0,5554500000.0,,-801500000.0,-1124800000.0,2131400000.0,300000.0,-802800000.0,-1124800000.0,2131700000.0,209900000.0,502600000.0,502800000.0,-200000.0,256100000.0,-133300000.0,17500000.0,,-1625700000.0,-274700000.0,-1087300000.0,-5631800000.0,,246100000.0,43500000.0
Kinder Morgan Inc,KMI,549300WR7IX8XE0TBO16,1506307,2011.0,Q2,2011-04-01,2011-06-30,,66000000.0,,160000000.0,15000000.0,266000000.0,,1000000.0,-37000000.0,628000000.0,660000000.0,,-16000000.0,-292000000.0,471000000.0,,-16000000.0,-292000000.0,471000000.0,164000000.0,82000000.0,82000000.0,,160000000.0,-344000000.0,43000000.0,,-332000000.0,-147000000.0,-270000000.0,-628000000.0,,,16000000.0
