company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,cashdividendspershare,dilutedeps,impairmentexpense,incometaxexpense,netincome,netincomecontinuing,netincometocommon,operatingcostofrevenue,operatingrevenue,otheradjustmentstoconsolidatednetincome,othergains,otherincome,otherspecialcharges,restructuringcharge,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
McCormick & Company Inc,MKC,549300JQQA6MQ4OJP259,63754,2008.0,FY,2007-12-01,2008-11-30,2011-01-26 17:39:36+00:00,1.98,1.98,,1.94,29000000.0,100600000.0,255800000.0,255800000.0,255800000.0,1888400000.0,3176600000.0,,18600000.0,18000000.0,,12100000.0,870600000.0,1888400000.0,1288200000.0,56700000.0,911700000.0,376500000.0,-38700000.0,337800000.0,3176600000.0,129200000.0,129200000.0,131900000.0
McCormick & Company Inc,MKC,549300JQQA6MQ4OJP259,63754,2009.0,FY,2008-12-01,2009-11-30,2012-01-27 10:06:33+00:00,2.29,2.29,0.96,2.27,,133000000.0,299800000.0,299800000.0,299800000.0,1864900000.0,3192100000.0,,16300000.0,2400000.0,,13700000.0,846600000.0,1864900000.0,1327200000.0,52800000.0,860300000.0,466900000.0,-50400000.0,416500000.0,3192100000.0,130800000.0,130800000.0,130800000.0
McCormick & Company Inc,MKC,549300JQQA6MQ4OJP259,63754,2009.0,Q3,2009-06-01,2009-08-31,2010-10-01 06:16:16+00:00,0.57,0.57,0.24,0.57,,32100000.0,75100000.0,75100000.0,75100000.0,472700000.0,791700000.0,,3100000.0,300000.0,,900000.0,201500000.0,472700000.0,319000000.0,12800000.0,202400000.0,116600000.0,-12500000.0,104100000.0,791700000.0,131800000.0,130900000.0,132400000.0
McCormick & Company Inc,MKC,549300JQQA6MQ4OJP259,63754,2010.0,Q4,2010-09-01,2010-11-30,,1.01,1.01,0.26,0.99,,46500000.0,133700000.0,133700000.0,133700000.0,533400000.0,979400000.0,,5900000.0,1100000.0,,,260500000.0,533400000.0,446000000.0,12300000.0,260500000.0,185500000.0,-11200000.0,174300000.0,979400000.0,132900000.0,132900000.0,132900000.0
McCormick & Company Inc,MKC,549300JQQA6MQ4OJP259,63754,2010.0,FY,2009-12-01,2010-11-30,2013-01-25 08:41:19+00:00,2.79,2.79,1.04,2.75,,118000000.0,370200000.0,370200000.0,370200000.0,1919100000.0,3336800000.0,,25500000.0,2200000.0,,,907900000.0,1919100000.0,1417700000.0,49300000.0,907900000.0,509800000.0,-47100000.0,462700000.0,3336800000.0,132900000.0,132900000.0,132900000.0
McCormick & Company Inc,MKC,549300JQQA6MQ4OJP259,63754,2010.0,Q3YTD,2009-12-01,2010-08-31,,1.78,1.78,0.78,1.76,,71500000.0,236500000.0,236500000.0,236500000.0,1385700000.0,2357400000.0,,19600000.0,1100000.0,,,647400000.0,1385700000.0,971700000.0,37000000.0,647400000.0,324300000.0,-35900000.0,288400000.0,2357400000.0,133000000.0,133300000.0,134900000.0
McCormick & Company Inc,MKC,549300JQQA6MQ4OJP259,63754,2010.0,Q3,2010-06-01,2010-08-31,2011-10-06 17:31:58+00:00,0.77,0.77,0.26,0.76,,18300000.0,102400000.0,102400000.0,102400000.0,459800000.0,794600000.0,,6600000.0,500000.0,,,208800000.0,459800000.0,334800000.0,12400000.0,208800000.0,126000000.0,-11900000.0,114100000.0,794600000.0,133000000.0,133300000.0,134900000.0
McCormick & Company Inc,MKC,549300JQQA6MQ4OJP259,63754,2010.0,Q2YTD,2009-12-01,2010-05-31,,1.01,1.01,0.52,1.0,,53200000.0,134100000.0,134100000.0,134100000.0,925900000.0,1562800000.0,,13000000.0,600000.0,,,438600000.0,925900000.0,636900000.0,24600000.0,438600000.0,198300000.0,-24000000.0,174300000.0,1562800000.0,132400000.0,133100000.0,134800000.0
McCormick & Company Inc,MKC,549300JQQA6MQ4OJP259,63754,2010.0,Q2,2010-03-01,2010-05-31,2011-07-01 10:38:36+00:00,0.5,0.5,0.26,0.49,,25700000.0,66200000.0,66200000.0,66200000.0,471600000.0,798300000.0,,6700000.0,0.0,,,229200000.0,471600000.0,326700000.0,12300000.0,229200000.0,97500000.0,-12300000.0,85200000.0,798300000.0,132400000.0,133100000.0,134800000.0
McCormick & Company Inc,MKC,549300JQQA6MQ4OJP259,63754,2010.0,Q1,2009-12-01,2010-02-28,2011-04-01 10:56:32+00:00,0.51,0.51,0.26,0.51,,27500000.0,67900000.0,67900000.0,67900000.0,454300000.0,764500000.0,,6300000.0,600000.0,,,209400000.0,454300000.0,310200000.0,12300000.0,209400000.0,100800000.0,-11700000.0,89100000.0,764500000.0,133100000.0,132300000.0,134000000.0
McCormick & Company Inc,MKC,549300JQQA6MQ4OJP259,63754,2011.0,Q4,2011-09-01,2011-11-30,,0.99,0.99,0.28,0.98,,51000000.0,131800000.0,137900000.0,131800000.0,631600000.0,1110700000.0,-6100000.0,10700000.0,-200000.0,,,287100000.0,631600000.0,479100000.0,13600000.0,287100000.0,192000000.0,-13800000.0,178200000.0,1110700000.0,132700000.0,132700000.0,132700000.0
McCormick & Company Inc,MKC,549300JQQA6MQ4OJP259,63754,2011.0,FY,2010-12-01,2011-11-30,2014-01-29 12:37:52+00:00,2.82,2.82,1.12,2.79,,142600000.0,374200000.0,374200000.0,374200000.0,2175100000.0,3697600000.0,,25400000.0,2300000.0,0.0,,982200000.0,2175100000.0,1522500000.0,51200000.0,982200000.0,540300000.0,-48900000.0,491400000.0,3697600000.0,132700000.0,132700000.0,132700000.0
McCormick & Company Inc,MKC,549300JQQA6MQ4OJP259,63754,2011.0,Q3YTD,2010-12-01,2011-08-31,,1.83,1.83,0.84,1.81,,91600000.0,242400000.0,236300000.0,242400000.0,1543500000.0,2586900000.0,6100000.0,14700000.0,2500000.0,,,695100000.0,1543500000.0,1043400000.0,37600000.0,695100000.0,348300000.0,-35100000.0,313200000.0,2586900000.0,133300000.0,132600000.0,134100000.0
McCormick & Company Inc,MKC,549300JQQA6MQ4OJP259,63754,2011.0,Q3TTM,2010-09-01,2011-08-31,,2.84,2.84,1.1,2.8,,138100000.0,376100000.0,370000000.0,376100000.0,2076900000.0,3566300000.0,6100000.0,20600000.0,3600000.0,,,955600000.0,2076900000.0,1489400000.0,49900000.0,955600000.0,533800000.0,-46300000.0,487500000.0,3566300000.0,133300000.0,132600000.0,134100000.0
