company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,accountspayable,accountsreceivable,accruedexpenses,accumulateddepreciation,aoci,cashandequivalents,commonequity,goodwill,grossppe,intangibleassets,longtermdebt,longterminvestments,netinventory,netppe,noncontrollinginterests,noncurrentdeferredtaxliabilities,othernoncurrentliabilities,prepaidexpenses,retainedearnings,shorttermdebt,totalassets,totalcommonequity,totalcurrentassets,totalcurrentliabilities,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalnoncurrentassets,totalnoncurrentliabilities
McCormick & Company Inc,MKC,549300JQQA6MQ4OJP259,63754,2009.0,FY,,2009-11-30,2011-01-26 17:39:36+00:00,298700000.0,365300000.0,403400000.0,,109100000.0,39500000.0,634000000.0,1479700000.0,,237300000.0,875000000.0,210500000.0,457600000.0,489800000.0,8900000.0,,351100000.0,108100000.0,591500000.0,116100000.0,3387800000.0,1334600000.0,970500000.0,818200000.0,1334600000.0,1343500000.0,2044300000.0,3387800000.0,1927500000.0,1226100000.0
McCormick & Company Inc,MKC,549300JQQA6MQ4OJP259,63754,2009.0,Q3,,2009-08-31,2010-10-01 06:16:16+00:00,238500000.0,328600000.0,327200000.0,630100000.0,181200000.0,27900000.0,608200000.0,1450200000.0,1102800000.0,235700000.0,870900000.0,227400000.0,447400000.0,472700000.0,8600000.0,,240900000.0,116500000.0,542300000.0,288600000.0,3306400000.0,1331700000.0,920400000.0,854300000.0,1331700000.0,1340300000.0,1966100000.0,3306400000.0,1913300000.0,1111800000.0
McCormick & Company Inc,MKC,549300JQQA6MQ4OJP259,63754,2010.0,FY,,2010-11-30,2012-01-27 10:06:33+00:00,302700000.0,386700000.0,431700000.0,,-3700000.0,50800000.0,756500000.0,1417400000.0,,232500000.0,779900000.0,265900000.0,477600000.0,488000000.0,9000000.0,,342300000.0,100800000.0,700900000.0,100400000.0,3419700000.0,1453700000.0,1015900000.0,834800000.0,1453700000.0,1462700000.0,1957000000.0,3419700000.0,1915800000.0,1122200000.0
McCormick & Company Inc,MKC,549300JQQA6MQ4OJP259,63754,2010.0,Q3,,2010-08-31,2011-10-06 17:31:58+00:00,267200000.0,319700000.0,333600000.0,654400000.0,-37000000.0,23600000.0,700400000.0,1392100000.0,1119200000.0,231900000.0,779500000.0,220300000.0,494400000.0,464800000.0,8800000.0,,304900000.0,117900000.0,709600000.0,197700000.0,3264700000.0,1373000000.0,955600000.0,798500000.0,1373000000.0,1381800000.0,1882900000.0,3264700000.0,1844300000.0,1084400000.0
McCormick & Company Inc,MKC,549300JQQA6MQ4OJP259,63754,2010.0,Q2,,2010-05-31,2011-07-01 10:38:36+00:00,266000000.0,310800000.0,313800000.0,626200000.0,-76700000.0,23100000.0,685700000.0,1372600000.0,1090100000.0,231900000.0,874600000.0,216200000.0,456300000.0,463900000.0,8300000.0,,321100000.0,117600000.0,670100000.0,129500000.0,3192400000.0,1279100000.0,907800000.0,709300000.0,1279100000.0,1287400000.0,1905000000.0,3192400000.0,1820700000.0,1195700000.0
McCormick & Company Inc,MKC,549300JQQA6MQ4OJP259,63754,2010.0,Q1,,2010-02-28,2011-04-01 10:56:32+00:00,254800000.0,325300000.0,316300000.0,626600000.0,13000000.0,21900000.0,656000000.0,1424100000.0,1096300000.0,234500000.0,872300000.0,215300000.0,448500000.0,469700000.0,9200000.0,,326000000.0,106100000.0,653400000.0,144400000.0,3245400000.0,1322400000.0,901800000.0,715500000.0,1322400000.0,1331600000.0,1913800000.0,3245400000.0,1873900000.0,1198300000.0
McCormick & Company Inc,MKC,549300JQQA6MQ4OJP259,63754,2011.0,FY,,2011-11-30,2013-01-25 08:41:19+00:00,366600000.0,427000000.0,404300000.0,,-59000000.0,53900000.0,821900000.0,1694200000.0,,350000000.0,1029700000.0,297600000.0,613700000.0,523100000.0,16800000.0,,446300000.0,128300000.0,838800000.0,222400000.0,4087800000.0,1601700000.0,1222900000.0,993300000.0,1601700000.0,1618500000.0,2469300000.0,4087800000.0,2341800000.0,1476000000.0
McCormick & Company Inc,MKC,549300JQQA6MQ4OJP259,63754,2011.0,Q3,,2011-08-31,2012-09-28 09:27:19+00:00,303200000.0,391700000.0,336000000.0,746700000.0,118800000.0,52200000.0,806800000.0,1511200000.0,1244300000.0,236000000.0,1031700000.0,306500000.0,600300000.0,497600000.0,9100000.0,,323000000.0,119100000.0,785700000.0,300000.0,3714600000.0,1711300000.0,1163300000.0,639500000.0,1711300000.0,1720400000.0,1994200000.0,3714600000.0,2053700000.0,1354700000.0
McCormick & Company Inc,MKC,549300JQQA6MQ4OJP259,63754,2011.0,Q2,,2011-05-31,2012-07-02 11:52:47+00:00,301800000.0,342600000.0,336200000.0,734000000.0,112400000.0,47900000.0,787800000.0,1480300000.0,1228800000.0,234700000.0,781200000.0,300000000.0,577300000.0,494800000.0,9200000.0,,319600000.0,111800000.0,732700000.0,208500000.0,3589400000.0,1632900000.0,1079600000.0,846500000.0,1632900000.0,1642100000.0,1947300000.0,3589400000.0,2015000000.0,1100800000.0
McCormick & Company Inc,MKC,549300JQQA6MQ4OJP259,63754,2011.0,Q1,,2011-02-28,2012-04-02 09:50:43+00:00,286800000.0,326800000.0,325400000.0,707600000.0,64100000.0,40600000.0,772000000.0,1455100000.0,1199000000.0,234100000.0,775700000.0,281400000.0,544900000.0,491400000.0,9100000.0,,318700000.0,103300000.0,731300000.0,194500000.0,3477600000.0,1567400000.0,1015600000.0,806700000.0,1567400000.0,1576500000.0,1901100000.0,3477600000.0,1970600000.0,1094400000.0
