company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,depreciationexpense,divestitures,effectofexchangeratechanges,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,paymentofdividends,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,saleofplantpropertyandequipment
McCormick & Company Inc,MKC,549300JQQA6MQ4OJP259,63754,2008.0,FY,2007-12-01,2008-11-30,2011-01-26 17:39:36+00:00,-693300000.0,85600000.0,14000000.0,-8000000.0,-45900000.0,,659500000.0,433400000.0,-747000000.0,314600000.0,433400000.0,-747000000.0,314600000.0,-7000000.0,255800000.0,255800000.0,19100000.0,48800000.0,,-113500000.0,-85800000.0,-150400000.0,-11000000.0,18100000.0
McCormick & Company Inc,MKC,549300JQQA6MQ4OJP259,63754,2009.0,Q4,2009-09-01,2009-11-30,,,24700000.0,,1500000.0,82200000.0,,,-182100000.0,-28500000.0,220700000.0,-182100000.0,-28500000.0,220700000.0,11600000.0,116300000.0,116300000.0,-2500000.0,22100000.0,,-31400000.0,-28600000.0,-172800000.0,,100000.0
McCormick & Company Inc,MKC,549300JQQA6MQ4OJP259,63754,2009.0,FY,2008-12-01,2009-11-30,2012-01-27 10:06:33+00:00,,94300000.0,,8400000.0,14100000.0,,,-341800000.0,-81800000.0,415800000.0,-341800000.0,-81800000.0,415800000.0,600000.0,299800000.0,299800000.0,7600000.0,35800000.0,,-125400000.0,-82400000.0,-252200000.0,,600000.0
McCormick & Company Inc,MKC,549300JQQA6MQ4OJP259,63754,2009.0,Q3YTD,2008-12-01,2009-08-31,2010-10-01 06:16:16+00:00,,69600000.0,,6900000.0,-68100000.0,,,-159700000.0,-53300000.0,195100000.0,-159700000.0,-53300000.0,195100000.0,-11000000.0,183500000.0,183500000.0,10100000.0,13700000.0,,-94000000.0,-53800000.0,-79400000.0,0.0,500000.0
McCormick & Company Inc,MKC,549300JQQA6MQ4OJP259,63754,2010.0,Q4,2010-09-01,2010-11-30,,-46900000.0,25000000.0,,16600000.0,78100000.0,,,-148400000.0,-83300000.0,242300000.0,-148400000.0,-83300000.0,242300000.0,27200000.0,133700000.0,133700000.0,5500000.0,27700000.0,,-34500000.0,-36500000.0,-97300000.0,-44300000.0,100000.0
McCormick & Company Inc,MKC,549300JQQA6MQ4OJP259,63754,2010.0,FY,2009-12-01,2010-11-30,2013-01-25 08:41:19+00:00,-46900000.0,95100000.0,,14600000.0,-82100000.0,,0.0,-261100000.0,-129700000.0,387500000.0,-261100000.0,-129700000.0,387500000.0,11300000.0,370200000.0,370200000.0,4300000.0,73600000.0,,-138200000.0,-89000000.0,-114000000.0,-82500000.0,6200000.0
McCormick & Company Inc,MKC,549300JQQA6MQ4OJP259,63754,2010.0,Q3TTM,2009-09-01,2010-08-31,,,94800000.0,,-500000.0,-78000000.0,,,-294800000.0,-74900000.0,365900000.0,-294800000.0,-74900000.0,365900000.0,-4300000.0,352800000.0,352800000.0,-3700000.0,68000000.0,,-135100000.0,-81100000.0,-189500000.0,-38200000.0,6200000.0
McCormick & Company Inc,MKC,549300JQQA6MQ4OJP259,63754,2010.0,Q3,2010-06-01,2010-08-31,,,24200000.0,,15600000.0,-43200000.0,,-28100000.0,-80900000.0,-14200000.0,80000000.0,-80900000.0,-14200000.0,80000000.0,500000.0,102300000.0,102300000.0,-3300000.0,16200000.0,,-34700000.0,-20100000.0,-2500000.0,-31800000.0,5900000.0
McCormick & Company Inc,MKC,549300JQQA6MQ4OJP259,63754,2010.0,Q3YTD,2009-12-01,2010-08-31,2011-10-06 17:31:58+00:00,0.0,70100000.0,,-2000000.0,-160200000.0,,0.0,-112700000.0,-46400000.0,145200000.0,-112700000.0,-46400000.0,145200000.0,-15900000.0,236500000.0,236500000.0,-1200000.0,45900000.0,,-103700000.0,-52500000.0,-16700000.0,-38200000.0,6100000.0
McCormick & Company Inc,MKC,549300JQQA6MQ4OJP259,63754,2010.0,Q2,2010-03-01,2010-05-31,,,22800000.0,,-5500000.0,-24400000.0,,-800000.0,-40200000.0,-23400000.0,70300000.0,-40200000.0,-23400000.0,70300000.0,1200000.0,66300000.0,66300000.0,5600000.0,15700000.0,,-34600000.0,-23400000.0,-14100000.0,-6400000.0,
McCormick & Company Inc,MKC,549300JQQA6MQ4OJP259,63754,2010.0,Q2YTD,2009-12-01,2010-05-31,2011-07-01 10:38:36+00:00,,45900000.0,,-17600000.0,-117000000.0,,28100000.0,-31800000.0,-32200000.0,65200000.0,-31800000.0,-32200000.0,65200000.0,-16400000.0,134200000.0,134200000.0,2100000.0,29700000.0,,-69000000.0,-32400000.0,-14200000.0,-6400000.0,200000.0
