company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,cashdividendspershare,dilutedeps,impairmentexpense,incometaxexpense,netincome,netincomecontinuing,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totalinterestincome,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Nucor Corp,NUE,549300GGJCRSI2TIEJ46,73309,2007.0,FY,2007-01-01,2007-12-31,2010-02-25 16:15:59+00:00,4.96,4.96,2.44,4.94,0.0,781368000.0,1765448000.0,1765448000.0,1471947000.0,293501000.0,13462927000.0,16592976000.0,553146000.0,13462927000.0,3130049000.0,5469000.0,-24618000.0,553146000.0,2576903000.0,-30087000.0,2546816000.0,16592976000.0,296800000.0,296800000.0,298000000.0
Nucor Corp,NUE,549300GGJCRSI2TIEJ46,73309,2008.0,FY,2008-01-01,2008-12-31,2011-02-28 13:52:14+00:00,5.99,5.99,1.91,5.98,105183000.0,959480000.0,2144911000.0,2144911000.0,1830990000.0,313921000.0,19612283000.0,23663324000.0,714064000.0,19612283000.0,4051041000.0,90483000.0,-36920000.0,819247000.0,3231794000.0,-127403000.0,3104391000.0,23663324000.0,304525000.0,304525000.0,304525000.0
Nucor Corp,NUE,549300GGJCRSI2TIEJ46,73309,2008.0,Q3,2008-06-29,2008-09-27,2009-11-10 10:52:03+00:00,2.31,2.31,0.52,2.31,,407525000.0,810803000.0,810803000.0,734590000.0,76213000.0,5990407000.0,7447520000.0,215755000.0,5990407000.0,1457113000.0,23030000.0,,215755000.0,1241358000.0,-23030000.0,1218328000.0,7447520000.0,318000000.0,316713000.0,317013000.0
Nucor Corp,NUE,549300GGJCRSI2TIEJ46,73309,2008.0,Q2,2008-03-30,2008-06-28,2009-08-11 11:16:49+00:00,1.94,1.94,0.52,1.94,,295348000.0,668690000.0,668690000.0,580754000.0,87936000.0,5879655000.0,7090599000.0,220172000.0,5879655000.0,1210944000.0,26734000.0,,220172000.0,990772000.0,-26734000.0,964038000.0,7090599000.0,299400000.0,298262000.0,298668000.0
Nucor Corp,NUE,549300GGJCRSI2TIEJ46,73309,2009.0,Q4,2009-10-04,2009-12-31,,0.19,0.19,0.36,0.19,,3583000.0,86427000.0,86427000.0,58907000.0,27520000.0,2716824000.0,2937944000.0,82495000.0,2716824000.0,221120000.0,35705000.0,-12910000.0,82495000.0,138625000.0,-48615000.0,90010000.0,2937944000.0,314873000.0,314873000.0,314873000.0
Nucor Corp,NUE,549300GGJCRSI2TIEJ46,73309,2009.0,FY,2009-01-01,2009-12-31,2012-02-28 11:36:31+00:00,-0.94,-0.94,1.41,-0.94,,-176800000.0,-237178000.0,-237178000.0,-293613000.0,56435000.0,11035903000.0,11190296000.0,351278000.0,11035903000.0,154393000.0,134752000.0,-82341000.0,351278000.0,-196885000.0,-217093000.0,-413978000.0,11190296000.0,314873000.0,314873000.0,314873000.0
Nucor Corp,NUE,549300GGJCRSI2TIEJ46,73309,2009.0,Q3YTD,2009-01-01,2009-10-03,,-1.13,-1.13,1.05,-1.13,,-180383000.0,-323605000.0,-323605000.0,-352520000.0,28915000.0,8319079000.0,8252352000.0,268783000.0,8319079000.0,-66727000.0,99047000.0,-69431000.0,268783000.0,-335510000.0,-168478000.0,-503988000.0,8252352000.0,295400000.0,315173000.0,315173000.0
Nucor Corp,NUE,549300GGJCRSI2TIEJ46,73309,2009.0,Q3,2009-07-05,2009-10-03,2010-11-10 08:28:17+00:00,-0.1,-0.1,0.35,-0.1,,-16173000.0,-5311000.0,-5311000.0,-29538000.0,24227000.0,3000851000.0,3120005000.0,96280000.0,3000851000.0,119154000.0,34725000.0,-9633000.0,96280000.0,22874000.0,-44358000.0,-21484000.0,3120005000.0,295400000.0,315173000.0,315173000.0
Nucor Corp,NUE,549300GGJCRSI2TIEJ46,73309,2009.0,Q2YTD,2009-01-01,2009-07-04,,-1.03,-1.03,0.7,-1.03,,-164210000.0,-318294000.0,-318294000.0,-322982000.0,4688000.0,5318228000.0,5132347000.0,172503000.0,5318228000.0,-185881000.0,64322000.0,-59798000.0,172503000.0,-358384000.0,-124120000.0,-482504000.0,5132347000.0,310100000.0,314752000.0,314752000.0
Nucor Corp,NUE,549300GGJCRSI2TIEJ46,73309,2009.0,Q2,2009-04-05,2009-07-04,2010-08-11 17:12:01+00:00,-0.43,-0.43,0.35,-0.43,,-72989000.0,-127769000.0,-127769000.0,-133337000.0,5568000.0,2539904000.0,2478028000.0,85124000.0,2539904000.0,-61876000.0,31957000.0,-21801000.0,85124000.0,-147000000.0,-53758000.0,-200758000.0,2478028000.0,310100000.0,314752000.0,314752000.0
