company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,accountspayable,accountsreceivable,accruedexpenses,aoci,cashandequivalents,commitmentsandcontingencies,commonequity,currentdeferredtaxliabilities,currentemployeebenefitliabilities,goodwill,intangibleassets,longtermdebt,longterminvestments,netinventory,netppe,noncontrollinginterests,noncurrentdeferredtaxliabilities,othercurrentassets,othernoncurrentassets,othernoncurrentnonoperatingassets,retainedearnings,shorttermdebt,shortterminvestments,totalassets,totalcommonequity,totalcurrentassets,totalcurrentliabilities,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalnoncurrentassets,totalnoncurrentliabilities,treasurystock
Nucor Corp,NUE,549300GGJCRSI2TIEJ46,73309,2008.0,FY,,2008-12-31,2010-02-25 16:15:59+00:00,534161000.0,1228807000.0,351875000.0,-190262000.0,2355130000.0,,1779609000.0,199044000.0,580090000.0,1732045000.0,946545000.0,3086200000.0,,2408157000.0,4131861000.0,327477000.0,677370000.0,405392000.0,666506000.0,,7860629000.0,189022000.0,0.0,13874443000.0,7929204000.0,6397486000.0,1854192000.0,7929204000.0,8256681000.0,5617762000.0,13874443000.0,3345096000.0,3763570000.0,-1520772000.0
Nucor Corp,NUE,549300GGJCRSI2TIEJ46,73309,2009.0,FY,,2009-12-31,2011-02-28 13:52:14+00:00,707038000.0,1116035000.0,357274000.0,-41056000.0,2016981000.0,,1825654000.0,,154997000.0,1803021000.0,902922000.0,3080200000.0,,1312903000.0,4013836000.0,193763000.0,680358000.0,511329000.0,669877000.0,,7120218000.0,7748000.0,225000000.0,12571904000.0,7390526000.0,5182248000.0,1227057000.0,7390526000.0,7584289000.0,4987615000.0,12571904000.0,3375820000.0,3760558000.0,-1514290000.0
Nucor Corp,NUE,549300GGJCRSI2TIEJ46,73309,2009.0,Q3,,2009-10-03,2009-11-10 10:52:03+00:00,749246000.0,1156510000.0,351965000.0,-63295000.0,1957671000.0,,1815725000.0,0.0,207912000.0,1794761000.0,915993000.0,3086200000.0,,1310114000.0,4071229000.0,170467000.0,687341000.0,514785000.0,685477000.0,,7175488000.0,3428000.0,263472000.0,12670012000.0,7413453000.0,5202552000.0,1312551000.0,7413453000.0,7583920000.0,5086092000.0,12670012000.0,3396231000.0,3773541000.0,-1514465000.0
Nucor Corp,NUE,549300GGJCRSI2TIEJ46,73309,2009.0,Q2,,2009-07-04,2009-08-11 11:16:49+00:00,413347000.0,960226000.0,343492000.0,-151203000.0,2060203000.0,,1805062000.0,0.0,181006000.0,1776207000.0,922340000.0,3086200000.0,,1268200000.0,4117542000.0,249026000.0,671416000.0,502810000.0,667130000.0,,7316054000.0,11342000.0,136389000.0,12411047000.0,7455218000.0,4927828000.0,949187000.0,7455218000.0,7704244000.0,4706803000.0,12411047000.0,3365677000.0,3757616000.0,-1514695000.0
Nucor Corp,NUE,549300GGJCRSI2TIEJ46,73309,2010.0,FY,,2010-12-31,2012-02-28 11:36:31+00:00,896703000.0,1439828000.0,387239000.0,-27776000.0,1325406000.0,0.0,1861699000.0,,207168000.0,1836294000.0,856125000.0,4280200000.0,598482000.0,1557574000.0,3852118000.0,210624000.0,806578000.0,384744000.0,917716000.0,,6795988000.0,13328000.0,1153623000.0,13921910000.0,7120070000.0,5861175000.0,1504438000.0,7120070000.0,7330694000.0,6591216000.0,13921910000.0,4208617000.0,5086778000.0,-1509841000.0
Nucor Corp,NUE,549300GGJCRSI2TIEJ46,73309,2010.0,Q3,,2010-10-02,2010-11-10 08:28:17+00:00,817785000.0,1468676000.0,420883000.0,-37356000.0,1850093000.0,,1852079000.0,,236505000.0,1831685000.0,870636000.0,3680200000.0,,1649605000.0,3847931000.0,203032000.0,672111000.0,636244000.0,949560000.0,,6922580000.0,3092000.0,156495000.0,13260925000.0,7227317000.0,5761113000.0,1478265000.0,7227317000.0,7430349000.0,5830576000.0,13260925000.0,3651881000.0,4352311000.0,-1509986000.0
Nucor Corp,NUE,549300GGJCRSI2TIEJ46,73309,2010.0,Q2,,2010-07-03,2010-08-11 17:12:01+00:00,887086000.0,1420731000.0,399368000.0,-98346000.0,801504000.0,,1841397000.0,,222904000.0,1828058000.0,886164000.0,3080200000.0,,1951732000.0,3903903000.0,208714000.0,640916000.0,672471000.0,883122000.0,,7013528000.0,2599000.0,340495000.0,12688180000.0,7246393000.0,5186933000.0,1511957000.0,7246393000.0,7455107000.0,5233073000.0,12688180000.0,3597344000.0,3721116000.0,-1510186000.0
Nucor Corp,NUE,549300GGJCRSI2TIEJ46,73309,2010.0,Q1,,2010-04-03,2010-05-11 15:13:07+00:00,941458000.0,1302316000.0,397738000.0,-58608000.0,1659589000.0,,1838193000.0,,186885000.0,1831294000.0,905143000.0,3080200000.0,,1624971000.0,3963467000.0,203706000.0,672004000.0,534415000.0,641012000.0,,7036907000.0,15075000.0,340495000.0,12802702000.0,7305636000.0,5461786000.0,1541156000.0,7305636000.0,7509342000.0,5293360000.0,12802702000.0,3377449000.0,3752204000.0,-1510856000.0
Nucor Corp,NUE,549300GGJCRSI2TIEJ46,73309,2011.0,FY,,2011-12-31,2013-02-28 16:41:59+00:00,958645000.0,1710773000.0,452247000.0,-38177000.0,1200645000.0,0.0,1907030000.0,,333341000.0,1830661000.0,784640000.0,3630200000.0,585833000.0,1987257000.0,3755604000.0,231695000.0,837511000.0,446765000.0,905531000.0,,7111566000.0,651826000.0,1362641000.0,14570350000.0,7474885000.0,6708081000.0,2396059000.0,7474885000.0,7706580000.0,6863770000.0,14570350000.0,4106665000.0,4467711000.0,-1505534000.0
Nucor Corp,NUE,549300GGJCRSI2TIEJ46,73309,2011.0,Q3,,2011-10-01,2011-11-09 13:28:10+00:00,1175195000.0,1838126000.0,480755000.0,-21599000.0,1101437000.0,,1899212000.0,,344511000.0,1830338000.0,802086000.0,3930200000.0,607721000.0,2188828000.0,3766643000.0,216445000.0,839799000.0,452954000.0,906581000.0,,7090836000.0,357624000.0,1312551000.0,14807265000.0,7462736000.0,6893896000.0,2358085000.0,7462736000.0,7679181000.0,7128084000.0,14807265000.0,4146726000.0,4769999000.0,-1505713000.0
