company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,cashdividendspershare,depreciationexpense,dilutedeps,incometaxexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,operatingcostofrevenue,operatingrevenue,otheradjustmentstoconsolidatednetincome,othergains,otherincome,otheroperatingexpenses,otherspecialcharges,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totalinterestincome,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Public Service Enterprise Group Inc,PEG,PUSS41EMO3E6XXNV3U28,788784,2007.0,FY,2007-01-01,2007-12-31,2010-02-25 15:10:11+00:00,2.63,2.63,1.17,774000000.0,2.62,1064000000.0,1335000000.0,1325000000.0,10000000.0,1335000000.0,8918000000.0,12677000000.0,,,206000000.0,139000000.0,,,8918000000.0,3759000000.0,727000000.0,64000000.0,913000000.0,2846000000.0,-457000000.0,2389000000.0,12677000000.0,507600000.0,507560000.0,508813000.0
Public Service Enterprise Group Inc,PEG,PUSS41EMO3E6XXNV3U28,788784,2008.0,FY,2008-01-01,2008-12-31,2011-02-25 15:45:24+00:00,2.34,2.34,1.29,775000000.0,2.34,888000000.0,1188000000.0,918000000.0,270000000.0,1188000000.0,9214000000.0,12609000000.0,,,108000000.0,136000000.0,,,9214000000.0,3395000000.0,566000000.0,-220000000.0,911000000.0,2484000000.0,-678000000.0,1806000000.0,12609000000.0,507700000.0,507693000.0,508427000.0
Public Service Enterprise Group Inc,PEG,PUSS41EMO3E6XXNV3U28,788784,2008.0,Q3,2008-07-01,2008-09-30,2009-10-30 17:24:17+00:00,1.29,1.29,0.3225,214000000.0,1.29,334000000.0,656000000.0,476000000.0,180000000.0,656000000.0,1899000000.0,3718000000.0,,,60000000.0,31000000.0,,609000000.0,1899000000.0,1819000000.0,149000000.0,-66000000.0,854000000.0,965000000.0,-155000000.0,810000000.0,3718000000.0,508500000.0,507724000.0,508326000.0
Public Service Enterprise Group Inc,PEG,PUSS41EMO3E6XXNV3U28,788784,2008.0,Q2,2008-04-01,2008-06-30,2009-07-31 20:31:39+00:00,-0.29,-0.29,0.3225,191000000.0,-0.29,213000000.0,-150000000.0,-166000000.0,16000000.0,-150000000.0,1535000000.0,2550000000.0,,,48000000.0,27000000.0,,620000000.0,1535000000.0,1015000000.0,146000000.0,-32000000.0,838000000.0,177000000.0,-130000000.0,47000000.0,2550000000.0,517200000.0,508491000.0,509487000.0
Public Service Enterprise Group Inc,PEG,PUSS41EMO3E6XXNV3U28,788784,2009.0,Q4,2009-10-01,2009-12-31,,0.69,0.69,0.33,185000000.0,0.69,161000000.0,349000000.0,351000000.0,-2000000.0,349000000.0,1669000000.0,2515000000.0,,,-3000000.0,33000000.0,,,1669000000.0,846000000.0,114000000.0,1000000.0,218000000.0,628000000.0,-116000000.0,512000000.0,2515000000.0,505400000.0,505986000.0,507064000.0
Public Service Enterprise Group Inc,PEG,PUSS41EMO3E6XXNV3U28,788784,2009.0,FY,2009-01-01,2009-12-31,2012-02-27 16:50:41+00:00,3.15,3.15,1.33,819000000.0,3.14,1042000000.0,1592000000.0,1594000000.0,-2000000.0,1592000000.0,7967000000.0,12035000000.0,,,102000000.0,133000000.0,,,7967000000.0,4068000000.0,521000000.0,-61000000.0,952000000.0,3116000000.0,-480000000.0,2636000000.0,12035000000.0,505400000.0,505986000.0,507064000.0
Public Service Enterprise Group Inc,PEG,PUSS41EMO3E6XXNV3U28,788784,2009.0,Q3,2009-07-01,2009-09-30,2010-10-29 17:04:22+00:00,0.96,0.96,0.3325,224000000.0,0.96,337000000.0,488000000.0,488000000.0,,488000000.0,1862000000.0,3040000000.0,,,30000000.0,30000000.0,,,1862000000.0,1178000000.0,129000000.0,0.0,254000000.0,924000000.0,-99000000.0,825000000.0,3040000000.0,508300000.0,505982000.0,507242000.0
Public Service Enterprise Group Inc,PEG,PUSS41EMO3E6XXNV3U28,788784,2009.0,Q3YTD,2009-01-01,2009-09-30,,2.46,2.46,1.0,634000000.0,2.46,881000000.0,1243000000.0,1243000000.0,,1243000000.0,6298000000.0,9520000000.0,,,105000000.0,100000000.0,,,6298000000.0,3222000000.0,407000000.0,-62000000.0,734000000.0,2488000000.0,-364000000.0,2124000000.0,9520000000.0,508300000.0,505982000.0,507242000.0
Public Service Enterprise Group Inc,PEG,PUSS41EMO3E6XXNV3U28,788784,2009.0,Q2,2009-04-01,2009-06-30,2010-08-23 16:11:16+00:00,0.61,0.61,0.3325,203000000.0,0.61,240000000.0,311000000.0,311000000.0,,311000000.0,1694000000.0,2560000000.0,,,48000000.0,26000000.0,,,1694000000.0,866000000.0,133000000.0,-1000000.0,229000000.0,637000000.0,-86000000.0,551000000.0,2560000000.0,509800000.0,505990000.0,506936000.0
Public Service Enterprise Group Inc,PEG,PUSS41EMO3E6XXNV3U28,788784,2009.0,Q2YTD,2009-01-01,2009-06-30,,1.49,1.49,0.66,410000000.0,1.49,544000000.0,755000000.0,755000000.0,,755000000.0,4436000000.0,6480000000.0,,,75000000.0,70000000.0,,,4436000000.0,2044000000.0,278000000.0,-62000000.0,480000000.0,1564000000.0,-265000000.0,1299000000.0,6480000000.0,509800000.0,505990000.0,506936000.0
