company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,amortizationexpense,cashincometaxespaid,cashinterestpaid,depreciationexpense,divestitures,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,issuanceofpreferredequity,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netchangeindeposits,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,paymentofdividends,provisionforloanlosses,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,repurchaseofpreferredequity,saleofinvestments,saleofplantpropertyandequipment
SunTrust Banks Inc,STI,7E1PDLW1JL6TS0BS1G03,750556,2007.0,FY,2007-01-01,2007-12-31,2010-02-23 11:20:01+00:00,,710492000.0,5277639000.0,802342000.0,0.0,1687041000.0,0.0,5197020000.0,0.0,-5922202000.0,2526223000.0,3730835000.0,-5922202000.0,2526223000.0,3730835000.0,334856000.0,-6172982000.0,1646739000.0,1646739000.0,-1088401000.0,-1482574000.0,,-1056869000.0,683114000.0,-37598900000.0,-186431000.0,-1553412000.0,-853385000.0,0.0,39547186000.0,764368000.0
SunTrust Banks Inc,STI,7E1PDLW1JL6TS0BS1G03,750556,2008.0,Q4,2008-10-01,2008-12-31,,,337000000.0,3868000000.0,195419000.0,4789000.0,250586000.0,,2995296000.0,4850000000.0,4917090000.0,-3235458000.0,385442000.0,4917090000.0,-3235458000.0,385442000.0,2067074000.0,-2579483000.0,-345254000.0,-345254000.0,-702436000.0,281128000.0,,-211829000.0,987127000.0,-7769370000.0,-80619000.0,-418022000.0,,,4609593000.0,149000.0
SunTrust Banks Inc,STI,7E1PDLW1JL6TS0BS1G03,750556,2008.0,Q3YTD,2008-01-01,2008-09-30,2009-11-03 18:32:09+00:00,,,,628581000.0,297211000.0,1028414000.0,0.0,4838704000.0,,-6054090000.0,1751458000.0,3230558000.0,-6054090000.0,1751458000.0,3230558000.0,-1072074000.0,-3409517000.0,1152254000.0,1152254000.0,-1143564000.0,-3046128000.0,,-830171000.0,1564873000.0,-9923630000.0,-141381000.0,-3606978000.0,,0.0,11230407000.0,288851000.0
SunTrust Banks Inc,STI,7E1PDLW1JL6TS0BS1G03,750556,2008.0,Q3,2008-07-01,2008-09-30,,,,,204178000.0,83096000.0,2574084000.0,,3679666000.0,,-2594465000.0,1045857000.0,611469000.0,-2594465000.0,1045857000.0,611469000.0,-937139000.0,-3699171000.0,315235000.0,315235000.0,-3008943000.0,-1693669000.0,,-277264000.0,526915000.0,-3701300000.0,-59518000.0,-604027000.0,,,4680004000.0,43575000.0
SunTrust Banks Inc,STI,7E1PDLW1JL6TS0BS1G03,750556,2008.0,Q2YTD,2008-01-01,2008-06-30,2009-08-07 21:27:37+00:00,,,,424403000.0,214115000.0,-1545670000.0,0.0,1159038000.0,,-3459625000.0,705601000.0,2619089000.0,-3459625000.0,705601000.0,2619089000.0,-134935000.0,289654000.0,837019000.0,837019000.0,1865379000.0,-1352459000.0,,-552907000.0,1037958000.0,-6222330000.0,-81863000.0,-3002951000.0,,0.0,6550403000.0,245276000.0
SunTrust Banks Inc,STI,7E1PDLW1JL6TS0BS1G03,750556,2009.0,FY,2009-01-01,2009-12-31,2012-02-24 17:04:46+00:00,77000000.0,-61000000.0,2367000000.0,966000000.0,,804000000.0,1830000000.0,575000000.0,0.0,-3766000000.0,1084000000.0,3042000000.0,-3766000000.0,1084000000.0,3042000000.0,360000000.0,8534000000.0,-1552000000.0,-1552000000.0,-1967000000.0,-4114000000.0,,-329000000.0,4714000000.0,-33904000000.0,-212000000.0,-10034000000.0,0.0,-228000000.0,35200000000.0,
SunTrust Banks Inc,STI,7E1PDLW1JL6TS0BS1G03,750556,2009.0,Q4,2009-10-01,2009-12-31,,77000000.0,-61000000.0,2367000000.0,243882000.0,,1600999000.0,265000.0,440000.0,,2202225000.0,-1689228000.0,1326668000.0,2202225000.0,-1689228000.0,1326668000.0,1839665000.0,2534915000.0,-245917000.0,-245917000.0,-1818878000.0,448726000.0,,-67685000.0,1469582000.0,-13633154000.0,-51326000.0,-714560000.0,,124000.0,11995252000.0,
SunTrust Banks Inc,STI,7E1PDLW1JL6TS0BS1G03,750556,2009.0,Q3YTD,2009-01-01,2009-09-30,2010-11-05 17:28:54+00:00,,,,722118000.0,,-796999000.0,1829735000.0,574560000.0,,-5968225000.0,2773228000.0,1715332000.0,-5968225000.0,2773228000.0,1715332000.0,-1479665000.0,5999085000.0,-1306083000.0,-1306083000.0,-148122000.0,-4562726000.0,,-261315000.0,3244418000.0,-20270846000.0,-160674000.0,-9319440000.0,,-228124000.0,23204748000.0,
SunTrust Banks Inc,STI,7E1PDLW1JL6TS0BS1G03,750556,2009.0,Q3TTM,2008-10-01,2009-09-30,,,337000000.0,3868000000.0,917537000.0,4789000.0,-546413000.0,1829735000.0,3569856000.0,4850000000.0,-1051135000.0,-462230000.0,2100774000.0,-1051135000.0,-462230000.0,2100774000.0,587409000.0,3419602000.0,-1651337000.0,-1651337000.0,-850558000.0,-4281598000.0,,-473144000.0,4231545000.0,-28040216000.0,-241293000.0,-9737462000.0,,-228124000.0,27814341000.0,149000.0
SunTrust Banks Inc,STI,7E1PDLW1JL6TS0BS1G03,750556,2010.0,FY,2010-01-01,2010-12-31,2013-02-27 16:19:32+00:00,66000000.0,468000000.0,1537000000.0,803000000.0,,1034000000.0,0.0,500000000.0,0.0,-5118000000.0,-719000000.0,4218000000.0,-5118000000.0,-719000000.0,4218000000.0,-1619000000.0,1182000000.0,206000000.0,206000000.0,-1178000000.0,-1295000000.0,,-259000000.0,3287000000.0,-25496000000.0,-252000000.0,-5246000000.0,0.0,0.0,25029000000.0,
