company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,accountspayable,accountsreceivable,accumulateddepreciation,aoci,assetretirementandlitigationobligation,capitalleaseobligations,cashandequivalents,commitmentsandcontingencies,commonequity,currentdeferredtaxassets,currentdeferredtaxliabilities,goodwill,grossppe,longtermdebt,netppe,noncontrollinginterests,noncurrentdeferredtaxliabilities,othercurrentassets,othercurrentliabilities,othercurrentnonoperatingassets,othercurrentnonoperatingliabilities,othernoncurrentassets,othernoncurrentliabilities,othernoncurrentnonoperatingassets,othernoncurrentnonoperatingliabilities,restrictedcash,retainedearnings,shorttermdebt,shortterminvestments,totalassets,totalcommonequity,totalcurrentassets,totalcurrentliabilities,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalnoncurrentassets,totalnoncurrentliabilities,treasurystock
Devon Energy Corp,DVN,54930042348RKR3ZPN35,1090012,2008.0,FY,,2008-12-31,2010-02-25 16:31:44+00:00,2102000000.0,1300000000.0,31360000000.0,383000000.0,1249000000.0,,195000000.0,,6301000000.0,,,5511000000.0,53391000000.0,5661000000.0,22031000000.0,,3614000000.0,797000000.0,488000000.0,392000000.0,365000000.0,554000000.0,1023000000.0,1128000000.0,166000000.0,,10376000000.0,180000000.0,,31908000000.0,17060000000.0,2684000000.0,3135000000.0,17060000000.0,17060000000.0,14848000000.0,31908000000.0,7193000000.0,11713000000.0,
Devon Energy Corp,DVN,54930042348RKR3ZPN35,1090012,2009.0,FY,,2009-12-31,2011-02-25 14:34:36+00:00,1623000000.0,1208000000.0,41708000000.0,1385000000.0,1418000000.0,,646000000.0,,6572000000.0,,,5930000000.0,60475000000.0,5847000000.0,18767000000.0,,1899000000.0,481000000.0,513000000.0,657000000.0,234000000.0,747000000.0,937000000.0,1250000000.0,213000000.0,,7613000000.0,1432000000.0,,29686000000.0,15570000000.0,2992000000.0,3802000000.0,15570000000.0,15570000000.0,14116000000.0,29686000000.0,7927000000.0,10314000000.0,
Devon Energy Corp,DVN,54930042348RKR3ZPN35,1090012,2009.0,Q3,,2009-09-30,2009-11-05 14:42:19+00:00,1481000000.0,1142000000.0,42503000000.0,1182000000.0,1511000000.0,,905000000.0,,6454000000.0,47000000.0,,5929000000.0,61375000000.0,5848000000.0,18872000000.0,,1709000000.0,515000000.0,417000000.0,,,731000000.0,977000000.0,,,,7017000000.0,1545000000.0,,28141000000.0,14653000000.0,2609000000.0,3443000000.0,14653000000.0,14653000000.0,13488000000.0,28141000000.0,6660000000.0,10045000000.0,
Devon Energy Corp,DVN,54930042348RKR3ZPN35,1090012,2009.0,Q2,,2009-06-30,2009-08-06 12:54:38+00:00,1451000000.0,1318000000.0,40999000000.0,686000000.0,1411000000.0,,648000000.0,,6407000000.0,27000000.0,,5710000000.0,59086000000.0,5849000000.0,18087000000.0,,1587000000.0,584000000.0,533000000.0,,,683000000.0,1036000000.0,,,,6589000000.0,1508000000.0,,27057000000.0,13682000000.0,2577000000.0,3492000000.0,13682000000.0,13682000000.0,13375000000.0,27057000000.0,6393000000.0,9883000000.0,
Devon Energy Corp,DVN,54930042348RKR3ZPN35,1090012,2010.0,FY,,2010-12-31,2012-02-24 10:22:00+00:00,1949000000.0,1202000000.0,44223000000.0,1760000000.0,1423000000.0,,2866000000.0,0.0,5644000000.0,,,6080000000.0,63875000000.0,3819000000.0,19652000000.0,,2756000000.0,779000000.0,518000000.0,563000000.0,305000000.0,781000000.0,1067000000.0,859000000.0,26000000.0,,11882000000.0,1811000000.0,145000000.0,32927000000.0,19319000000.0,5555000000.0,4583000000.0,19253000000.0,19253000000.0,13674000000.0,32927000000.0,7720000000.0,9091000000.0,33000000.0
Devon Energy Corp,DVN,54930042348RKR3ZPN35,1090012,2010.0,Q3,,2010-09-30,2010-11-04 17:01:17+00:00,1709000000.0,1028000000.0,43299000000.0,1512000000.0,1394000000.0,,3608000000.0,,5757000000.0,,,5977000000.0,61498000000.0,3821000000.0,18199000000.0,,2405000000.0,738000000.0,556000000.0,576000000.0,377000000.0,862000000.0,1072000000.0,875000000.0,69000000.0,,11390000000.0,1808000000.0,,31863000000.0,18666000000.0,5950000000.0,4450000000.0,18652000000.0,18652000000.0,13211000000.0,31863000000.0,7714000000.0,8761000000.0,7000000.0
Devon Energy Corp,DVN,54930042348RKR3ZPN35,1090012,2010.0,Q2,,2010-06-30,2010-08-06 12:04:37+00:00,1599000000.0,1205000000.0,42478000000.0,1296000000.0,1346000000.0,,2174000000.0,,6230000000.0,,,5892000000.0,59319000000.0,5571000000.0,16841000000.0,,1714000000.0,650000000.0,1202000000.0,1020000000.0,548000000.0,849000000.0,919000000.0,1340000000.0,189000000.0,,9369000000.0,53000000.0,,29971000000.0,16830000000.0,5049000000.0,3402000000.0,16830000000.0,16830000000.0,13141000000.0,29971000000.0,8081000000.0,9739000000.0,-65000000.0
Devon Energy Corp,DVN,54930042348RKR3ZPN35,1090012,2010.0,Q1,,2010-03-31,2010-05-06 11:47:28+00:00,1745000000.0,1296000000.0,42580000000.0,1600000000.0,1637000000.0,,724000000.0,,6622000000.0,,,6018000000.0,61392000000.0,5845000000.0,18812000000.0,,2003000000.0,997000000.0,820000000.0,731000000.0,303000000.0,690000000.0,921000000.0,1409000000.0,208000000.0,,8733000000.0,240000000.0,,30677000000.0,16955000000.0,3748000000.0,3108000000.0,16955000000.0,16955000000.0,13722000000.0,30677000000.0,8117000000.0,10614000000.0,
Devon Energy Corp,DVN,54930042348RKR3ZPN35,1090012,2011.0,FY,,2011-12-31,2013-02-21 12:19:56+00:00,2149000000.0,1379000000.0,46002000000.0,1575000000.0,1496000000.0,,5555000000.0,0.0,3547000000.0,,,6013000000.0,70776000000.0,5969000000.0,24774000000.0,,4763000000.0,868000000.0,778000000.0,,,1025000000.0,721000000.0,,,,16308000000.0,3811000000.0,1503000000.0,41117000000.0,21430000000.0,9305000000.0,6738000000.0,21430000000.0,21430000000.0,19687000000.0,41117000000.0,7038000000.0,12949000000.0,
Devon Energy Corp,DVN,54930042348RKR3ZPN35,1090012,2011.0,Q3,,2011-09-30,2011-11-02 17:26:08+00:00,2171000000.0,1430000000.0,45000000000.0,1412000000.0,1460000000.0,,5618000000.0,0.0,3868000000.0,,,5951000000.0,68170000000.0,5969000000.0,23170000000.0,,4809000000.0,1302000000.0,522000000.0,26000000.0,50000000.0,1027000000.0,493000000.0,111000000.0,2000000.0,,15870000000.0,3288000000.0,1231000000.0,39866000000.0,21198000000.0,9607000000.0,6031000000.0,21102000000.0,21102000000.0,18764000000.0,39866000000.0,7089000000.0,12733000000.0,48000000.0
