company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,amortizationexpense,basicdilutedeps,basiceps,cashdividendspershare,dilutedeps,incometaxexpense,longtermdebtinterestexpense,netincome,netincomecontinuing,netincometocommon,netinterestincome,netrealizedcapitalgains,otherinterestexpense,othernoninterestincome,otheroperatingexpenses,otherservicechargeincome,premiumsearned,propertyliabilityinsuranceclaims,totalinterestexpense,totalnoninterestexpense,totalnoninterestincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Travelers Companies Inc,TRV,549300Y650407RU8B149,86312,2007.0,FY,2007-01-01,2007-12-31,2010-02-18 06:26:00+00:00,3706000000.0,7.0,7.0,,6.85,1615000000.0,346000000.0,4601000000.0,4601000000.0,4601000000.0,-346000000.0,3915000000.0,,,3352000000.0,632000000.0,21470000000.0,12397000000.0,346000000.0,19455000000.0,26017000000.0,6216000000.0,25671000000.0,657300000.0,652000000.0,668600000.0
Travelers Companies Inc,TRV,549300Y650407RU8B149,86312,2008.0,FY,2008-01-01,2008-12-31,2010-02-18 06:26:00+00:00,3880000000.0,4.87,4.87,,4.81,792000000.0,370000000.0,2924000000.0,2924000000.0,2924000000.0,-370000000.0,2377000000.0,,,3518000000.0,521000000.0,21579000000.0,12993000000.0,370000000.0,20391000000.0,24477000000.0,3716000000.0,24107000000.0,600400000.0,595900000.0,604300000.0
Travelers Companies Inc,TRV,549300Y650407RU8B149,86312,2008.0,Q3,2008-07-01,2008-09-30,2009-10-22 06:54:53+00:00,990000000.0,0.36,0.36,,0.36,-26000000.0,95000000.0,214000000.0,214000000.0,214000000.0,-95000000.0,546000000.0,,,1001000000.0,151000000.0,5448000000.0,3871000000.0,95000000.0,5862000000.0,6145000000.0,188000000.0,6050000000.0,594400000.0,586700000.0,594700000.0
Travelers Companies Inc,TRV,549300Y650407RU8B149,86312,2009.0,Q4,2009-10-01,2009-12-31,,949000000.0,2.33,2.33,,2.3,508000000.0,98000000.0,1285000000.0,1285000000.0,1285000000.0,-98000000.0,1002000000.0,,,856000000.0,111000000.0,5343000000.0,2760000000.0,98000000.0,4565000000.0,6456000000.0,1793000000.0,6358000000.0,567700000.0,563200000.0,568600000.0
Travelers Companies Inc,TRV,549300Y650407RU8B149,86312,2009.0,FY,2009-01-01,2009-12-31,2012-02-16 06:20:24+00:00,3813000000.0,6.38,6.38,,6.33,1089000000.0,382000000.0,3622000000.0,3622000000.0,3622000000.0,-382000000.0,2793000000.0,,,3366000000.0,469000000.0,21418000000.0,12408000000.0,382000000.0,19587000000.0,24680000000.0,4711000000.0,24298000000.0,567700000.0,563200000.0,568600000.0
Travelers Companies Inc,TRV,549300Y650407RU8B149,86312,2009.0,Q3,2009-07-01,2009-09-30,2009-10-22 06:54:53+00:00,967000000.0,1.66,1.66,,1.65,315000000.0,98000000.0,935000000.0,935000000.0,935000000.0,-98000000.0,792000000.0,,,889000000.0,114000000.0,5421000000.0,3123000000.0,98000000.0,4979000000.0,6327000000.0,1250000000.0,6229000000.0,563300000.0,558400000.0,564100000.0
Travelers Companies Inc,TRV,549300Y650407RU8B149,86312,2009.0,Q3YTD,2009-01-01,2009-09-30,,2864000000.0,4.05,4.05,,4.03,581000000.0,284000000.0,2337000000.0,2337000000.0,2337000000.0,-284000000.0,1791000000.0,,,2510000000.0,358000000.0,16075000000.0,9648000000.0,284000000.0,15022000000.0,18224000000.0,2918000000.0,17940000000.0,563300000.0,558400000.0,564100000.0
Travelers Companies Inc,TRV,549300Y650407RU8B149,86312,2009.0,Q2YTD,2009-01-01,2009-06-30,,1897000000.0,2.39,2.39,,2.38,266000000.0,186000000.0,1402000000.0,1402000000.0,1402000000.0,-186000000.0,999000000.0,,,1621000000.0,244000000.0,10654000000.0,6525000000.0,186000000.0,10043000000.0,11897000000.0,1668000000.0,11711000000.0,582700000.0,575800000.0,579800000.0
Travelers Companies Inc,TRV,549300Y650407RU8B149,86312,2009.0,Q2,2009-04-01,2009-06-30,2010-07-22 06:55:56+00:00,953000000.0,1.27,1.27,,1.27,201000000.0,94000000.0,740000000.0,740000000.0,740000000.0,-94000000.0,671000000.0,,,839000000.0,138000000.0,5353000000.0,3335000000.0,94000000.0,5127000000.0,6162000000.0,941000000.0,6068000000.0,582700000.0,575800000.0,579800000.0
Travelers Companies Inc,TRV,549300Y650407RU8B149,86312,2009.0,Q1,2009-01-01,2009-03-31,2010-04-23 15:21:46+00:00,944000000.0,1.12,1.12,,1.11,65000000.0,92000000.0,662000000.0,662000000.0,662000000.0,-92000000.0,328000000.0,,,782000000.0,106000000.0,5301000000.0,3190000000.0,92000000.0,4916000000.0,5735000000.0,727000000.0,5643000000.0,591100000.0,584600000.0,590400000.0
Travelers Companies Inc,TRV,549300Y650407RU8B149,86312,2010.0,Q4,2010-10-01,2010-12-31,,957000000.0,1.92,1.92,,1.91,303000000.0,98000000.0,894000000.0,894000000.0,894000000.0,-98000000.0,853000000.0,,7000000.0,883000000.0,39000000.0,5440000000.0,3190000000.0,98000000.0,5037000000.0,6339000000.0,1197000000.0,6241000000.0,480700000.0,476500000.0,482500000.0
Travelers Companies Inc,TRV,549300Y650407RU8B149,86312,2010.0,FY,2010-01-01,2010-12-31,2012-02-16 06:20:24+00:00,3802000000.0,6.69,6.69,,6.62,1090000000.0,388000000.0,3216000000.0,3216000000.0,3216000000.0,-388000000.0,3323000000.0,,7000000.0,3406000000.0,357000000.0,21432000000.0,13210000000.0,388000000.0,20418000000.0,25119000000.0,4306000000.0,24731000000.0,480700000.0,476500000.0,482500000.0
