company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,accruedinvestmentincome,aoci,cashandequivalents,claimsandclaimexpenses,commonequity,deferredacquisitioncost,goodwill,intangibleassets,longtermdebt,otherassets,otherlongtermliabilities,retainedearnings,shorttermdebt,totalassets,totalcommonequity,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalpreferredequity,tradingaccountsecurities,treasurystock,unearnedpremiumscredit,unearnedpremiumsdebit
Travelers Companies Inc,TRV,549300Y650407RU8B149,86312,2008.0,FY,,2008-12-31,2010-02-18 06:26:00+00:00,823000000.0,-900000000.0,350000000.0,54723000000.0,19242000000.0,1774000000.0,3366000000.0,688000000.0,6181000000.0,34201000000.0,5574000000.0,13314000000.0,6878000000.0,109632000000.0,25230000000.0,25319000000.0,25319000000.0,84313000000.0,109632000000.0,89000000.0,61654000000.0,-6426000000.0,10957000000.0,6776000000.0
Travelers Companies Inc,TRV,549300Y650407RU8B149,86312,2009.0,FY,,2009-12-31,2011-02-17 06:47:39+00:00,825000000.0,1219000000.0,255000000.0,53127000000.0,19593000000.0,1758000000.0,3365000000.0,588000000.0,6527000000.0,30084000000.0,5287000000.0,16315000000.0,6343000000.0,109560000000.0,27336000000.0,27415000000.0,27415000000.0,82145000000.0,109560000000.0,79000000.0,66298000000.0,-9791000000.0,10861000000.0,6387000000.0
Travelers Companies Inc,TRV,549300Y650407RU8B149,86312,2009.0,Q3,,2009-09-30,2009-10-22 06:54:53+00:00,794000000.0,1657000000.0,286000000.0,53924000000.0,19433000000.0,1825000000.0,3365000000.0,612000000.0,6528000000.0,32917000000.0,5652000000.0,15208000000.0,7144000000.0,112617000000.0,28079000000.0,28160000000.0,28160000000.0,84457000000.0,112617000000.0,81000000.0,65785000000.0,-8219000000.0,11209000000.0,7033000000.0
Travelers Companies Inc,TRV,549300Y650407RU8B149,86312,2010.0,FY,,2010-12-31,2012-02-16 06:20:24+00:00,791000000.0,1255000000.0,200000000.0,51606000000.0,20162000000.0,1782000000.0,3365000000.0,502000000.0,6611000000.0,29367000000.0,5293000000.0,18847000000.0,5750000000.0,105656000000.0,25407000000.0,25475000000.0,25475000000.0,80181000000.0,105656000000.0,68000000.0,63339000000.0,-14857000000.0,10921000000.0,6310000000.0
Travelers Companies Inc,TRV,549300Y650407RU8B149,86312,2010.0,Q3,,2010-09-30,2010-10-21 06:33:02+00:00,771000000.0,2372000000.0,298000000.0,51973000000.0,19980000000.0,1840000000.0,3365000000.0,522000000.0,6252000000.0,28777000000.0,5292000000.0,18118000000.0,6070000000.0,108154000000.0,27225000000.0,27295000000.0,27295000000.0,80859000000.0,108154000000.0,70000000.0,65933000000.0,-13245000000.0,11272000000.0,6648000000.0
Travelers Companies Inc,TRV,549300Y650407RU8B149,86312,2010.0,Q2,,2010-06-30,2010-07-22 06:55:56+00:00,799000000.0,1690000000.0,266000000.0,52271000000.0,19884000000.0,1804000000.0,3365000000.0,543000000.0,6276000000.0,28082000000.0,5036000000.0,17285000000.0,6062000000.0,107023000000.0,26214000000.0,26286000000.0,26286000000.0,80737000000.0,107023000000.0,72000000.0,65476000000.0,-12645000000.0,11092000000.0,6688000000.0
Travelers Companies Inc,TRV,549300Y650407RU8B149,86312,2010.0,Q1,,2010-03-31,2010-04-23 15:21:46+00:00,777000000.0,1271000000.0,251000000.0,52841000000.0,19762000000.0,1767000000.0,3365000000.0,564000000.0,6525000000.0,29832000000.0,5246000000.0,16792000000.0,6478000000.0,108696000000.0,26594000000.0,26671000000.0,26671000000.0,82025000000.0,108696000000.0,77000000.0,65579000000.0,-11231000000.0,10935000000.0,6561000000.0
Travelers Companies Inc,TRV,549300Y650407RU8B149,86312,2011.0,FY,,2011-12-31,2013-02-19 07:08:46+00:00,768000000.0,2005000000.0,214000000.0,51392000000.0,20732000000.0,1786000000.0,3365000000.0,433000000.0,6605000000.0,26660000000.0,5424000000.0,19579000000.0,5575000000.0,104575000000.0,24477000000.0,24477000000.0,24477000000.0,80098000000.0,104575000000.0,,64791000000.0,-17839000000.0,11102000000.0,6558000000.0
Travelers Companies Inc,TRV,549300Y650407RU8B149,86312,2011.0,Q3,,2011-09-30,2011-10-19 07:12:29+00:00,737000000.0,2032000000.0,231000000.0,52315000000.0,20664000000.0,1869000000.0,3365000000.0,449000000.0,6604000000.0,28858000000.0,5424000000.0,19127000000.0,5894000000.0,106933000000.0,25172000000.0,25172000000.0,25172000000.0,81761000000.0,106933000000.0,,64570000000.0,-16651000000.0,11524000000.0,6854000000.0
Travelers Companies Inc,TRV,549300Y650407RU8B149,86312,2011.0,Q2,,2011-06-30,2011-07-21 06:50:53+00:00,768000000.0,1711000000.0,273000000.0,52596000000.0,20607000000.0,1840000000.0,3365000000.0,465000000.0,6604000000.0,29336000000.0,5142000000.0,18966000000.0,5779000000.0,106468000000.0,25008000000.0,25008000000.0,25008000000.0,81460000000.0,106468000000.0,,63576000000.0,-16276000000.0,11339000000.0,6845000000.0
