company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,cashdividendspershare,dilutedeps,impairmentexpense,incometaxexpense,netincome,netincomecontinuing,netincometocommon,operatingcostofrevenue,operatingrevenue,otherincome,otherspecialcharges,rdexpense,restructuringcharge,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totalinterestincome,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Western Digital Corp,WDC,549300QQXOOYEF89IC56,106040,2008.0,FY,2007-06-30,2008-06-27,2010-08-13 16:56:51+00:00,3.92,3.92,,3.84,,114000000.0,867000000.0,867000000.0,867000000.0,6335000000.0,8074000000.0,,,513000000.0,,220000000.0,6335000000.0,1739000000.0,52000000.0,27000000.0,733000000.0,1006000000.0,-25000000.0,981000000.0,8074000000.0,221200000.0,221000000.0,226000000.0
Western Digital Corp,WDC,549300QQXOOYEF89IC56,106040,2009.0,Q4,2009-03-28,2009-07-03,,0.89,0.89,,0.87,,11000000.0,195000000.0,195000000.0,195000000.0,1559000000.0,1929000000.0,,,132000000.0,-23000000.0,53000000.0,1559000000.0,370000000.0,4000000.0,2000000.0,162000000.0,208000000.0,-2000000.0,206000000.0,1929000000.0,221700000.0,222000000.0,226000000.0
Western Digital Corp,WDC,549300QQXOOYEF89IC56,106040,2009.0,FY,2008-06-28,2009-07-03,2011-08-11 19:03:00+00:00,2.12,2.12,,2.08,,31000000.0,470000000.0,470000000.0,470000000.0,6116000000.0,7453000000.0,,,523000000.0,94000000.0,201000000.0,6116000000.0,1337000000.0,27000000.0,9000000.0,818000000.0,519000000.0,-18000000.0,501000000.0,7453000000.0,221700000.0,222000000.0,226000000.0
Western Digital Corp,WDC,549300QQXOOYEF89IC56,106040,2009.0,Q3YTD,2008-06-28,2009-03-27,,1.23,1.23,,1.21,,20000000.0,275000000.0,275000000.0,275000000.0,4557000000.0,5524000000.0,,,391000000.0,117000000.0,148000000.0,4557000000.0,967000000.0,23000000.0,7000000.0,656000000.0,311000000.0,-16000000.0,295000000.0,5524000000.0,227300000.0,223000000.0,226000000.0
Western Digital Corp,WDC,549300QQXOOYEF89IC56,106040,2009.0,Q3,2008-12-27,2009-03-27,2010-04-30 14:03:16+00:00,0.22,0.22,,0.22,,8000000.0,50000000.0,50000000.0,50000000.0,1339000000.0,1592000000.0,,,139000000.0,4000000.0,49000000.0,1339000000.0,253000000.0,4000000.0,1000000.0,192000000.0,61000000.0,-3000000.0,58000000.0,1592000000.0,227300000.0,223000000.0,226000000.0
Western Digital Corp,WDC,549300QQXOOYEF89IC56,106040,2009.0,Q2YTD,2008-06-28,2008-12-26,,1.01,1.01,,0.99,,12000000.0,225000000.0,225000000.0,225000000.0,3218000000.0,3932000000.0,,,252000000.0,113000000.0,99000000.0,3218000000.0,714000000.0,19000000.0,6000000.0,464000000.0,250000000.0,-13000000.0,237000000.0,3932000000.0,233300000.0,222000000.0,224000000.0
Western Digital Corp,WDC,549300QQXOOYEF89IC56,106040,2009.0,Q2,2008-09-27,2008-12-26,2010-01-29 16:25:23+00:00,0.06,0.06,,0.06,,-7000000.0,14000000.0,14000000.0,14000000.0,1533000000.0,1823000000.0,,,119000000.0,113000000.0,42000000.0,1533000000.0,290000000.0,11000000.0,2000000.0,274000000.0,16000000.0,-9000000.0,7000000.0,1823000000.0,233300000.0,222000000.0,224000000.0
Western Digital Corp,WDC,549300QQXOOYEF89IC56,106040,2009.0,Q1,2008-06-28,2008-09-26,2009-10-29 16:55:54+00:00,0.95,0.95,,0.93,,19000000.0,211000000.0,211000000.0,211000000.0,1685000000.0,2109000000.0,,,133000000.0,,57000000.0,1685000000.0,424000000.0,8000000.0,4000000.0,190000000.0,234000000.0,-4000000.0,230000000.0,2109000000.0,222100000.0,222000000.0,226000000.0
Western Digital Corp,WDC,549300QQXOOYEF89IC56,106040,2010.0,Q4,2010-04-03,2010-07-02,,1.14,1.14,,1.12,,27000000.0,265000000.0,265000000.0,265000000.0,1847000000.0,2382000000.0,,,155000000.0,,88000000.0,1847000000.0,535000000.0,1000000.0,1000000.0,243000000.0,292000000.0,,292000000.0,2382000000.0,228100000.0,228000000.0,233000000.0
Western Digital Corp,WDC,549300QQXOOYEF89IC56,106040,2010.0,FY,2009-07-04,2010-07-02,2012-08-17 18:58:09+00:00,6.06,6.06,,5.93,,138000000.0,1382000000.0,1382000000.0,1382000000.0,7449000000.0,9850000000.0,,,611000000.0,,265000000.0,7449000000.0,2401000000.0,9000000.0,4000000.0,876000000.0,1525000000.0,-5000000.0,1520000000.0,9850000000.0,228100000.0,228000000.0,233000000.0
