company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,cashdividendspershare,dilutedeps,impairmentexpense,incometaxexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,operatingcostofrevenue,operatingrevenue,otherincome,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totalinterestincome,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Tapestry Inc,TPR,549300LJNVY5SW3VTN33,1116132,2008.0,FY,2007-07-01,2008-06-28,2010-08-25 16:13:05+00:00,2.2,2.2,,2.17,,411910000.0,783055000.0,783039000.0,16000.0,783055000.0,773654000.0,3180757000.0,,1259974000.0,773654000.0,2407103000.0,,47820000.0,1259974000.0,1147129000.0,47820000.0,1194949000.0,3180757000.0,355900000.0,355731000.0,360332000.0
Tapestry Inc,TPR,549300LJNVY5SW3VTN33,1116132,2009.0,FY,2008-06-29,2009-06-27,2011-08-19 16:19:30+00:00,1.93,1.93,,1.91,,359323000.0,623369000.0,623369000.0,,623369000.0,907858000.0,3230468000.0,,1350697000.0,907858000.0,2322610000.0,,10779000.0,1350697000.0,971913000.0,10779000.0,982692000.0,3230468000.0,323000000.0,323714000.0,325620000.0
Tapestry Inc,TPR,549300LJNVY5SW3VTN33,1116132,2009.0,Q4,2009-03-29,2009-06-27,,0.46,0.46,,0.44,,66616000.0,145793000.0,145793000.0,,145793000.0,230426000.0,777744000.0,,342631000.0,230426000.0,547318000.0,3057000.0,10779000.0,342631000.0,204687000.0,7722000.0,212409000.0,777744000.0,323000000.0,323714000.0,325620000.0
Tapestry Inc,TPR,549300LJNVY5SW3VTN33,1116132,2009.0,Q3YTD,2008-06-29,2009-03-28,,1.47,1.47,,1.47,,292707000.0,477576000.0,477576000.0,,477576000.0,677432000.0,2452724000.0,,1008066000.0,677432000.0,1775292000.0,-3057000.0,,1008066000.0,767226000.0,3057000.0,770283000.0,2452724000.0,319100000.0,320163000.0,321355000.0
Tapestry Inc,TPR,549300LJNVY5SW3VTN33,1116132,2009.0,Q3,2008-12-28,2009-03-28,2010-05-05 17:21:35+00:00,0.36,0.36,,0.36,,70397000.0,114859000.0,114859000.0,,114859000.0,214876000.0,739939000.0,,339686000.0,214876000.0,525063000.0,121000.0,,339686000.0,185377000.0,-121000.0,185256000.0,739939000.0,319100000.0,320163000.0,321355000.0
Tapestry Inc,TPR,549300LJNVY5SW3VTN33,1116132,2009.0,Q2YTD,2008-06-29,2008-12-27,,1.11,1.11,,1.11,,222310000.0,362717000.0,362717000.0,,362717000.0,462556000.0,1712785000.0,,668380000.0,462556000.0,1250229000.0,-3178000.0,,668380000.0,581849000.0,3178000.0,585027000.0,1712785000.0,323700000.0,323655000.0,325168000.0
Tapestry Inc,TPR,549300LJNVY5SW3VTN33,1116132,2009.0,Q2,2008-09-28,2008-12-27,2010-02-03 16:37:20+00:00,0.67,0.67,,0.67,,131989000.0,216906000.0,216906000.0,,216906000.0,268220000.0,960256000.0,,343673000.0,268220000.0,692036000.0,-532000.0,,343673000.0,348363000.0,532000.0,348895000.0,960256000.0,323700000.0,323655000.0,325168000.0
Tapestry Inc,TPR,549300LJNVY5SW3VTN33,1116132,2009.0,Q1,2008-06-29,2008-09-27,2009-11-04 16:16:15+00:00,0.44,0.44,,0.44,,90321000.0,145811000.0,145811000.0,,145811000.0,194336000.0,752529000.0,,324707000.0,194336000.0,558193000.0,-2646000.0,,324707000.0,233486000.0,2646000.0,236132000.0,752529000.0,331400000.0,331865000.0,334023000.0
Tapestry Inc,TPR,549300LJNVY5SW3VTN33,1116132,2010.0,FY,2009-06-28,2010-07-03,2011-08-19 16:19:30+00:00,2.36,2.36,,2.33,,423192000.0,734940000.0,734940000.0,,734940000.0,973945000.0,3607636000.0,,1483520000.0,973945000.0,2633691000.0,,7961000.0,1483520000.0,1150171000.0,7961000.0,1158132000.0,3607636000.0,311400000.0,311413000.0,315848000.0
Tapestry Inc,TPR,549300LJNVY5SW3VTN33,1116132,2010.0,Q4,2010-03-28,2010-07-03,,0.65,0.65,,0.64,,109779000.0,195527000.0,195527000.0,,195527000.0,253526000.0,950525000.0,,400034000.0,253526000.0,696999000.0,-380000.0,7961000.0,400034000.0,296965000.0,8341000.0,305306000.0,950525000.0,311400000.0,311413000.0,315848000.0
