company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,amortizationexpense,cashincometaxespaid,cashinterestpaid,depreciationexpense,divestitures,effectofexchangeratechanges,increasedecreaseinoperatingcapital,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,netincomediscontinued,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,othernetchangesincash,paymentofdividends,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,saleofinvestments,saleofplantpropertyandequipment
Level 3 Communications Inc,LVLT,,794323,2008.0,FY,2008-01-01,2008-12-31,2011-02-25 16:27:59+00:00,,52000000.0,4000000.0,531000000.0,931000000.0,124000000.0,-4000000.0,-149000000.0,402000000.0,-34000000.0,-321000000.0,413000000.0,-34000000.0,-321000000.0,413000000.0,54000000.0,-318000000.0,-318000000.0,,-103000000.0,,2000000.0,,,-5000000.0,-449000000.0,-436000000.0,4000000.0,3000000.0
Level 3 Communications Inc,LVLT,,794323,2009.0,Q4,2009-10-01,2009-12-31,,,13000000.0,1000000.0,121000000.0,227000000.0,,-3000000.0,91000000.0,274000000.0,207000000.0,-72000000.0,166000000.0,207000000.0,-72000000.0,166000000.0,304000000.0,-182000000.0,-188000000.0,6000000.0,23000000.0,,,6000000.0,,,-75000000.0,-67000000.0,2000000.0,1000000.0
Level 3 Communications Inc,LVLT,,794323,2009.0,FY,2009-01-01,2009-12-31,2012-02-27 19:24:49+00:00,0.0,56000000.0,5000000.0,517000000.0,906000000.0,,2000000.0,-20000000.0,543000000.0,16000000.0,-302000000.0,346000000.0,16000000.0,-302000000.0,346000000.0,68000000.0,-618000000.0,-624000000.0,6000000.0,28000000.0,,,6000000.0,,,-308000000.0,-527000000.0,5000000.0,1000000.0
Level 3 Communications Inc,LVLT,,794323,2009.0,Q3,2009-07-01,2009-09-30,,,13000000.0,,143000000.0,229000000.0,,3000000.0,11000000.0,-3000000.0,-110000000.0,-75000000.0,84000000.0,-110000000.0,-75000000.0,84000000.0,-98000000.0,-170000000.0,-170000000.0,,1000000.0,,,,,,-75000000.0,-107000000.0,,
Level 3 Communications Inc,LVLT,,794323,2009.0,Q3YTD,2009-01-01,2009-09-30,2010-11-05 16:59:07+00:00,,43000000.0,4000000.0,396000000.0,679000000.0,,5000000.0,-111000000.0,269000000.0,-191000000.0,-230000000.0,180000000.0,-191000000.0,-230000000.0,180000000.0,-236000000.0,-436000000.0,-436000000.0,,5000000.0,,,,,,-233000000.0,-460000000.0,3000000.0,
Level 3 Communications Inc,LVLT,,794323,2009.0,Q2YTD,2009-01-01,2009-06-30,2010-08-03 16:15:47+00:00,,30000000.0,4000000.0,253000000.0,450000000.0,,2000000.0,-122000000.0,272000000.0,-81000000.0,-155000000.0,96000000.0,-81000000.0,-155000000.0,96000000.0,-138000000.0,-266000000.0,-266000000.0,,4000000.0,,,,,,-158000000.0,-353000000.0,3000000.0,
Level 3 Communications Inc,LVLT,,794323,2010.0,Q4,2010-10-01,2010-12-31,,,15000000.0,,111000000.0,207000000.0,,-1000000.0,7000000.0,25000000.0,24000000.0,-114000000.0,190000000.0,24000000.0,-114000000.0,190000000.0,98000000.0,-52000000.0,-51000000.0,-1000000.0,12000000.0,,,-1000000.0,,,-116000000.0,-1000000.0,-1000000.0,3000000.0
Level 3 Communications Inc,LVLT,,794323,2010.0,FY,2010-01-01,2010-12-31,2013-02-26 16:34:38+00:00,0.0,57000000.0,-1000000.0,523000000.0,870000000.0,,-8000000.0,-78000000.0,808000000.0,-122000000.0,-428000000.0,339000000.0,-122000000.0,-428000000.0,339000000.0,-220000000.0,-622000000.0,-621000000.0,-1000000.0,111000000.0,0.0,0.0,-1000000.0,,,-435000000.0,-930000000.0,3000000.0,4000000.0
Level 3 Communications Inc,LVLT,,794323,2010.0,Q3TTM,2009-10-01,2010-09-30,,,55000000.0,,533000000.0,890000000.0,,-10000000.0,6000000.0,1057000000.0,61000000.0,-386000000.0,315000000.0,61000000.0,-386000000.0,315000000.0,-14000000.0,-752000000.0,-758000000.0,6000000.0,122000000.0,,,6000000.0,,,-394000000.0,-996000000.0,6000000.0,2000000.0
Level 3 Communications Inc,LVLT,,794323,2010.0,Q3,2010-07-01,2010-09-30,,,14000000.0,,150000000.0,215000000.0,,5000000.0,-14000000.0,170000000.0,131000000.0,-132000000.0,72000000.0,131000000.0,-132000000.0,72000000.0,76000000.0,-163000000.0,-163000000.0,,20000000.0,,,,,,-133000000.0,-39000000.0,,1000000.0
