company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,amortizationexpense,depreciationexpense,divestitures,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,paymentofdividends,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,saleofplantpropertyandequipment
Airgas Inc ,ARG,T9G0YDC6WFXHBPA02M60,804212,2009.0,FY,2008-04-01,2009-03-31,2011-05-26 10:44:30+00:00,-273750000.0,22762000.0,198033000.0,,81213000.0,16507000.0,1364423000.0,31297000.0,-609924000.0,582767000.0,31297000.0,-609924000.0,582767000.0,4140000.0,261088000.0,261088000.0,19671000.0,28034000.0,1378000.0,-45766000.0,-351912000.0,-1211682000.0,-120219000.0,14360000.0
Airgas Inc ,ARG,T9G0YDC6WFXHBPA02M60,804212,2010.0,Q4,2010-01-01,2010-03-31,,-5710000.0,6127000.0,54846000.0,,73965000.0,4092000.0,464407000.0,-113063000.0,-61807000.0,188312000.0,-113063000.0,-61807000.0,188312000.0,13442000.0,40044000.0,40044000.0,13330000.0,11684000.0,-520000.0,-18299000.0,-61154000.0,-574947000.0,,5577000.0
Airgas Inc ,ARG,T9G0YDC6WFXHBPA02M60,804212,2010.0,FY,2009-04-01,2010-03-31,2012-05-29 17:12:37+00:00,-80777000.0,22231000.0,212718000.0,,125081000.0,15428000.0,1451991000.0,-277953000.0,-322281000.0,600047000.0,-277953000.0,-322281000.0,600047000.0,-187000.0,196266000.0,196266000.0,43751000.0,22683000.0,-3142000.0,-62526000.0,-252828000.0,-1705529000.0,0.0,14466000.0
Airgas Inc ,ARG,T9G0YDC6WFXHBPA02M60,804212,2010.0,Q3,2009-10-01,2009-12-31,,-71074000.0,5811000.0,53642000.0,,-6055000.0,3577000.0,374581000.0,8575000.0,-128504000.0,111965000.0,8575000.0,-128504000.0,111965000.0,-7964000.0,46866000.0,46866000.0,11701000.0,3580000.0,-315000.0,-14787000.0,-60309000.0,-358376000.0,,3194000.0
Airgas Inc ,ARG,T9G0YDC6WFXHBPA02M60,804212,2010.0,Q3YTD,2009-04-01,2009-12-31,2011-02-04 13:33:44+00:00,-75067000.0,16104000.0,157872000.0,,51116000.0,11336000.0,987584000.0,-164890000.0,-260474000.0,411735000.0,-164890000.0,-260474000.0,411735000.0,-13629000.0,156222000.0,156222000.0,30421000.0,10999000.0,-2622000.0,-44227000.0,-191674000.0,-1130582000.0,,8889000.0
Airgas Inc ,ARG,T9G0YDC6WFXHBPA02M60,804212,2010.0,Q2,2009-07-01,2009-09-30,,-1130000.0,5477000.0,52647000.0,,16293000.0,3871000.0,522287000.0,-92848000.0,-62872000.0,137511000.0,-92848000.0,-62872000.0,137511000.0,-18209000.0,54540000.0,54540000.0,8554000.0,3962000.0,-874000.0,-14739000.0,-64053000.0,-608229000.0,,3185000.0
Airgas Inc ,ARG,T9G0YDC6WFXHBPA02M60,804212,2010.0,Q2YTD,2009-04-01,2009-09-30,2010-11-05 13:59:35+00:00,-3993000.0,10293000.0,104230000.0,,57171000.0,7759000.0,613003000.0,-173465000.0,-131970000.0,299770000.0,-173465000.0,-131970000.0,299770000.0,-5665000.0,109356000.0,109356000.0,18720000.0,7419000.0,-2307000.0,-29440000.0,-131365000.0,-772206000.0,,5695000.0
Airgas Inc ,ARG,T9G0YDC6WFXHBPA02M60,804212,2010.0,Q1,2009-04-01,2009-06-30,2010-08-06 10:23:35+00:00,-2863000.0,4816000.0,51583000.0,,40878000.0,3888000.0,90716000.0,-80617000.0,-69098000.0,162259000.0,-80617000.0,-69098000.0,162259000.0,12544000.0,54816000.0,54816000.0,10166000.0,3457000.0,-1433000.0,-14701000.0,-67312000.0,-163977000.0,,2510000.0
Airgas Inc ,ARG,T9G0YDC6WFXHBPA02M60,804212,2011.0,Q4,2011-01-01,2011-03-31,,-491000.0,6492000.0,58773000.0,15844000.0,54322000.0,3982000.0,516592000.0,-94566000.0,-70107000.0,186876000.0,-94566000.0,-70107000.0,186876000.0,22203000.0,63069000.0,63069000.0,4220000.0,6164000.0,677000.0,-23457000.0,-75508000.0,-297847000.0,-300000000.0,-10629000.0
Airgas Inc ,ARG,T9G0YDC6WFXHBPA02M60,804212,2011.0,FY,2010-04-01,2011-03-31,2013-05-22 16:47:59+00:00,-21186000.0,25135000.0,225383000.0,15844000.0,-254288000.0,14997000.0,1419137000.0,-3317000.0,-261767000.0,275301000.0,-3317000.0,-261767000.0,275301000.0,10217000.0,250264000.0,250264000.0,28807000.0,27361000.0,-395000.0,-83797000.0,-256030000.0,-1081015000.0,-300000000.0,
