company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,cashdividendspershare,dilutedeps,impairmentexpense,incometaxexpense,netincome,netincomecontinuing,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,otherincome,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totalinterestincome,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Hormel Foods Corp,HRL,MSD54751OJP1FS2ND863,48465,2008.0,FY,2007-10-29,2008-10-26,2010-12-21 15:05:51+00:00,2.11,2.11,0.74,2.08,,172036000.0,288635000.0,288635000.0,285500000.0,3135000.0,5692974000.0,6754903000.0,,552503000.0,5692974000.0,1061929000.0,28023000.0,-20732000.0,552503000.0,509426000.0,-48755000.0,460671000.0,6754903000.0,135300000.0,135360000.0,137128000.0
Hormel Foods Corp,HRL,MSD54751OJP1FS2ND863,48465,2009.0,FY,2008-10-27,2009-10-25,2011-12-21 16:38:13+00:00,1.28,1.28,0.38,1.27,,182169000.0,345978000.0,345978000.0,342813000.0,3165000.0,5434800000.0,6533671000.0,,567085000.0,5434800000.0,1098871000.0,27995000.0,24356000.0,567085000.0,531786000.0,-3639000.0,528147000.0,6533671000.0,267800000.0,268454000.0,270979000.0
Hormel Foods Corp,HRL,MSD54751OJP1FS2ND863,48465,2009.0,Q3,2009-04-27,2009-07-26,2010-09-03 09:10:13+00:00,0.57,0.57,0.19,0.57,,40882000.0,78095000.0,78095000.0,77169000.0,926000.0,1314116000.0,1574440000.0,,142010000.0,1314116000.0,260324000.0,6963000.0,7626000.0,142010000.0,118314000.0,663000.0,118977000.0,1574440000.0,135400000.0,134255000.0,135720000.0
Hormel Foods Corp,HRL,MSD54751OJP1FS2ND863,48465,2010.0,Q4,2010-07-26,2010-10-31,,0.45,0.45,0.1,0.45,,65468000.0,122608000.0,122608000.0,121148000.0,1460000.0,1708066000.0,2063039000.0,,166456000.0,1708066000.0,354973000.0,6961000.0,7273000.0,166456000.0,188517000.0,312000.0,188076000.0,2063039000.0,267300000.0,266732000.0,270698000.0
Hormel Foods Corp,HRL,MSD54751OJP1FS2ND863,48465,2010.0,FY,2009-10-26,2010-10-31,2012-12-19 08:55:47+00:00,1.48,1.48,0.42,1.46,,224775000.0,399776000.0,399776000.0,395587000.0,4189000.0,5981977000.0,7220719000.0,,605293000.0,5981977000.0,1238742000.0,26589000.0,17691000.0,605293000.0,633449000.0,-8898000.0,624551000.0,7220719000.0,267300000.0,266732000.0,270698000.0
Hormel Foods Corp,HRL,MSD54751OJP1FS2ND863,48465,2010.0,Q3YTD,2009-10-26,2010-07-25,,1.03,1.03,0.31,1.03,,159307000.0,277168000.0,277168000.0,274439000.0,2729000.0,4273911000.0,5157680000.0,,438837000.0,4273911000.0,883769000.0,19628000.0,10418000.0,438837000.0,444932000.0,-9210000.0,436475000.0,5157680000.0,266800000.0,266401000.0,270326000.0
Hormel Foods Corp,HRL,MSD54751OJP1FS2ND863,48465,2010.0,Q3,2010-04-26,2010-07-25,2011-09-09 17:21:19+00:00,0.32,0.32,0.105,0.32,,48067000.0,86364000.0,86364000.0,85370000.0,994000.0,1445536000.0,1730451000.0,,146523000.0,1445536000.0,284915000.0,6493000.0,2222000.0,146523000.0,138392000.0,-4271000.0,134431000.0,1730451000.0,266800000.0,266401000.0,270326000.0
Hormel Foods Corp,HRL,MSD54751OJP1FS2ND863,48465,2010.0,Q2YTD,2009-10-26,2010-04-25,,0.71,0.71,0.2,0.71,,111240000.0,190804000.0,190804000.0,189069000.0,1735000.0,2828375000.0,3427229000.0,,292314000.0,2828375000.0,598854000.0,13135000.0,8196000.0,292314000.0,306540000.0,-4939000.0,302044000.0,3427229000.0,268500000.0,267187000.0,271157000.0
Hormel Foods Corp,HRL,MSD54751OJP1FS2ND863,48465,2010.0,Q2,2010-01-25,2010-04-25,2011-06-10 11:08:34+00:00,0.29,0.29,0.105,0.29,,53951000.0,78535000.0,78535000.0,77862000.0,673000.0,1419315000.0,1699782000.0,,146782000.0,1419315000.0,280467000.0,6574000.0,5375000.0,146782000.0,133685000.0,-1199000.0,132486000.0,1699782000.0,268500000.0,267187000.0,271157000.0
Hormel Foods Corp,HRL,MSD54751OJP1FS2ND863,48465,2010.0,Q1,2009-10-26,2010-01-24,2011-03-11 12:32:03+00:00,0.42,0.42,0.105,0.41,,57289000.0,112269000.0,112269000.0,111207000.0,1062000.0,1409060000.0,1727447000.0,,145532000.0,1409060000.0,318387000.0,6561000.0,2821000.0,145532000.0,172855000.0,-3740000.0,169558000.0,1727447000.0,264800000.0,267178000.0,270712000.0
