company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,accountspayable,accountsreceivable,aoci,capitalleaseobligations,cashandequivalents,commitmentsandcontingencies,commonequity,currentdeferredtaxassets,currentdeferredtaxliabilities,currentemployeebenefitliabilities,goodwill,grossppe,intangibleassets,longtermdebt,netinventory,netppe,noncurrentdeferredtaxassets,othercurrentliabilities,othercurrentnonoperatingassets,othercurrentnonoperatingliabilities,othernoncurrentassets,othernoncurrentliabilities,othernoncurrentnonoperatingassets,othernoncurrentnonoperatingliabilities,prepaidexpenses,retainedearnings,shorttermdebt,totalassets,totalcommonequity,totalcurrentassets,totalcurrentliabilities,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalnoncurrentassets,totalnoncurrentliabilities,totalpreferredequity
Rite Aid Corp,RAD,,84129,2010.0,FY,,2010-02-27,2011-04-26 15:11:56+00:00,1159069000.0,955502000.0,-31320000.0,133764000.0,103594000.0,,5164836000.0,,,965121000.0,,,823088000.0,6185633000.0,3238644000.0,2293153000.0,,,,,425002000.0,1228373000.0,,,210928000.0,-6959372000.0,51502000.0,8049911000.0,-1825856000.0,4508668000.0,2175692000.0,-1673551000.0,-1673551000.0,9723462000.0,8049911000.0,1248090000.0,7547770000.0,152305000.0
Rite Aid Corp,RAD,,84129,2011.0,FY,,2011-02-26,2012-04-24 10:25:58+00:00,1307872000.0,966457000.0,-30142000.0,122295000.0,91116000.0,0.0,5171920000.0,,,1049406000.0,,,646177000.0,6034525000.0,3158145000.0,2039383000.0,,,,,458925000.0,1190074000.0,,,195647000.0,-7514796000.0,63045000.0,7555850000.0,-2373018000.0,4411365000.0,2420323000.0,-2211367000.0,-2211367000.0,9767217000.0,7555850000.0,1105102000.0,7346894000.0,161651000.0
Rite Aid Corp,RAD,,84129,2011.0,Q3,,2010-11-27,2011-01-06 10:13:36+00:00,1292350000.0,974472000.0,-29152000.0,125074000.0,122042000.0,,5170777000.0,,,1107235000.0,,,701497000.0,6089772000.0,3330805000.0,2138540000.0,,,,,448575000.0,1175505000.0,,,100037000.0,-7309103000.0,34248000.0,7815968000.0,-2167478000.0,4527356000.0,2433833000.0,-2008216000.0,-2008216000.0,9824184000.0,7815968000.0,1150072000.0,7390351000.0,159262000.0
Rite Aid Corp,RAD,,84129,2011.0,Q2,,2010-08-28,2010-10-07 09:38:29+00:00,1310900000.0,947001000.0,-29875000.0,128151000.0,132412000.0,,5169191000.0,,,1057601000.0,,,740130000.0,6031759000.0,3257580000.0,2184607000.0,,,,,447780000.0,1188970000.0,,,107673000.0,-7230032000.0,33610000.0,7817183000.0,-2090716000.0,4444666000.0,2402111000.0,-1933808000.0,-1933808000.0,9750991000.0,7817183000.0,1187910000.0,7348880000.0,156908000.0
Rite Aid Corp,RAD,,84129,2012.0,FY,,2012-03-03,2013-04-23 15:57:40+00:00,1426391000.0,1013233000.0,-52634000.0,107007000.0,162285000.0,0.0,5177675000.0,,,1064507000.0,,,528775000.0,6141773000.0,3138455000.0,1902021000.0,,,,,428909000.0,1131948000.0,,,190613000.0,-7883367000.0,79421000.0,7364291000.0,-2758326000.0,4504586000.0,2570319000.0,-2586756000.0,-2586756000.0,9951047000.0,7364291000.0,957684000.0,7380728000.0,171570000.0
Rite Aid Corp,RAD,,84129,2012.0,Q3,,2011-11-26,2011-12-29 08:46:05+00:00,1376009000.0,970218000.0,-28371000.0,113808000.0,148474000.0,0.0,5175615000.0,,,1133065000.0,,,560963000.0,6172550000.0,3389054000.0,1940470000.0,,,,,438497000.0,1142134000.0,,,109358000.0,-7722124000.0,25313000.0,7557034000.0,-2574880000.0,4617104000.0,2534387000.0,-2405845000.0,-2405845000.0,9962879000.0,7557034000.0,999460000.0,7428492000.0,169035000.0
Rite Aid Corp,RAD,,84129,2012.0,Q2,,2011-08-27,2011-10-05 09:12:11+00:00,1335408000.0,949131000.0,-28961000.0,116489000.0,78363000.0,0.0,5174169000.0,,,1066158000.0,,,584914000.0,6052353000.0,3290170000.0,1960157000.0,,,,,439452000.0,1181405000.0,,,114219000.0,-7670139000.0,22987000.0,7416406000.0,-2524931000.0,4431883000.0,2424553000.0,-2358394000.0,-2358394000.0,9774800000.0,7416406000.0,1024366000.0,7350247000.0,166537000.0
Rite Aid Corp,RAD,,84129,2012.0,Q1,,2011-05-28,2011-07-06 09:43:00+00:00,1354259000.0,962475000.0,-29552000.0,119291000.0,230637000.0,0.0,5173124000.0,,,1059188000.0,,,611687000.0,6027616000.0,3170491000.0,1987948000.0,,,,,454008000.0,1190396000.0,,,86923000.0,-7577885000.0,23656000.0,7504169000.0,-2434313000.0,4450526000.0,2437103000.0,-2270237000.0,-2270237000.0,9774406000.0,7504169000.0,1065695000.0,7337303000.0,164076000.0
Rite Aid Corp,RAD,,84129,2013.0,FY,,2013-03-02,2014-04-23 14:01:11+00:00,1384644000.0,929476000.0,-61369000.0,91850000.0,129452000.0,0.0,5185099000.0,,,1156315000.0,,,464404000.0,5904370000.0,3154742000.0,1895650000.0,,,,,309618000.0,963663000.0,,,195377000.0,-7765262000.0,37311000.0,7078719000.0,-2641532000.0,4409047000.0,2578270000.0,-2459434000.0,-2459434000.0,9538153000.0,7078719000.0,774022000.0,6959883000.0,182098000.0
Rite Aid Corp,RAD,,84129,2013.0,Q3,,2012-12-01,2013-01-08 14:53:12+00:00,1437728000.0,917033000.0,-49575000.0,95434000.0,263641000.0,0.0,5182403000.0,,,1176903000.0,,,476413000.0,5827936000.0,3096988000.0,1901542000.0,,,,,335595000.0,995214000.0,,,194930000.0,-7888349000.0,229041000.0,7186142000.0,-2755521000.0,4472592000.0,2843672000.0,-2576114000.0,-2576114000.0,9762256000.0,7186142000.0,812008000.0,6918584000.0,179407000.0
Rite Aid Corp,RAD,,84129,2013.0,Q2,,2012-09-01,2012-10-02 12:30:46+00:00,1258460000.0,926428000.0,-50595000.0,101195000.0,94325000.0,0.0,5180736000.0,,,1138588000.0,,,482453000.0,5829582000.0,3022707000.0,1899866000.0,,,,,327332000.0,1037942000.0,,,197467000.0,-7950220000.0,228134000.0,6950578000.0,-2820079000.0,4240927000.0,2625182000.0,-2643323000.0,-2643323000.0,9593901000.0,6950578000.0,809785000.0,6968719000.0,176756000.0
Rite Aid Corp,RAD,,84129,2013.0,Q1,,2012-06-02,2012-07-03 09:14:14+00:00,1336975000.0,916679000.0,-51614000.0,104029000.0,214774000.0,0.0,5179592000.0,,,1109806000.0,,,502684000.0,6025749000.0,3021483000.0,1901475000.0,,,,,347122000.0,1072279000.0,,,168915000.0,-7911455000.0,33627000.0,7073132000.0,-2783477000.0,4321851000.0,2480408000.0,-2609333000.0,-2609333000.0,9682465000.0,7073132000.0,849806000.0,7202057000.0,174144000.0
Rite Aid Corp,RAD,,84129,2014.0,FY,,2014-03-01,2015-04-23 15:52:55+00:00,1292419000.0,949062000.0,-37334000.0,75171000.0,146406000.0,0.0,5439480000.0,,,1165859000.0,,,431227000.0,5632798000.0,2993948000.0,1957329000.0,,,,,271190000.0,843152000.0,,,195709000.0,-7515848000.0,49174000.0,6944871000.0,-2113702000.0,4285125000.0,2507452000.0,-2113702000.0,-2113702000.0,9058573000.0,6944871000.0,702417000.0,6551121000.0,
Rite Aid Corp,RAD,,84129,2014.0,Q3,,2013-11-30,2014-01-08 12:30:42+00:00,1397093000.0,850249000.0,-57581000.0,78857000.0,183212000.0,0.0,5399981000.0,,,1120238000.0,,,438281000.0,5825816000.0,3301103000.0,1957584000.0,,,,,296049000.0,897235000.0,,,111689000.0,-7571225000.0,47753000.0,7138167000.0,-2228825000.0,4446253000.0,2565084000.0,-2228825000.0,-2228825000.0,9366992000.0,7138167000.0,734330000.0,6801908000.0,
Rite Aid Corp,RAD,,84129,2014.0,Q2,,2013-08-31,2013-10-03 11:24:52+00:00,1415880000.0,922648000.0,-58844000.0,88510000.0,144167000.0,0.0,5196149000.0,,,1084312000.0,,,438776000.0,5915836000.0,3215611000.0,1936577000.0,,,,,302604000.0,935105000.0,,,208607000.0,-7642773000.0,47213000.0,7168990000.0,-2505468000.0,4491033000.0,2547405000.0,-2317866000.0,-2317866000.0,9486856000.0,7168990000.0,741380000.0,6939451000.0,187602000.0
Rite Aid Corp,RAD,,84129,2014.0,Q1,,2013-06-01,2013-07-05 09:34:47+00:00,1366036000.0,881447000.0,-60106000.0,89612000.0,108902000.0,0.0,5193352000.0,,,1068974000.0,,,444234000.0,5778652000.0,3135759000.0,1899831000.0,,,,,300489000.0,956287000.0,,,174776000.0,-7675600000.0,43401000.0,6945438000.0,-2542354000.0,4300884000.0,2478411000.0,-2357524000.0,-2357524000.0,9302962000.0,6945438000.0,744723000.0,6824551000.0,184830000.0
Rite Aid Corp,RAD,,84129,2015.0,FY,,2015-02-28,2016-04-25 14:28:10+00:00,1133520000.0,980904000.0,-45850000.0,61152000.0,115899000.0,0.0,5509581000.0,17823000.0,57685000.0,1193419000.0,76124000.0,,421480000.0,5397588000.0,2882980000.0,2091369000.0,1766349000.0,,,,200345000.0,776629000.0,,,224152000.0,-5406675000.0,100376000.0,8777425000.0,57056000.0,4221758000.0,2485000000.0,57056000.0,57056000.0,8720369000.0,8777425000.0,2464298000.0,6235369000.0,
Rite Aid Corp,RAD,,84129,2015.0,Q3,,2014-11-29,2015-01-06 11:15:03+00:00,1205887000.0,996545000.0,-35355000.0,65483000.0,232954000.0,0.0,5484404000.0,,,1147174000.0,76124000.0,,420415000.0,5673591000.0,2997595000.0,2062376000.0,,,,,267104000.0,774896000.0,,,132873000.0,-7241707000.0,111613000.0,7185986000.0,-1792658000.0,4359967000.0,2464674000.0,-1792658000.0,-1792658000.0,8978644000.0,7185986000.0,763643000.0,6513970000.0,
Rite Aid Corp,RAD,,84129,2015.0,Q2,,2014-08-30,2014-10-02 08:40:00+00:00,1205834000.0,954785000.0,-36015000.0,68633000.0,185758000.0,0.0,5476043000.0,,,1092072000.0,73103000.0,,411295000.0,5570583000.0,2922203000.0,2006872000.0,,,,,274047000.0,815677000.0,,,131281000.0,-7346553000.0,113070000.0,6959344000.0,-1906525000.0,4194027000.0,2410976000.0,-1906525000.0,-1906525000.0,8865869000.0,6959344000.0,758445000.0,6454893000.0,
Rite Aid Corp,RAD,,84129,2015.0,Q1,,2014-05-31,2014-07-03 10:47:25+00:00,1364271000.0,910624000.0,-36675000.0,71988000.0,166003000.0,0.0,5464723000.0,,,1078442000.0,83971000.0,,420507000.0,5519580000.0,2933316000.0,1974204000.0,,,,,269299000.0,845772000.0,,,188593000.0,-7474402000.0,112818000.0,6946517000.0,-2046354000.0,4198536000.0,2555531000.0,-2046354000.0,-2046354000.0,8992871000.0,6946517000.0,773777000.0,6437340000.0,
