company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,dilutedeps,impairmentexpense,incometaxexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,operatingcostofrevenue,operatingrevenue,otherincome,otherspecialcharges,preferreddividends,restructuringcharge,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Rite Aid Corp,RAD,,84129,2009.0,FY,2008-03-02,2009-02-28,2011-04-26 15:11:56+00:00,-3.49,-3.49,-3.49,2103966000.0,329257000.0,-2915420000.0,-2912051000.0,-3369000.0,-2937290000.0,19253616000.0,26289268000.0,,11581000.0,21870000.0,39905000.0,6985367000.0,19253616000.0,7035652000.0,477627000.0,9140819000.0,-2105167000.0,-477627000.0,-2582794000.0,26289268000.0,841600000.0,841600000.0,841600000.0
Rite Aid Corp,RAD,,84129,2010.0,FY,2009-03-01,2010-02-27,2011-04-26 15:11:56+00:00,-0.59,-0.59,-0.59,208017000.0,26758000.0,-506676000.0,-506676000.0,,-515585000.0,18845027000.0,25669117000.0,,-24137000.0,8909000.0,993000.0,6603372000.0,18845027000.0,6824090000.0,515763000.0,6788245000.0,35845000.0,-515763000.0,-479918000.0,25669117000.0,873900000.0,873900000.0,873900000.0
Rite Aid Corp,RAD,,84129,2010.0,Q3,2009-08-30,2009-11-28,2011-01-06 10:13:36+00:00,-0.1,-0.1,-0.1,35072000.0,-4322000.0,-83862000.0,-83862000.0,,-86106000.0,4665871000.0,6352283000.0,,-1459000.0,2244000.0,,1605213000.0,4665871000.0,1686412000.0,135770000.0,1638826000.0,47586000.0,-135770000.0,-88184000.0,6352283000.0,861100000.0,861100000.0,861100000.0
Rite Aid Corp,RAD,,84129,2010.0,Q2,2009-05-31,2009-08-29,2010-10-07 09:38:29+00:00,-0.14,-0.14,-0.14,28752000.0,3989000.0,-116012000.0,-116012000.0,,-120376000.0,4633595000.0,6321870000.0,,-3195000.0,4364000.0,,1645913000.0,4633595000.0,1688275000.0,128828000.0,1671470000.0,16805000.0,-128828000.0,-112023000.0,6321870000.0,859800000.0,859800000.0,859800000.0
Rite Aid Corp,RAD,,84129,2011.0,Q4,2010-11-28,2011-02-26,,-0.23,-0.23,-0.23,154073000.0,1488000.0,-205693000.0,-205693000.0,,-208107000.0,4755479000.0,6456466000.0,,-11438000.0,2414000.0,,1630053000.0,4755479000.0,1700987000.0,132504000.0,1772688000.0,-71701000.0,-132504000.0,-204205000.0,6456466000.0,882947000.0,882947000.0,882947000.0
Rite Aid Corp,RAD,,84129,2011.0,FY,2010-02-28,2011-02-26,2013-04-23 15:57:40+00:00,-0.64,-0.64,-0.64,210893000.0,9842000.0,-555424000.0,-555424000.0,,-564872000.0,18522403000.0,25214907000.0,,21779000.0,9448000.0,,6457833000.0,18522403000.0,6692504000.0,547581000.0,6690505000.0,1999000.0,-547581000.0,-545582000.0,25214907000.0,882947000.0,882947000.0,882947000.0
Rite Aid Corp,RAD,,84129,2011.0,Q3,2010-08-29,2010-11-27,2011-01-06 10:13:36+00:00,-0.09,-0.09,-0.09,17003000.0,-1613000.0,-79071000.0,-79071000.0,,-81451000.0,4561200000.0,6202353000.0,,-7050000.0,2380000.0,,1578142000.0,4561200000.0,1641153000.0,133742000.0,1588095000.0,53058000.0,-133742000.0,-80684000.0,6202353000.0,905000000.0,905000000.0,905000000.0
Rite Aid Corp,RAD,,84129,2011.0,Q3YTD,2010-02-28,2010-11-27,,-0.41,-0.41,-0.41,56820000.0,8354000.0,-349731000.0,-349731000.0,,-356765000.0,13766924000.0,18758441000.0,,33217000.0,7034000.0,,4827780000.0,13766924000.0,4991517000.0,415077000.0,4917817000.0,73700000.0,-415077000.0,-341377000.0,18758441000.0,905000000.0,905000000.0,905000000.0
Rite Aid Corp,RAD,,84129,2011.0,Q2,2010-05-30,2010-08-28,2010-10-07 09:38:29+00:00,-0.23,-0.23,-0.23,26360000.0,2826000.0,-196976000.0,-196976000.0,,-199320000.0,4523092000.0,6161752000.0,,40030000.0,2344000.0,,1626704000.0,4523092000.0,1638660000.0,139716000.0,1693094000.0,-54434000.0,-139716000.0,-194150000.0,6161752000.0,866600000.0,866600000.0,866600000.0
Rite Aid Corp,RAD,,84129,2011.0,Q2YTD,2010-02-28,2010-08-28,,-0.32,-0.32,-0.32,39817000.0,9967000.0,-270660000.0,-270660000.0,,-275314000.0,9205724000.0,12556088000.0,,40267000.0,4654000.0,,3249638000.0,9205724000.0,3350364000.0,281335000.0,3329722000.0,20642000.0,-281335000.0,-260693000.0,12556088000.0,866600000.0,866600000.0,866600000.0
