company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,cashdividendspershare,depreciationexpense,dilutedeps,extraordinaryincome,impairmentexpense,incometaxexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,othergains,otherincome,otheroperatingexpenses,otherrevenue,otherspecialcharges,preferreddividends,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totalinterestincome,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
American Electric Power Company Inc,AEP,1B4S6S7G0TW5EE83BO58,4904,2007.0,FY,2007-01-01,2007-12-31,2010-02-26 15:29:54+00:00,2.73,2.73,1.58,1513000000.0,2.72,-79000000.0,0.0,516000000.0,1098000000.0,1153000000.0,24000000.0,1089000000.0,6000000.0,7631000000.0,12101000000.0,6000000.0,33000000.0,1917000000.0,1279000000.0,,3000000.0,7631000000.0,5749000000.0,838000000.0,149000000.0,3430000000.0,2319000000.0,-656000000.0,1663000000.0,13380000000.0,398900000.0,398784745.0,400198799.0
American Electric Power Company Inc,AEP,1B4S6S7G0TW5EE83BO58,4904,2008.0,FY,2008-01-01,2008-12-31,2011-02-25 13:48:40+00:00,3.43,3.43,1.64,1483000000.0,3.42,0.0,-255000000.0,642000000.0,1388000000.0,1376000000.0,12000000.0,1380000000.0,5000000.0,8611000000.0,13326000000.0,3000000.0,,1814000000.0,1114000000.0,,3000000.0,8611000000.0,5829000000.0,957000000.0,185000000.0,3042000000.0,2787000000.0,-772000000.0,2015000000.0,14440000000.0,402300000.0,402083847.0,403640708.0
American Electric Power Company Inc,AEP,1B4S6S7G0TW5EE83BO58,4904,2008.0,Q3,2008-07-01,2008-09-30,2009-10-30 12:45:35+00:00,0.93,0.93,0.41,387000000.0,0.93,0.0,0.0,192000000.0,376000000.0,376000000.0,0.0,374000000.0,1000000.0,1874000000.0,4108000000.0,1000000.0,11000000.0,1199000000.0,83000000.0,-6000000.0,1000000.0,1874000000.0,2317000000.0,216000000.0,35000000.0,1580000000.0,737000000.0,-170000000.0,567000000.0,4191000000.0,402200000.0,402286779.0,403910309.0
American Electric Power Company Inc,AEP,1B4S6S7G0TW5EE83BO58,4904,2009.0,FY,2009-01-01,2009-12-31,2010-02-26 15:29:54+00:00,2.96,2.96,1.64,1597000000.0,2.96,-5000000.0,0.0,575000000.0,1365000000.0,1370000000.0,0.0,1357000000.0,5000000.0,7151000000.0,12733000000.0,7000000.0,82000000.0,1970000000.0,756000000.0,,3000000.0,7151000000.0,6338000000.0,973000000.0,58000000.0,3567000000.0,2771000000.0,-833000000.0,1938000000.0,13489000000.0,458400000.0,458677534.0,458982292.0
American Electric Power Company Inc,AEP,1B4S6S7G0TW5EE83BO58,4904,2009.0,Q4,2009-10-01,2009-12-31,,0.47,0.47,0.41,397000000.0,0.47,,,40000000.0,239000000.0,239000000.0,,238000000.0,,1837000000.0,3067000000.0,2000000.0,66000000.0,567000000.0,215000000.0,,1000000.0,1837000000.0,1445000000.0,247000000.0,-23000000.0,964000000.0,481000000.0,-204000000.0,277000000.0,3282000000.0,458400000.0,458677534.0,458982292.0
American Electric Power Company Inc,AEP,1B4S6S7G0TW5EE83BO58,4904,2009.0,Q3,2009-07-01,2009-09-30,2010-11-01 16:45:22+00:00,0.93,0.93,0.41,421000000.0,0.93,0.0,,208000000.0,446000000.0,446000000.0,,443000000.0,2000000.0,1820000000.0,3364000000.0,4000000.0,,448000000.0,183000000.0,,1000000.0,1820000000.0,1727000000.0,248000000.0,40000000.0,869000000.0,858000000.0,-208000000.0,650000000.0,3547000000.0,476300000.0,476948143.0,477111144.0
American Electric Power Company Inc,AEP,1B4S6S7G0TW5EE83BO58,4904,2009.0,Q3YTD,2009-01-01,2009-09-30,,2.49,2.49,1.23,1200000000.0,2.49,-5000000.0,,535000000.0,1126000000.0,1131000000.0,,1119000000.0,5000000.0,5314000000.0,9666000000.0,5000000.0,16000000.0,1403000000.0,541000000.0,,2000000.0,5314000000.0,4893000000.0,726000000.0,81000000.0,2603000000.0,2290000000.0,-629000000.0,1661000000.0,10207000000.0,476300000.0,476948143.0,477111144.0
American Electric Power Company Inc,AEP,1B4S6S7G0TW5EE83BO58,4904,2009.0,Q2YTD,2009-01-01,2009-06-30,,1.56,1.56,0.82,779000000.0,1.56,-5000000.0,,327000000.0,680000000.0,685000000.0,,676000000.0,3000000.0,3494000000.0,6302000000.0,1000000.0,16000000.0,955000000.0,358000000.0,,1000000.0,3494000000.0,3166000000.0,478000000.0,41000000.0,1734000000.0,1432000000.0,-421000000.0,1011000000.0,6660000000.0,471600000.0,472220041.0,472222817.0
American Electric Power Company Inc,AEP,1B4S6S7G0TW5EE83BO58,4904,2009.0,Q2,2009-04-01,2009-06-30,2010-07-30 13:31:45+00:00,0.67,0.67,0.41,397000000.0,0.67,-5000000.0,,148000000.0,317000000.0,322000000.0,,316000000.0,1000000.0,1660000000.0,3035000000.0,1000000.0,,463000000.0,167000000.0,,0.0,1660000000.0,1542000000.0,240000000.0,27000000.0,860000000.0,682000000.0,-213000000.0,469000000.0,3202000000.0,471600000.0,472220041.0,472222817.0
American Electric Power Company Inc,AEP,1B4S6S7G0TW5EE83BO58,4904,2009.0,Q1,2009-01-01,2009-03-31,2010-04-30 16:15:15+00:00,0.89,0.89,0.41,382000000.0,0.89,,,179000000.0,363000000.0,363000000.0,,360000000.0,2000000.0,1834000000.0,3267000000.0,0.0,16000000.0,492000000.0,191000000.0,,1000000.0,1834000000.0,1624000000.0,238000000.0,14000000.0,874000000.0,750000000.0,-208000000.0,542000000.0,3458000000.0,404500000.0,406826606.0,407381954.0
