company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,accountspayable,accountsreceivable,accumulateddepreciation,aoci,cashandequivalents,commonequity,goodwill,grossppe,intangibleassets,longtermdebt,netinventory,netppe,noncontrollinginterests,noncurrentdeferredtaxliabilities,noncurrentemployeebenefitliabilities,othercurrentassets,othercurrentnonoperatingassets,othercurrentnonoperatingliabilities,othernoncurrentassets,othernoncurrentliabilities,othernoncurrentnonoperatingassets,othernoncurrentnonoperatingliabilities,retainedearnings,shorttermdebt,shortterminvestments,totalassets,totalcommonequity,totalcurrentassets,totalcurrentliabilities,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalnoncurrentassets,totalnoncurrentliabilities,treasurystock
Eastman Chemical Co,EMN,FDPVHDGJ1IQZFK9KH630,915389,2008.0,FY,,2008-12-31,2010-02-24 17:30:01+00:00,819000000.0,354000000.0,5329000000.0,-335000000.0,387000000.0,639000000.0,325000000.0,8527000000.0,,1442000000.0,637000000.0,3198000000.0,,106000000.0,1246000000.0,45000000.0,,,335000000.0,102000000.0,,,2563000000.0,13000000.0,,5281000000.0,1553000000.0,1423000000.0,832000000.0,1553000000.0,1553000000.0,3728000000.0,5281000000.0,660000000.0,2896000000.0,-1314000000.0
Eastman Chemical Co,EMN,FDPVHDGJ1IQZFK9KH630,915389,2009.0,FY,,2009-12-31,2011-02-23 08:53:11+00:00,800000000.0,379000000.0,5415000000.0,-385000000.0,793000000.0,662000000.0,315000000.0,8525000000.0,,1604000000.0,531000000.0,3110000000.0,,258000000.0,1221000000.0,32000000.0,0.0,0.0,355000000.0,119000000.0,0.0,0.0,2571000000.0,0.0,,5515000000.0,1513000000.0,1735000000.0,800000000.0,1513000000.0,1513000000.0,4002000000.0,5515000000.0,670000000.0,3202000000.0,-1335000000.0
Eastman Chemical Co,EMN,FDPVHDGJ1IQZFK9KH630,915389,2009.0,Q3,,2009-09-30,2009-10-23 16:52:48+00:00,827000000.0,384000000.0,5363000000.0,-326000000.0,668000000.0,650000000.0,326000000.0,8636000000.0,,1440000000.0,495000000.0,3273000000.0,,274000000.0,1250000000.0,33000000.0,,,375000000.0,117000000.0,,,2635000000.0,1000000.0,,5554000000.0,1645000000.0,1580000000.0,828000000.0,1645000000.0,1645000000.0,3909000000.0,5554000000.0,701000000.0,3081000000.0,-1314000000.0
Eastman Chemical Co,EMN,FDPVHDGJ1IQZFK9KH630,915389,2009.0,Q2,,2009-06-30,2009-07-30 15:57:56+00:00,706000000.0,483000000.0,5301000000.0,-321000000.0,450000000.0,644000000.0,325000000.0,8573000000.0,,1440000000.0,443000000.0,3272000000.0,,248000000.0,1262000000.0,29000000.0,0.0,0.0,354000000.0,114000000.0,0.0,,2566000000.0,11000000.0,,5356000000.0,1575000000.0,1405000000.0,717000000.0,1575000000.0,1575000000.0,3781000000.0,5356000000.0,679000000.0,3064000000.0,-1314000000.0
Eastman Chemical Co,EMN,FDPVHDGJ1IQZFK9KH630,915389,2010.0,FY,,2010-12-31,2012-02-22 09:12:22+00:00,1012000000.0,676000000.0,5063000000.0,-432000000.0,516000000.0,795000000.0,375000000.0,8282000000.0,,1598000000.0,608000000.0,3219000000.0,,284000000.0,1274000000.0,30000000.0,217000000.0,52000000.0,322000000.0,130000000.0,23000000.0,3000000.0,2879000000.0,6000000.0,0.0,5986000000.0,1627000000.0,2047000000.0,1070000000.0,1627000000.0,1627000000.0,4359000000.0,5986000000.0,720000000.0,3289000000.0,-1615000000.0
Eastman Chemical Co,EMN,FDPVHDGJ1IQZFK9KH630,915389,2010.0,Q3,,2010-09-30,2010-11-01 16:49:34+00:00,936000000.0,767000000.0,5546000000.0,-392000000.0,642000000.0,711000000.0,377000000.0,8712000000.0,,1602000000.0,652000000.0,3166000000.0,,297000000.0,1198000000.0,40000000.0,,,345000000.0,142000000.0,,,2894000000.0,4000000.0,,5989000000.0,1810000000.0,2101000000.0,940000000.0,1810000000.0,1810000000.0,4179000000.0,5989000000.0,722000000.0,3239000000.0,-1403000000.0
Eastman Chemical Co,EMN,FDPVHDGJ1IQZFK9KH630,915389,2010.0,Q2,,2010-06-30,2010-08-03 15:41:07+00:00,880000000.0,809000000.0,5476000000.0,-389000000.0,435000000.0,698000000.0,376000000.0,8631000000.0,,1605000000.0,635000000.0,3155000000.0,,285000000.0,1216000000.0,30000000.0,,,359000000.0,130000000.0,,,2756000000.0,6000000.0,,5799000000.0,1677000000.0,1909000000.0,886000000.0,1677000000.0,1677000000.0,4122000000.0,5799000000.0,735000000.0,3236000000.0,-1388000000.0
Eastman Chemical Co,EMN,FDPVHDGJ1IQZFK9KH630,915389,2010.0,Q1,,2010-03-31,2010-04-26 17:30:30+00:00,866000000.0,774000000.0,5459000000.0,-388000000.0,483000000.0,672000000.0,314000000.0,8626000000.0,,1603000000.0,588000000.0,3167000000.0,,261000000.0,1225000000.0,32000000.0,,,290000000.0,120000000.0,,,2640000000.0,4000000.0,,5648000000.0,1569000000.0,1877000000.0,870000000.0,1569000000.0,1569000000.0,4079000000.0,5648000000.0,604000000.0,3209000000.0,-1355000000.0
Eastman Chemical Co,EMN,FDPVHDGJ1IQZFK9KH630,915389,2011.0,FY,,2011-12-31,2013-02-28 16:46:34+00:00,961000000.0,704000000.0,5276000000.0,138000000.0,577000000.0,902000000.0,406000000.0,8383000000.0,101000000.0,1445000000.0,779000000.0,3107000000.0,31000000.0,210000000.0,1411000000.0,42000000.0,,,268000000.0,103000000.0,,,2760000000.0,153000000.0,200000000.0,6184000000.0,1870000000.0,2302000000.0,1114000000.0,1870000000.0,1901000000.0,4283000000.0,6184000000.0,775000000.0,3169000000.0,-1930000000.0
Eastman Chemical Co,EMN,FDPVHDGJ1IQZFK9KH630,915389,2011.0,Q3,,2011-09-30,2011-11-01 10:56:38+00:00,1047000000.0,806000000.0,5245000000.0,-447000000.0,448000000.0,890000000.0,410000000.0,8303000000.0,,1445000000.0,850000000.0,3058000000.0,,241000000.0,1243000000.0,49000000.0,0.0,0.0,361000000.0,144000000.0,0.0,0.0,3372000000.0,154000000.0,201000000.0,6183000000.0,1909000000.0,2354000000.0,1201000000.0,1909000000.0,1909000000.0,4274000000.0,6183000000.0,771000000.0,3073000000.0,-1906000000.0
