company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,cashdividendspershare,dilutedeps,incometaxexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,otheradjustmentstoconsolidatednetincome,otherincome,otheroperatingexpenses,rdexpense,restructuringcharge,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totalinterestincome,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Eastman Chemical Co,EMN,FDPVHDGJ1IQZFK9KH630,915389,2007.0,FY,2007-01-01,2007-12-31,2010-02-24 17:30:01+00:00,3.63,3.63,,3.84,149000000.0,300000000.0,321000000.0,-21000000.0,300000000.0,,5638000000.0,6830000000.0,,28000000.0,0.0,156000000.0,112000000.0,420000000.0,5638000000.0,1192000000.0,62000000.0,,688000000.0,504000000.0,-34000000.0,470000000.0,6830000000.0,82600000.0,82600000.0,78100000.0
Eastman Chemical Co,EMN,FDPVHDGJ1IQZFK9KH630,915389,2008.0,FY,2008-01-01,2008-12-31,2011-02-23 08:53:11+00:00,4.59,4.59,,4.55,116000000.0,363000000.0,345000000.0,18000000.0,346000000.0,17000000.0,4852000000.0,5936000000.0,,-20000000.0,-16000000.0,143000000.0,22000000.0,384000000.0,4852000000.0,1084000000.0,70000000.0,,533000000.0,551000000.0,-90000000.0,461000000.0,5936000000.0,75400000.0,75400000.0,76000000.0
Eastman Chemical Co,EMN,FDPVHDGJ1IQZFK9KH630,915389,2008.0,Q3,2008-07-01,2008-09-30,2009-10-23 16:52:48+00:00,1.35,1.35,,1.33,48000000.0,100000000.0,100000000.0,0.0,100000000.0,,1497000000.0,1819000000.0,,-7000000.0,,39000000.0,2000000.0,107000000.0,1497000000.0,322000000.0,19000000.0,,148000000.0,174000000.0,-26000000.0,148000000.0,1819000000.0,74100000.0,74100000.0,75200000.0
Eastman Chemical Co,EMN,FDPVHDGJ1IQZFK9KH630,915389,2008.0,Q2,2008-04-01,2008-06-30,2009-07-30 15:57:56+00:00,1.51,1.51,,1.48,38000000.0,115000000.0,115000000.0,0.0,115000000.0,,1513000000.0,1834000000.0,0.0,-1000000.0,0.0,39000000.0,3000000.0,107000000.0,1513000000.0,321000000.0,18000000.0,0.0,149000000.0,172000000.0,-19000000.0,153000000.0,1834000000.0,76200000.0,76200000.0,77700000.0
Eastman Chemical Co,EMN,FDPVHDGJ1IQZFK9KH630,915389,2009.0,Q4,2009-10-01,2009-12-31,,-0.22,-0.22,0.22,-0.22,-10000000.0,-32000000.0,-14000000.0,-18000000.0,-32000000.0,,412000000.0,677000000.0,,-2000000.0,,23000000.0,173000000.0,71000000.0,412000000.0,265000000.0,20000000.0,,267000000.0,-2000000.0,-22000000.0,-24000000.0,677000000.0,145000000.0,145000000.0,145000000.0
Eastman Chemical Co,EMN,FDPVHDGJ1IQZFK9KH630,915389,2009.0,FY,2009-01-01,2009-12-31,2012-02-22 09:12:22+00:00,0.94,0.94,0.88,0.93,100000000.0,136000000.0,154000000.0,-18000000.0,136000000.0,,3364000000.0,4396000000.0,,-13000000.0,,124000000.0,196000000.0,367000000.0,3364000000.0,1032000000.0,78000000.0,,687000000.0,345000000.0,-91000000.0,254000000.0,4396000000.0,145000000.0,145000000.0,145000000.0
Eastman Chemical Co,EMN,FDPVHDGJ1IQZFK9KH630,915389,2009.0,Q3,2009-07-01,2009-09-30,2010-11-01 16:49:34+00:00,1.4,1.4,,1.38,69000000.0,101000000.0,101000000.0,,101000000.0,,1009000000.0,1337000000.0,,-2000000.0,,33000000.0,0.0,104000000.0,1009000000.0,328000000.0,19000000.0,,137000000.0,191000000.0,-21000000.0,170000000.0,1337000000.0,72100000.0,72100000.0,73200000.0
Eastman Chemical Co,EMN,FDPVHDGJ1IQZFK9KH630,915389,2009.0,Q3YTD,2009-01-01,2009-09-30,,2.33,2.33,1.33,2.33,110000000.0,168000000.0,168000000.0,,168000000.0,,2952000000.0,3719000000.0,,-11000000.0,,101000000.0,23000000.0,296000000.0,2952000000.0,767000000.0,58000000.0,,420000000.0,347000000.0,-69000000.0,278000000.0,3719000000.0,72100000.0,72100000.0,73200000.0
Eastman Chemical Co,EMN,FDPVHDGJ1IQZFK9KH630,915389,2009.0,Q2,2009-04-01,2009-06-30,2009-07-30 15:57:56+00:00,0.89,0.89,,0.89,41000000.0,65000000.0,65000000.0,0.0,65000000.0,,993000000.0,1253000000.0,0.0,-5000000.0,0.0,34000000.0,-3000000.0,98000000.0,993000000.0,260000000.0,20000000.0,0.0,129000000.0,131000000.0,-25000000.0,106000000.0,1253000000.0,73000000.0,73000000.0,73000000.0
Eastman Chemical Co,EMN,FDPVHDGJ1IQZFK9KH630,915389,2009.0,Q2YTD,2009-01-01,2009-06-30,,0.92,0.92,0.88,0.92,41000000.0,67000000.0,67000000.0,,67000000.0,,1943000000.0,2382000000.0,,-9000000.0,,68000000.0,23000000.0,192000000.0,1943000000.0,439000000.0,39000000.0,,283000000.0,156000000.0,-48000000.0,108000000.0,2382000000.0,73000000.0,73000000.0,73000000.0
