company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,cashdividendspershare,depreciationexpense,dilutedeps,impairmentexpense,incometaxexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,otheradjustmentstoconsolidatednetincome,otheradjustmentstonetincometocommon,otherincome,otheroperatingexpenses,otherspecialcharges,preferreddividends,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totalinterestincome,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Williams Companies Inc,WMB,D71FAKCBLFS2O0RBPG08,107263,2007.0,FY,2007-01-01,2007-12-31,2010-02-25 19:56:50+00:00,1.66,1.66,,,1.63,,490000000.0,1080000000.0,910000000.0,170000000.0,990000000.0,90000000.0,7832000000.0,10239000000.0,,,12000000.0,-2000000.0,,,622000000.0,7832000000.0,2407000000.0,651000000.0,252000000.0,620000000.0,1787000000.0,-387000000.0,1400000000.0,10239000000.0,596400000.0,596174000.0,609866000.0
Williams Companies Inc,WMB,D71FAKCBLFS2O0RBPG08,107263,2008.0,FY,2008-01-01,2008-12-31,2011-02-24 21:43:46+00:00,2.44,2.44,,,2.4,153000000.0,677000000.0,1592000000.0,1467000000.0,125000000.0,1418000000.0,174000000.0,8776000000.0,11890000000.0,,,,-225000000.0,,,653000000.0,8776000000.0,3114000000.0,578000000.0,189000000.0,581000000.0,2533000000.0,-389000000.0,2144000000.0,11890000000.0,581100000.0,581342000.0,592719000.0
Williams Companies Inc,WMB,D71FAKCBLFS2O0RBPG08,107263,2008.0,Q3,2008-07-01,2008-09-30,2009-10-29 07:29:34+00:00,0.63,0.63,0.11,,0.62,,199000000.0,421000000.0,411000000.0,10000000.0,366000000.0,55000000.0,2344000000.0,3201000000.0,,,2000000.0,1000000.0,,,167000000.0,2344000000.0,857000000.0,146000000.0,65000000.0,168000000.0,689000000.0,-79000000.0,610000000.0,3201000000.0,581000000.0,577448000.0,589138000.0
Williams Companies Inc,WMB,D71FAKCBLFS2O0RBPG08,107263,2008.0,Q2,2008-04-01,2008-06-30,2009-08-26 18:40:07+00:00,0.75,0.75,0.11,,0.73,,257000000.0,500000000.0,471000000.0,29000000.0,437000000.0,63000000.0,2697000000.0,3657000000.0,,,0.0,-32000000.0,,,173000000.0,2697000000.0,960000000.0,145000000.0,54000000.0,141000000.0,819000000.0,-91000000.0,728000000.0,3657000000.0,582700000.0,583400000.0,596187000.0
Williams Companies Inc,WMB,D71FAKCBLFS2O0RBPG08,107263,2009.0,Q4,2009-10-01,2009-12-31,,-0.18,-0.18,-0.33,,-0.19,,-223000000.0,-139000000.0,-362000000.0,223000000.0,-113000000.0,-26000000.0,-4373000000.0,-5929000000.0,,,2000000.0,-33000000.0,,,-498000000.0,-4373000000.0,-1556000000.0,-440000000.0,-2000000.0,-531000000.0,-1025000000.0,440000000.0,-585000000.0,-5929000000.0,,,
Williams Companies Inc,WMB,D71FAKCBLFS2O0RBPG08,107263,2009.0,Q3YTD,2009-01-01,2009-09-30,,0.18,0.18,0.33,,0.19,,223000000.0,139000000.0,362000000.0,-223000000.0,113000000.0,26000000.0,4373000000.0,5929000000.0,,,-2000000.0,33000000.0,,,498000000.0,4373000000.0,1556000000.0,440000000.0,2000000.0,531000000.0,1025000000.0,-440000000.0,585000000.0,5929000000.0,595800000.0,583103000.0,590059000.0
Williams Companies Inc,WMB,D71FAKCBLFS2O0RBPG08,107263,2009.0,Q3,2009-07-01,2009-09-30,2010-10-28 11:32:09+00:00,0.24,0.24,0.11,,0.24,0.0,87000000.0,194000000.0,192000000.0,2000000.0,143000000.0,51000000.0,1537000000.0,2098000000.0,,,-1000000.0,1000000.0,,,166000000.0,1537000000.0,561000000.0,153000000.0,39000000.0,167000000.0,394000000.0,-115000000.0,279000000.0,2098000000.0,595800000.0,583103000.0,590059000.0
Williams Companies Inc,WMB,D71FAKCBLFS2O0RBPG08,107263,2009.0,Q2YTD,2009-01-01,2009-06-30,,-0.06,-0.06,0.22,,-0.05,,136000000.0,-55000000.0,170000000.0,-225000000.0,-30000000.0,-25000000.0,2836000000.0,3831000000.0,,,-1000000.0,32000000.0,,,332000000.0,2836000000.0,995000000.0,287000000.0,-37000000.0,364000000.0,631000000.0,-325000000.0,306000000.0,3831000000.0,591700000.0,580726000.0,588780000.0
Williams Companies Inc,WMB,D71FAKCBLFS2O0RBPG08,107263,2009.0,Q2,2009-04-01,2009-06-30,2010-08-13 17:11:09+00:00,0.24,0.24,0.11,,0.24,,80000000.0,169000000.0,151000000.0,18000000.0,142000000.0,27000000.0,1392000000.0,1909000000.0,,,1000000.0,-1000000.0,,,167000000.0,1392000000.0,517000000.0,145000000.0,24000000.0,166000000.0,351000000.0,-120000000.0,231000000.0,1909000000.0,591700000.0,580726000.0,588780000.0
Williams Companies Inc,WMB,D71FAKCBLFS2O0RBPG08,107263,2009.0,Q1,2009-01-01,2009-03-31,2010-05-05 07:45:47+00:00,-0.3,-0.3,0.11,,-0.29,,56000000.0,-224000000.0,19000000.0,-243000000.0,-172000000.0,-52000000.0,1444000000.0,1922000000.0,,,-2000000.0,33000000.0,,,165000000.0,1444000000.0,478000000.0,142000000.0,-61000000.0,198000000.0,280000000.0,-205000000.0,75000000.0,1922000000.0,573300000.0,579495000.0,582361000.0
