id,company_id,name,code,currency,ticker,composite_ticker,figi,composite_figi,share_class_figi
sec_agjrgj,com_NX6GzO,Apple Inc,EQS,USD,AAPL,AAPL:US,BBG000B9Y5X2,BBG000B9XRY4,BBG001S5N8V8
sec_gkmNYz,com_2zvNzA,Exxon Mobil Corp.,EQS,USD,XOM,XOM:US,BBG000GZQBJ1,BBG000GZQ728,BBG001S69V32
sec_gPV3vz,com_0XLDXx,Oracle Corp.,EQS,USD,ORCL,ORCL:US,BBG000BQLY10,BBG000BQLTW7,BBG001S5SJG6
sec_X7m9Zy,com_VXWJgv,Coca-Cola Co,EQS,USD,KO,KO:US,BBG000BMX4N8,BBG000BMX289,BBG001S5SMQ8
sec_zvNxEz,com_NgYGzd,Intel Corp.,EQS,USD,INTC,INTC:US,BBG000C0GFS4,BBG000C0G1D1,BBG001S5SF65
sec_zqdrkX,com_NgPvzd,Walmart Inc,EQS,USD,WMT,WMT:US,BBG000BWXCP6,BBG000BWXBC2,BBG001S5XH92
sec_XaL6mg,com_qzEByJ,Microsoft Corporation,EQS,USD,MSFT,MSFT:US,BBG000BPHFS9,BBG000BPH459,BBG001S5TD05
sec_zolNZy,com_dXOKXo,International Business Machines Corp.,EQS,USD,IBM,IBM:US,BBG000BLNQ16,BBG000BLNNH6,BBG001S5S399
sec_5ydlEy,com_DzonXe,Chevron Corp.,EQS,USD,CVX,CVX:US,BBG000K4NHJ5,BBG000K4ND22,BBG001S67ZC5
sec_gNQwMy,com_nzJNzB,Johnson & Johnson,EQS,USD,JNJ,JNJ:US,BBG000BMHZY5,BBG000BMHYD1,BBG001S5SHQ9
sec_gYrd52,com_bzqpXx,Walt Disney Co (The),EQS,USD,DIS,DIS:US,BBG000BH4SB1,BBG000BH4R78,BBG001S5QHF3
sec_yR8RMX,com_AXGAyM,Pepsico Inc.,EQS,USD,PEP,PEP:US,BBG000DH7LV9,BBG000DH7JK6,BBG001S695T1
sec_gYoPbz,com_PypZX3,Procter & Gamble Co.,EQS,USD,PG,PG:US,BBG000BR2WS4,BBG000BR2TH3,BBG001S5V4L9
sec_ge84Gy,com_xgxWyr,Pfizer Inc.,EQS,USD,PFE,PFE:US,BBG000BR2F10,BBG000BR2B91,BBG001S5V466
sec_zM9xoz,com_BgkOge,"United Parcel Service, Inc.",EQS,USD,UPS,UPS:US,BBG000L9CXY3,BBG000L9CV04,BBG001SDGSH1
sec_XnGP4z,com_agjrgj,Verizon Communications Inc,EQS,USD,VZ,VZ:US,BBG000HS79Q4,BBG000HS77T5,BBG001S67QY1
sec_qzE5pz,com_wy3Dg8,Boeing Co.,EQS,USD,BA,BA:US,BBG000BCSV38,BBG000BCSST7,BBG001S5P0V3
sec_gQ8B8y,com_jyRlXM,Facebook Inc,EQS,USD,FB,FB:US,BBG002GPKKZ7,BBG000MM2P62,BBG001SQCQC5
