Ticker,Name,Date
A,Agilent Technologies Inc,367
AAL,American Airlines Group,64
AAP,Advance Auto Parts,60
AAPL,Apple Inc.,367
ABBV,AbbVie Inc.,91
ABC,AmerisourceBergen Corp,367
ABK,Ambac Financial,90
ABMD,ABIOMED Inc,26
ABS,Albertsons,198
ABT,Abbott Laboratories,367
ACAS,American Capital,231
ACN,Accenture plc,108
ADBE,Adobe Inc.,367
ADI,"Analog Devices, Inc.",367
ADM,Archer-Daniels-Midland Co,367
ADP,Automatic Data Processing,367
ADS,Alliance Data Systems,78
ADSK,Autodesk Inc.,367
ADT,ADT Corp,43
AEE,Ameren Corp,367
AEP,American Electric Power,367
AES,AES Corp,367
AET,Aetna Inc,348
AFL,AFLAC Inc,367
AGN,Allergan,365
AGN,"Allergan, Inc",303
AIG,American International Group,367
AIV,Apartment Investment & Management,367
AIZ,Assurant,367
AJG,Arthur J. Gallagher & Co.,50
AKAM,Akamai Technologies Inc,367
AKS,AK Steel Holding Corp.,264
ALB,Albemarle Corp,48
ALGN,Align Technology,37
ALK,Alaska Air Group Inc,50
ALL,Allstate Corp,367
ALLE,Allegion,79
ALTR,Altera Corp,312
ALXN,Alexion Pharmaceuticals,98
AMAT,Applied Materials Inc.,367
AMCR,Amcor plc,367
AMD,Advanced Micro Devices,285
AMD,Advanced Micro Devices Inc,40
AME,AMETEK Inc.,82
AMG,Affiliated Managers Group,65
AMGN,Amgen Inc.,367
AMP,Ameriprise Financial,367
AMT,American Tower Corp.,367
AMZN,Amazon.com Inc.,367
AN,AutoNation Inc,332
ANDV,Andeavor,346
ANET,Arista Networks,23
ANF,Abercrombie & Fitch,288
ANR,Alpha Natural Resources,16
ANSS,ANSYS,37
ANTM,Anthem,367
AON,Aon plc,367
AOS,A.O. Smith Corp,36
APA,Apache Corporation,367
APC,Anadarko Petroleum,356
APD,Air Products & Chemicals Inc,367
APH,Amphenol Corp,367
APOL,Apollo Group Inc.,282
APTV,Aptiv PLC,367
ARE,Alexandria Real Estate Equities,40
ARG,Airgas Inc,80
ATI,Allegheny Technologies,307
ATO,Atmos Energy,17
ATVI,Activision Blizzard,59
AV,Avaya Inc.,214
AVB,AvalonBay Communities,162
AVGO,Broadcom Inc.,74
AVP,Avon Products,303
AVY,Avery Dennison Corp,367
AWK,American Water Works Company Inc,52
AXP,American Express Co,367
AYE,Allegheny Energy Inc.,122
AYI,Acuity Brands,25
AZO,AutoZone Inc,367
BA,Boeing Company,367
BAC,Bank of America Corp,367
BAX,Baxter International Inc.,367
BBBY,Bed Bath & Beyond,331
BBY,Best Buy Co. Inc.,367
BCR,CR Bard,337
BDX,Becton Dickinson,367
BEAM,Beam Inc.,293
BEN,Franklin Resources,367
BF.B,Brown-Forman Corp.,367
BHF,Brighthouse Financial,20
BIG,Big Lots Inc.,278
BIIB,Biogen Inc.,367
BIO,Bio-Rad Laboratories,1
BJS,BJ Services Company,244
BK,The Bank of New York Mellon,367
BKNG,Booking Holdings Inc,367
BKR,Baker Hughes Co,367
BLK,BlackRock,111
BLL,Ball Corp,367
BMC,BMC Software,285
BMS,Bemis Company,300
BMY,Bristol-Myers Squibb,367
BR,Broadridge Financial Solutions,25
BRCM,Broadcom Corporation,314
BRK.B,Berkshire Hathaway,367
BS,Bethlehem Steel,132
BSX,Boston Scientific,367
BTU,Peabody Energy,297
BWA,BorgWarner,103
BXLT,Baxalta Inc,11
BXP,Boston Properties,367
C,Citigroup Inc.,367
CA,CA Inc.,347
CAG,Conagra Brands,367
CAH,Cardinal Health Inc.,367
CAM,Cameron International,316
CARR,Carrier Global,3
CAT,Caterpillar Inc.,367
CB,Chubb Corp,66
CB,Chubb Limited,120
CBE,Cooper Industries,13
CBE,Cooper Industries Ltd.,237
CBOE,Cboe Global Markets,40
CBRE,CBRE Group,367
CCE,Coca-Cola Enterprises,317
CCI,Crown Castle International Corp.,100
CCK,Crown Holdings,132
CCL,Carnival Corp.,367
CDNS,Cadence Design Systems,34
CDW,CDW,10
CE,Celanese,19
CEG,Constellation Energy Group,267
CELG,Celgene,359
CEPH,Cephalon Inc.,262
CERN,Cerner,123
CF,CF Industries Holdings Inc,367
CFG,Citizens Financial Group,53
CFN,Carefusion,303
CHD,Church & Dwight,55
CHK,Chesapeake Energy,339
CHRW,C. H. Robinson Worldwide,367
CHTR,Charter Communications,46
CI,CIGNA Corp.,367
CINF,Cincinnati Financial,367
CL,Colgate-Palmolive,367
CLF,Cliffs Natural Resources,292
CLX,The Clorox Company,367
CMA,Comerica Inc.,367
CMCSA,Comcast Corp.,367
CMCSK,Comcast K Corp,3
CME,CME Group Inc.,367
CMG,Chipotle Mexican Grill,111
CMI,Cummins Inc.,367
CMS,CMS Energy,367
