company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,accountspayable,accountsreceivable,accruedexpenses,accumulateddepreciation,aoci,capitalleaseobligations,cashandequivalents,commitmentsandcontingencies,commonequity,currentdeferredrevenue,currentemployeebenefitliabilities,goodwill,grossppe,intangibleassets,longtermdebt,netinventory,netppe,noncurrentdeferredrevenue,noncurrentdeferredtaxassets,noncurrentemployeebenefitliabilities,othercurrentassets,othercurrentliabilities,othernoncurrentassets,othernoncurrentliabilities,othernoncurrentnonoperatingliabilities,prepaidexpenses,restrictedcash,retainedearnings,shorttermdebt,shortterminvestments,totalassets,totalcommonequity,totalcurrentassets,totalcurrentliabilities,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalnoncurrentassets,totalnoncurrentliabilities,totalpreferredequity,treasurystock
American Airlines Group Inc,AAL,,6201,2009.0,FY,,2009-12-31,2011-02-16 16:29:46+00:00,1064000000.0,768000000.0,1551000000.0,10834000000.0,-2724000000.0,599000000.0,153000000.0,0.0,4738000000.0,3431000000.0,488000000.0,,38575000000.0,,9984000000.0,557000000.0,15476000000.0,272000000.0,,7397000000.0,149000000.0,80000000.0,3320000000.0,2947000000.0,,309000000.0,460000000.0,-5136000000.0,1114000000.0,4246000000.0,25438000000.0,-3489000000.0,6642000000.0,7728000000.0,-3489000000.0,-3489000000.0,28927000000.0,25438000000.0,3320000000.0,21199000000.0,0.0,-367000000.0
American Airlines Group Inc,AAL,,6201,2010.0,FY,,2010-12-31,2012-02-15 16:50:27+00:00,1156000000.0,738000000.0,1587000000.0,11635000000.0,-2755000000.0,497000000.0,168000000.0,0.0,4784000000.0,3656000000.0,498000000.0,,38981000000.0,932000000.0,8756000000.0,594000000.0,15082000000.0,270000000.0,,7877000000.0,269000000.0,,2236000000.0,2853000000.0,,291000000.0,450000000.0,-5607000000.0,1883000000.0,4328000000.0,25088000000.0,-3945000000.0,6838000000.0,8780000000.0,-3945000000.0,-3945000000.0,29033000000.0,25088000000.0,3168000000.0,20253000000.0,0.0,-367000000.0
American Airlines Group Inc,AAL,,6201,2010.0,Q3,,2010-09-30,2010-10-20 17:02:04+00:00,1220000000.0,889000000.0,2042000000.0,,-2540000000.0,503000000.0,202000000.0,,4773000000.0,3895000000.0,,,13074000000.0,,9010000000.0,575000000.0,15296000000.0,,,7409000000.0,132000000.0,6000000.0,3224000000.0,3139000000.0,,237000000.0,447000000.0,-5509000000.0,1776000000.0,4355000000.0,25357000000.0,-3643000000.0,6837000000.0,8939000000.0,-3643000000.0,-3643000000.0,29000000000.0,25357000000.0,3224000000.0,20061000000.0,0.0,-367000000.0
American Airlines Group Inc,AAL,,6201,2010.0,Q2,,2010-06-30,2010-07-21 16:58:28+00:00,1305000000.0,910000000.0,2003000000.0,,-2674000000.0,526000000.0,197000000.0,,4763000000.0,4179000000.0,,,15267000000.0,,9142000000.0,569000000.0,15506000000.0,,,7598000000.0,55000000.0,43000000.0,3035000000.0,3190000000.0,,265000000.0,461000000.0,-5652000000.0,1829000000.0,4887000000.0,25885000000.0,-3930000000.0,7344000000.0,9359000000.0,-3930000000.0,-3930000000.0,29815000000.0,25885000000.0,3035000000.0,20456000000.0,0.0,-367000000.0
American Airlines Group Inc,AAL,,6201,2011.0,FY,,2011-12-31,2013-04-15 21:21:16+00:00,1007000000.0,902000000.0,1358000000.0,10548000000.0,-3964000000.0,0.0,283000000.0,,4806000000.0,4223000000.0,524000000.0,,35895000000.0,894000000.0,6702000000.0,617000000.0,14306000000.0,110000000.0,,9204000000.0,97000000.0,,1891000000.0,1470000000.0,4843000000.0,402000000.0,738000000.0,-7586000000.0,1518000000.0,3718000000.0,23848000000.0,-7111000000.0,6757000000.0,8630000000.0,-7111000000.0,-7111000000.0,30959000000.0,23848000000.0,2785000000.0,22329000000.0,0.0,-367000000.0
American Airlines Group Inc,AAL,,6201,2011.0,Q3,,2011-09-30,2011-10-19 16:34:39+00:00,1150000000.0,925000000.0,1928000000.0,,-2783000000.0,615000000.0,304000000.0,,4808000000.0,4392000000.0,,,13025000000.0,912000000.0,9552000000.0,631000000.0,15142000000.0,2587000000.0,,7875000000.0,137000000.0,,1827000000.0,,,375000000.0,474000000.0,-6491000000.0,1453000000.0,3992000000.0,24719000000.0,-4833000000.0,6838000000.0,8923000000.0,-4833000000.0,-4833000000.0,29552000000.0,24719000000.0,2739000000.0,20629000000.0,0.0,-367000000.0
American Airlines Group Inc,AAL,,6201,2011.0,Q2,,2011-06-30,2011-07-20 16:10:58+00:00,1291000000.0,945000000.0,2011000000.0,,-2613000000.0,624000000.0,318000000.0,,4800000000.0,4634000000.0,,,13025000000.0,,9428000000.0,641000000.0,15155000000.0,2509000000.0,,7969000000.0,364000000.0,,2635000000.0,,,414000000.0,457000000.0,-6329000000.0,1830000000.0,4858000000.0,25787000000.0,-4509000000.0,7997000000.0,9766000000.0,-4509000000.0,-4509000000.0,30296000000.0,25787000000.0,2635000000.0,20530000000.0,0.0,-367000000.0
American Airlines Group Inc,AAL,,6201,2011.0,Q1,,2011-03-31,2011-04-20 16:38:41+00:00,1267000000.0,922000000.0,2334000000.0,,-2333000000.0,588000000.0,286000000.0,,4794000000.0,4290000000.0,,,12974000000.0,,9568000000.0,595000000.0,15116000000.0,3127000000.0,,7926000000.0,693000000.0,,3172000000.0,,,361000000.0,455000000.0,-6043000000.0,1962000000.0,5513000000.0,27113000000.0,-3949000000.0,8825000000.0,9853000000.0,-3949000000.0,-3949000000.0,31062000000.0,27113000000.0,3172000000.0,21209000000.0,0.0,-367000000.0
American Airlines Group Inc,AAL,,6201,2012.0,FY,,2012-12-31,2014-02-28 07:52:16+00:00,975000000.0,1124000000.0,1427000000.0,10831000000.0,-2980000000.0,,480000000.0,0.0,4822000000.0,2813000000.0,666000000.0,0.0,24233000000.0,869000000.0,7116000000.0,580000000.0,13402000000.0,,,6780000000.0,,1711000000.0,2167000000.0,1984000000.0,6606000000.0,626000000.0,850000000.0,-9462000000.0,1419000000.0,3412000000.0,23510000000.0,-7987000000.0,7072000000.0,9011000000.0,-7987000000.0,-7987000000.0,31497000000.0,23510000000.0,3036000000.0,22486000000.0,,-367000000.0
American Airlines Group Inc,AAL,,6201,2012.0,Q3,,2012-09-30,2012-10-17 08:16:20+00:00,1283000000.0,1160000000.0,2029000000.0,,-2101000000.0,392000000.0,508000000.0,,4818000000.0,4730000000.0,,,11554000000.0,875000000.0,6097000000.0,596000000.0,13620000000.0,,,76000000.0,98000000.0,0.0,2129000000.0,1658000000.0,13493000000.0,376000000.0,847000000.0,-9725000000.0,1544000000.0,3718000000.0,23927000000.0,-7375000000.0,7303000000.0,9586000000.0,-7375000000.0,-7375000000.0,31302000000.0,23927000000.0,3004000000.0,21716000000.0,0.0,-367000000.0
