company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,amortizationexpense,cashincometaxespaid,cashinterestpaid,depreciationexpense,divestitures,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,othernetchangesincash,paymentofdividends,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,saleofinvestments,saleofplantpropertyandequipment
American Airlines Group Inc,AAL,,6201,2009.0,Q4,2009-10-01,2009-12-31,,,,,,,,,30000000.0,641000000.0,638000000.0,-660000000.0,4000000.0,638000000.0,-660000000.0,4000000.0,-18000000.0,0.0,,,260000000.0,,,,-305000000.0,-418000000.0,-293000000.0,,,63000000.0
American Airlines Group Inc,AAL,,6201,2009.0,FY,2009-01-01,2009-12-31,2012-02-15 16:50:27+00:00,,125000000.0,,,979000000.0,,405000000.0,412000000.0,2990000000.0,1755000000.0,-2723000000.0,930000000.0,1755000000.0,-2723000000.0,930000000.0,-38000000.0,-1468000000.0,-1468000000.0,889000000.0,769000000.0,52000000.0,,,-1330000000.0,-1521000000.0,-2416000000.0,,,76000000.0
American Airlines Group Inc,AAL,,6201,2009.0,Q3YTD,2009-01-01,2009-09-30,2010-10-20 17:02:04+00:00,,,,,,,,382000000.0,2349000000.0,1117000000.0,-2063000000.0,926000000.0,1117000000.0,-2063000000.0,926000000.0,-20000000.0,,,,509000000.0,52000000.0,,,-1025000000.0,-1103000000.0,-2123000000.0,,,13000000.0
American Airlines Group Inc,AAL,,6201,2009.0,Q3,2009-07-01,2009-09-30,,,,,,,,,382000000.0,2348000000.0,1803000000.0,-1812000000.0,-12000000.0,1803000000.0,-1811000000.0,-12000000.0,-20000000.0,,,,39000000.0,5000000.0,,,-1025000000.0,-501000000.0,-966000000.0,,-299000000.0,8000000.0
American Airlines Group Inc,AAL,,6201,2009.0,Q2YTD,2009-01-01,2009-06-30,2010-07-21 16:58:28+00:00,,,,,,,,,1000000.0,-686000000.0,-251000000.0,938000000.0,-686000000.0,-252000000.0,938000000.0,0.0,,,,470000000.0,47000000.0,,,,-602000000.0,-1157000000.0,,299000000.0,5000000.0
American Airlines Group Inc,AAL,,6201,2010.0,Q4,2010-10-01,2010-12-31,,,,,,,,,,115000000.0,349000000.0,-534000000.0,151000000.0,349000000.0,-534000000.0,151000000.0,-34000000.0,0.0,,,515000000.0,-3000000.0,,,27000000.0,-550000000.0,-281000000.0,,,-8000000.0
American Airlines Group Inc,AAL,,6201,2010.0,FY,2010-01-01,2010-12-31,2013-04-15 21:21:16+00:00,,126000000.0,,,967000000.0,,340000000.0,,542000000.0,804000000.0,-2030000000.0,1241000000.0,804000000.0,-2030000000.0,1241000000.0,15000000.0,-471000000.0,-471000000.0,279000000.0,1416000000.0,10000000.0,,,-82000000.0,-1962000000.0,-1154000000.0,,,4000000.0
American Airlines Group Inc,AAL,,6201,2010.0,Q3YTD,2010-01-01,2010-09-30,2011-10-19 16:34:39+00:00,,,,,,,,,427000000.0,455000000.0,-1496000000.0,1090000000.0,455000000.0,-1496000000.0,1090000000.0,49000000.0,,,,901000000.0,13000000.0,,,-109000000.0,-1412000000.0,-873000000.0,,,12000000.0
American Airlines Group Inc,AAL,,6201,2010.0,Q3TTM,2009-10-01,2010-09-30,,,,,,,,,30000000.0,1068000000.0,1093000000.0,-2156000000.0,1094000000.0,1093000000.0,-2156000000.0,1094000000.0,31000000.0,0.0,,,1161000000.0,13000000.0,,,-414000000.0,-1830000000.0,-1166000000.0,,,75000000.0
American Airlines Group Inc,AAL,,6201,2010.0,Q3,2010-07-01,2010-09-30,,,,,,,,,,187000000.0,210000000.0,-122000000.0,-83000000.0,210000000.0,-122000000.0,-83000000.0,5000000.0,,,,429000000.0,14000000.0,,,532000000.0,-680000000.0,-406000000.0,,,12000000.0
