company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,amortizationexpense,basicdilutedeps,basiceps,cashdividendspershare,dilutedeps,impairmentexpense,incometaxexpense,investmentbankingincome,investmentsecuritiesinterestincome,longtermdebtinterestexpense,netincome,netincomecontinuing,netincometocommon,netincometononcontrollinginterest,netinterestincome,netoccupancyequipmentexpense,nonoperatingincome,otheradjustmentstoconsolidatednetincome,otheradjustmentstonetincometocommon,othernoninterestincome,otheroperatingexpenses,otherservicechargeincome,otherspecialcharges,restructuringcharge,salariesandemployeebenefitsexpense,totalinterestexpense,totalinterestincome,totalnoninterestexpense,totalnoninterestincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Legg Mason Inc,LM,OWUNCC6U1ZJXMZKFBJ36,704051,2008.0,FY,2007-04-01,2008-03-31,2010-05-28 15:19:14+00:00,57271000.0,1.86,1.86,,1.83,151000000.0,173496000.0,3784300000.0,,,263831000.0,263831000.0,263565000.0,,,322246000.0,-612849000.0,,,,1483876000.0,849786000.0,,,1569517000.0,,,3583910000.0,4634086000.0,437327000.0,4634086000.0,141700000.0,141700000.0,144000000.0
Legg Mason Inc,LM,OWUNCC6U1ZJXMZKFBJ36,704051,2009.0,Q4,2009-01-01,2009-03-31,,8013000.0,-2.37,-2.37,0.24,-2.37,82870000.0,-364531000.0,528844000.0,-21025000.0,-45832000.0,-326944000.0,-326944000.0,-330224000.0,,24807000.0,114783000.0,-709593000.0,,3280000.0,,219753000.0,127013000.0,,,237127000.0,-45832000.0,-21025000.0,662546000.0,655857000.0,-691475000.0,680664000.0,140669000.0,140669000.0,140669000.0
Legg Mason Inc,LM,OWUNCC6U1ZJXMZKFBJ36,704051,2009.0,FY,2008-04-01,2009-03-31,2011-05-27 15:21:05+00:00,36488000.0,-13.99,-13.99,0.96,-13.99,1307970000.0,-1223203000.0,2853545000.0,,,-1964994000.0,-1964994000.0,-1967918000.0,,,397849000.0,-2519017000.0,,,,1152024000.0,503822000.0,,,1132216000.0,,,4026547000.0,3357367000.0,-3188197000.0,3357367000.0,140669000.0,140669000.0,140669000.0
Legg Mason Inc,LM,OWUNCC6U1ZJXMZKFBJ36,704051,2009.0,Q3YTD,2008-04-01,2008-12-31,,28475000.0,-11.62,-11.62,0.72,-11.62,1225100000.0,-858672000.0,2324701000.0,21025000.0,45832000.0,-1638050000.0,-1638050000.0,-1637694000.0,,-24807000.0,283066000.0,-1809424000.0,,,,932271000.0,376809000.0,,,895089000.0,45832000.0,21025000.0,3364001000.0,2701510000.0,-2496722000.0,2676703000.0,141000000.0,141019000.0,141019000.0
Legg Mason Inc,LM,OWUNCC6U1ZJXMZKFBJ36,704051,2009.0,Q3,2008-10-01,2008-12-31,2010-02-05 16:06:00+00:00,9252000.0,-10.59,-10.59,0.24,-10.59,1225100000.0,-778047000.0,614523000.0,,,-1492980000.0,-1492980000.0,-1492832000.0,,,115796000.0,-1198022000.0,,,,247607000.0,105465000.0,,,195238000.0,,,1792993000.0,719988000.0,-2271027000.0,719988000.0,141000000.0,141019000.0,141019000.0
Legg Mason Inc,LM,OWUNCC6U1ZJXMZKFBJ36,704051,2009.0,Q2YTD,2008-04-01,2008-09-30,,19223000.0,-1.03,-1.03,0.48,-1.03,,-80625000.0,1710178000.0,21025000.0,45832000.0,-145070000.0,-145070000.0,-144862000.0,,-24807000.0,167270000.0,-611402000.0,,,,684664000.0,271344000.0,,,699851000.0,45832000.0,21025000.0,1571008000.0,1981522000.0,-225695000.0,1956715000.0,141200000.0,140900000.0,140900000.0
Legg Mason Inc,LM,OWUNCC6U1ZJXMZKFBJ36,704051,2009.0,Q2,2008-07-01,2008-09-30,2009-11-06 11:18:07+00:00,9599000.0,-0.77,-0.77,0.24,-0.77,,-58891000.0,823945000.0,21025000.0,45832000.0,-108989000.0,-108989000.0,-108735000.0,,-24807000.0,82840000.0,-324640000.0,,,,331302000.0,103546000.0,,,322183000.0,45832000.0,21025000.0,745924000.0,927491000.0,-167880000.0,902684000.0,141200000.0,140900000.0,140900000.0
Legg Mason Inc,LM,OWUNCC6U1ZJXMZKFBJ36,704051,2009.0,Q1,2008-04-01,2008-06-30,2009-08-05 15:30:00+00:00,9624000.0,-0.26,-0.26,0.24,-0.26,,-21734000.0,886233000.0,,,-36081000.0,-36081000.0,-36127000.0,,,84430000.0,-286762000.0,,,,353362000.0,167798000.0,,,377668000.0,,,825084000.0,1054031000.0,-57815000.0,1054031000.0,139000000.0,140505000.0,140505000.0
Legg Mason Inc,LM,OWUNCC6U1ZJXMZKFBJ36,704051,2010.0,Q4,2010-01-01,2010-03-31,,5731000.0,0.4,0.4,0.03,0.39,,155295000.0,-1078539000.0,3403000.0,25095000.0,276081000.0,276081000.0,281210000.0,-1548000.0,-21692000.0,67694000.0,61900000.0,,-3581000.0,,5113996000.0,-516986000.0,,,267270000.0,25095000.0,3403000.0,1733999000.0,-1595525000.0,431376000.0,-1617217000.0,317300000.0,317300000.0,319700000.0
Legg Mason Inc,LM,OWUNCC6U1ZJXMZKFBJ36,704051,2010.0,Q3YTD,2009-04-01,2009-12-31,,17038000.0,0.93,0.93,0.09,0.93,,82057000.0,1078539000.0,3951000.0,101178000.0,145879000.0,145879000.0,140750000.0,1548000.0,-97227000.0,252371000.0,24992000.0,,3581000.0,,634675000.0,969744000.0,,,844028000.0,101178000.0,3951000.0,1748112000.0,2048283000.0,227936000.0,1951056000.0,160400000.0,160815000.0,162949000.0
